"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 16:07:25 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 16:07:25,17.064,4.857,53.736,21.962,2.380,439275520,998916096,148811776,2332180480,0,0,183694.998,3329923.405,8.526,36.846,784.407,1383.267,1.290,1.220,1.160,2,0,25.355,0,0,14,3,0,4,0
18-03 16:07:26,14.884,28.837,37.209,1.395,17.674,439554048,998158336,148832256,2332553216,4295,2160,266240,163840,3,12,1515,3349,1.510,1.270,1.180,1,0,347,0,0,14,3,0,4,0
18-03 16:07:27,24.742,32.474,40.206,0,2.577,440385536,997126144,148832256,2332815360,3671,1944,0,28672,0,7,1605,4648,1.510,1.270,1.180,3,0,300,0,0,14,3,0,4,0
18-03 16:07:28,22.843,29.442,40.609,0,7.107,439238656,998244352,148832256,2332753920,4172,2160,0,16384,0,4,1493,4910,1.510,1.270,1.180,2,0,213,0,0,14,3,0,4,0
18-03 16:07:29,14.500,12.500,67,2.500,3.500,570523648,866598912,148832256,2460790784,7552,2160,0,94208,0,19,1189,2608,1.510,1.270,1.180,0,1,46,0,0,16,3,0,4,0
18-03 16:07:30,9.709,16.990,44.660,17.961,10.680,572432384,864669696,148832256,2460811264,5217,2160,0,917504,0,70,1176,2339,1.510,1.270,1.180,2,0,213,0,0,16,5,0,4,0
18-03 16:07:31,41.709,11.055,45.729,1.005,0.503,591327232,845676544,148836352,2460905472,4046,2160,0,192512,0,2,835,1524,1.390,1.250,1.170,2,0,83,0,0,16,5,0,6,0
18-03 16:07:32,30.151,3.518,47.739,17.588,1.005,609873920,825872384,148836352,2462031872,5523,1944,1060864,0,88,0,672,956,1.390,1.250,1.170,0,1,0,0,0,16,5,0,6,0
18-03 16:07:33,31.658,3.015,47.236,17.085,1.005,620941312,813998080,148836352,2462781440,5320,2160,614400,0,45,0,540,812,1.390,1.250,1.170,1,0,2,0,0,16,5,0,6,0
18-03 16:07:34,43.842,6.404,41.379,4.433,3.941,647163904,786493440,148836352,2463772672,5327,2160,188416,0,14,0,663,1172,1.390,1.250,1.170,2,0,0,0,0,16,7,0,6,0
