"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 15:46:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 15:46:47,18.150,4.917,55.122,20.568,1.244,438972416,1029189632,146415616,2305961984,0,0,177804.553,3386232.607,8.401,38.380,787.740,1395.836,1.370,1.290,1.180,2,1,26.693,0,0,14,3,0,4,0
18-03 15:46:48,18.367,34.184,38.776,8.163,0.510,439418880,1028251648,146419712,2306260992,4127,2160,245760,143360,6,15,1482,3697,1.370,1.290,1.180,0,2,366,0,0,14,3,0,4,0
18-03 15:46:49,1.005,0.503,0,98.492,0,439353344,1028300800,146419712,2306277376,4561,2160,0,192512,0,37,270,350,1.370,1.290,1.180,0,2,0,0,0,14,3,0,4,0
18-03 15:46:50,2.010,0.503,0,97.487,0,439410688,1028235264,146419712,2306285568,7292,2160,0,237568,0,40,294,350,1.370,1.290,1.180,0,2,0,0,0,14,3,0,4,0
18-03 15:46:51,2.525,5.051,3.535,88.889,0,439308288,1028333568,146419712,2306289664,4816,2160,0,815104,0,57,402,702,1.500,1.320,1.190,0,2,40,0,0,14,3,0,4,0
18-03 15:46:52,15.657,14.141,31.818,37.879,0.505,440492032,1027125248,146419712,2306301952,6268,2160,0,1032192,0,93,1044,2658,1.500,1.320,1.190,1,1,80,0,0,14,3,0,4,0
18-03 15:46:53,8.543,8.040,6.030,77.387,0,439463936,1028124672,146423808,2306326528,6487,2160,0,3944448,0,32,602,1257,1.500,1.320,1.190,0,2,80,0,0,14,3,0,4,0
18-03 15:46:54,1.515,0.505,0,97.980,0,439357440,1028222976,146423808,2306334720,5311,2160,0,29241344,0,31,207,301,1.500,1.320,1.190,0,2,0,0,0,14,3,0,4,0
18-03 15:46:55,29.648,31.156,35.678,3.015,0.503,462594048,1004830720,146423808,2327162880,9159,1944,0,2113536,0,7,2174,8019,1.500,1.320,1.190,1,0,178,0,0,16,3,0,4,0
18-03 15:46:56,14.070,21.608,62.814,0,1.508,570703872,896339968,146423808,2434535424,6956,2160,0,0,0,0,1418,3461,1.380,1.300,1.180,1,0,262,0,0,16,5,0,6,0
18-03 15:46:57,36.041,9.137,48.223,5.584,1.015,592748544,874016768,146432000,2434785280,5964,2160,159744,0,6,0,732,1045,1.380,1.300,1.180,0,1,38,0,0,16,5,0,7,0
18-03 15:46:58,12.563,1.005,42.211,43.719,0.503,596377600,869728256,146436096,2435383296,7269,1944,610304,303104,55,2,563,831,1.380,1.300,1.180,0,1,0,0,0,16,5,0,6,0
18-03 15:46:59,19.598,2.513,47.739,30.151,0,609812480,855732224,146444288,2435887104,7218,2160,290816,0,27,0,539,745,1.380,1.300,1.180,1,0,0,0,0,16,5,0,6,0
18-03 15:47:00,30.500,2.500,47,18.500,1.500,620118016,844492800,146452480,2436718592,7008,2160,614400,0,45,0,641,799,1.380,1.300,1.180,1,0,0,0,0,16,5,0,6,0
18-03 15:47:01,40.777,4.854,45.631,6.311,2.427,643682304,819748864,146464768,2437599232,5173,1890,188416,0,14,0,620,789,1.350,1.300,1.180,3,0,0,0,0,16,5,0,6,0
