-- Logs begin at Wed 2020-03-18 13:59:50 UTC, end at Wed 2020-03-18 15:23:07 UTC. --
Mar 18 14:42:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 18 14:42:09 ubuntu dstat.sh[985]: [286B blob data]
Mar 18 14:42:09 ubuntu dstat.sh[985]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 18 14:42:09 ubuntu dstat.sh[985]: 18-03 14:42:09| 17   5  54  21   2| 423M  459M  138M 2702M|   0     0 | 167k 3108k|8.02  37.3 | 753  1408 |1.05 1.22 1.17|4.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 4185 2603k2460k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 14:42:10 ubuntu dstat.sh[985]: 18-03 14:42:10| 13  24  36  10  17| 421M  460M  138M 2702M|6092B 2160B| 228k  796k|3.00  31.0 |1297  3103 |1.13 1.23 1.18|  0 2.0 313|   0     0 |bash                 4185 6.0% 696k  20k|bash                 4185  696k  20k6.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 14:42:11 ubuntu dstat.sh[985]: 18-03 14:42:11| 10  17  40  21  12| 421M  460M  138M 2702M|4937B 1944B|   0  1112k|   0   111 | 946  1845 |1.13 1.23 1.18|3.0   0 167|   0     0 |bash                 4185 3.0%1469k  12k|bash                 4185 1469k  12k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 14:42:12 ubuntu dstat.sh[985]: 18-03 14:42:12| 22  26  38   0  14| 422M  459M  138M 2702M|5650B 2160B|   0    20k|   0  5.00 |1470  3978 |1.13 1.23 1.18|2.0   0 232|   0     0 |systemd              1    9.5%   0    0 |bash                 4185 1625k  14k4.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 14:42:13 ubuntu dstat.sh[985]: 18-03 14:42:13| 19  26  28   0  27| 423M  458M  138M 2703M|5303B 2106B|   0  8192B|   0  2.00 |1101  3080 |1.13 1.23 1.18|1.0   0 125|   0     0 |systemd              1     15%   0    0 |bash                 4185  647k4893B2.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 18 14:42:14 ubuntu dstat.sh[985]: 18-03 14:42:14|  8   8  74   0  10| 547M  334M  138M 2825M|5666B 1998B|   0     0 |   0     0 |1130  3135 |1.13 1.23 1.18|  0   0  19|   0     0 |systemd              1    8.0%   0    0 |bash                 4185  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 18 14:42:15 ubuntu dstat.sh[985]: 18-03 14:42:15| 11  21  48   7  13| 547M  334M  138M 2825M|5502B 2160B|   0  7752k|   0  20.0 |1198  2877 |1.36 1.28 1.19|3.0   0 258|   0     0 |bash                 4185 5.5% 500k  15k|bash                 4185  500k  15k5.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 14:42:16 ubuntu dstat.sh[985]: 18-03 14:42:16| 38   8  41   9   3| 567M  313M  138M 2825M|4581B 1944B|   0    14M|   0  15.0 | 855  1219 |1.36 1.28 1.19|  0 2.0  37|   0     0 |keystone-manage      2398  39%4977k  81k|keystone-manage      2398 4977k  81k 39%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 14:42:17 ubuntu dstat.sh[985]: 18-03 14:42:17| 26   4  38  29   4| 581M  298M  138M 2826M|5065B 2160B|1024k   20M|86.0  22.0 | 662  1049 |1.36 1.28 1.19|2.0   0 2.0|   0     0 |keystone-manage      2398  28%3154k  46k|keystone-manage      2398 3154k  46k 28%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 18 14:42:18 ubuntu dstat.sh[985]: 18-03 14:42:18| 37   4  48   8   2| 597M  281M  138M 2826M|3910B 1944B| 612k    0 |47.0     0 | 525   797 |1.36 1.28 1.19|1.0   0   0|   0     0 |keystone-manage      2398  41%4198k 107k|keystone-manage      2398 4198k 107k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
