-- Logs begin at Thu 2020-03-26 21:46:43 UTC, end at Fri 2020-03-27 01:20:29 UTC. --
Mar 27 00:34:20 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 00:34:21 ubuntu dstat.sh[13502]: [286B blob data]
Mar 27 00:34:21 ubuntu dstat.sh[13502]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 00:34:21 ubuntu dstat.sh[13502]: 27-03 00:34:21|  5   2  86   6   1| 424M  465M  119M 2707M|   0     0 |  49k  826k|3.14  9.75 | 254   400 |1.52 1.23 1.13|2.0   0 7.8|   0     0 |systemd              1    0.1%   0    0 |bash                 16261 667k 624k0.1%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 00:34:22 ubuntu dstat.sh[13502]: 27-03 00:34:22| 15  31  36   1  17| 423M  466M  119M 2708M|6002B 1998B| 344k  120k|5.00  6.00 |1348  3100 |1.52 1.23 1.13|1.0   0 319|   0     0 |bash                 162618.0% 437k  20k|bash                 16261 437k  20k8.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 00:34:23 ubuntu dstat.sh[13502]: 27-03 00:34:23| 16  31  37   0  16| 423M  466M  119M 2708M|3744B 2106B|   0    24k|   0  6.00 |1205  2854 |1.52 1.23 1.13|1.0   0 290|   0     0 |bash                 162616.5%2330k  19k|bash                 162612330k  19k6.5%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 00:34:24 ubuntu dstat.sh[13502]: 27-03 00:34:24| 20  33  36   0  11| 423M  465M  119M 2708M|9908B 2160B|   0    20k|   0  5.00 |1128  2975 |1.56 1.24 1.13|1.0   0 203|   0     0 |systemd              1     13%   0    0 |bash                 162611596k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    6    0
Mar 27 00:34:25 ubuntu dstat.sh[13502]: 27-03 00:34:25| 29  26  35   3   7| 548M  340M  119M 2830M|5048B 1836B|   0    33M|   0  35.0 |1616  5856 |1.56 1.24 1.13|  0   0  97|   0     0 |systemd              1     22%   0    0 |bash                 16261 250k1398B  0%|mysqld       173M|   0     0 |  16    3    0    6    0
Mar 27 00:34:26 ubuntu dstat.sh[13502]: 27-03 00:34:26|  4  12  74   0   9| 548M  340M  119M 2830M|3239B 2052B|   0     0 |   0     0 | 651  1410 |1.56 1.24 1.13|2.0   0  99|   0     0 |bash                 162612.5% 244k5747B|bash                 16261 244k5747B2.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 27 00:34:27 ubuntu dstat.sh[13502]: 27-03 00:34:27| 23  24  40   0  13| 559M  329M  119M 2830M|3865B 2160B|   0   108k|   0  2.00 |1152  2276 |1.56 1.24 1.13|1.0   0 198|   0     0 |keystone-manage      14896 15%2153k  81k|keystone-manage      148962153k  81k 15%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 27 00:34:28 ubuntu dstat.sh[13502]: 27-03 00:34:28| 34   7  42   7   9| 572M  315M  119M 2831M|4087B 2052B| 692k    0 |51.0     0 | 758   884 |1.56 1.24 1.13|3.0   0   0|   0     0 |keystone-manage      14896 40%3516k   0 |keystone-manage      148963516k   0  40%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 27 00:34:29 ubuntu dstat.sh[13502]: 27-03 00:34:29| 38   4  40   5  13| 589M  297M  119M 2831M|3781B 2106B| 368k    0 |40.0     0 | 665   839 |1.51 1.24 1.13|1.0   0   0|   0     0 |keystone-manage      14896 46%4169k  46k|keystone-manage      148964169k  46k 46%|mysqld       173M|   0     0 |  16    5    0    9    0
Mar 27 00:34:30 ubuntu dstat.sh[13502]: 27-03 00:34:30| 30   4  46  16   5| 605M  280M  119M 2832M|6060B 2148B| 576k 1164k|42.0  62.0 | 848   920 |1.51 1.24 1.13|  0 2.0   0|   0     0 |keystone-manage      14896 33%4152k 144k|keystone-manage      148964152k 144k 33%|mysqld       173M|   0     0 |  16    5    0    9    0
