-- Logs begin at Sat 2020-03-28 02:33:46 UTC, end at Sat 2020-03-28 03:49:28 UTC. --
Mar 28 03:13:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 03:13:57 ubuntu dstat.sh[2811]: [286B blob data]
Mar 28 03:13:57 ubuntu dstat.sh[2811]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 03:13:57 ubuntu dstat.sh[2811]: 28-03 03:13:57| 19   5  56  19   1| 420M  335M  110M 2842M|   0     0 | 274k 4096k|13.7  40.5 | 859  1484 |1.16 1.12 1.12|1.0 2.0  28|   0     0 |systemd              1    0.4%   0    0 |bash                 3815 2826k2630k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 28 03:13:58 ubuntu dstat.sh[2811]: 28-03 03:13:58| 17  28  17  39   1| 420M  335M  110M 2843M|5937B 2160B|4096B   28M|1.00  42.0 |1171  2501 |1.16 1.12 1.12|1.0   0 254|   0     0 |bash                 3815 4.0%2202k  17k|bash                 3815 2202k  17k4.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 28 03:13:59 ubuntu dstat.sh[2811]: 28-03 03:13:59| 28  34  36   0   1| 422M  333M  110M 2843M|4984B 1944B|   0    20k|   0  5.00 |1608  5104 |1.16 1.12 1.12|1.0   0 242|   0     0 |systemd              1     14%   0    0 |bash                 3815 1516k  13k3.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 28 03:14:00 ubuntu dstat.sh[2811]: 28-03 03:14:00| 23  22  53   0   1| 546M  208M  110M 2965M|3823B 2160B|   0     0 |   0     0 |1443  5581 |1.07 1.10 1.11|1.0   0 134|   0     0 |systemd              1     15%   0    0 |bash                 3815  454k5513B1.5%|mysqld       173M|   0     0 |  15    5    0    5    0
Mar 28 03:14:01 ubuntu dstat.sh[2811]: 28-03 03:14:01| 31  23  46   0   1| 557M  197M  110M 2965M|6344B 2160B|   0     0 |   0     0 |1202  2551 |1.07 1.10 1.11|2.0   0 217|   0     0 |keystone-manage      4214  24%2292k  81k|keystone-manage      4214 2292k  81k 24%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 28 03:14:02 ubuntu dstat.sh[2811]: 28-03 03:14:02| 31   5  48  17   0| 576M  177M  110M 2966M|3939B 1944B|1132k    0 | 116     0 | 705  1121 |1.07 1.10 1.11|1.0   0 2.0|   0     0 |keystone-manage      4214  32%4822k  46k|keystone-manage      4214 4822k  46k 32%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 28 03:14:03 ubuntu dstat.sh[2811]: 28-03 03:14:03| 45   5  44   8   0| 594M  158M  110M 2967M|4969B 2202B| 636k  900k|50.0  4.00 | 612   948 |1.07 1.10 1.11|1.0   0   0|   0     0 |keystone-manage      4214  46%4764k 107k|keystone-manage      4214 4764k 107k 46%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 28 03:14:04 ubuntu dstat.sh[2811]: 28-03 03:14:04| 45   9  43   2   1| 619M  132M  110M 2968M|3815B 1944B| 188k    0 |15.0     0 | 744  1297 |1.07 1.10 1.11|2.0   0   0|   0     0 |keystone-manage      4214  46%5378k 468k|keystone-manage      4214 5378k 468k 46%|mysqld       177M|   0     0 |  15    7    0    7    0
Mar 28 03:14:05 ubuntu dstat.sh[2811]: 28-03 03:14:05| 16   8  38  38   1| 629M  121M  110M 2968M|5697B 2160B|   0  2376k|   0   115 | 948  1768 |1.14 1.11 1.12|  0 1.0   0|   0     0 |python2              1540 9.0%  73k  80k|python3.6            7755   55k 115k1.0%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 28 03:14:06 ubuntu dstat.sh[2811]: 28-03 03:14:06|  4   2  49  45   0| 629M  120M  111M 2968M|3365B 2052B|   0  2260k|   0   158 | 738  1563 |1.14 1.11 1.12|  0 1.0   0|   0     0 |mysqld               2092 1.5%   0    0 |python2              3236   14k 465B0.5%|mysqld       187M|   0     0 |  15    7    0    7    0
Mar 28 03:14:07 ubuntu dstat.sh[2811]: 28-03 03:14:07|  3   2  49  47   1| 630M  119M  111M 2969M|4776B 2052B|   0  1164k|   0  89.0 | 604  1136 |1.14 1.11 1.12|  0 1.0   0|   0     0 |mysqld               2092 1.0%   0    0 |python2              3236   14k 455B  0%|mysqld       187M|   0     0 |  15    7    0    7    0
Mar 28 03:14:08 ubuntu dstat.sh[2811]: 28-03 03:14:08|  6   2  48  45   0| 630M  118M  111M 2969M|5546B 2160B|   0  1588k|   0   111 | 715  1457 |1.14 1.11 1.12|  0 1.0   0|   0     0 |mysqld               2092 5.0%   0    0 |python2              3236   14k 464B  0%|mysqld       187M|   0     0 |  15    7    0    7    0
