"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Mar 2020 01:55:09 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-03 01:55:10,17.000,4.807,52.739,23.780,1.674,441856000,490762240,115826688,2842370048,0,0,230376.302,3044825.910,12.479,35.673,777.821,1462.914,1.690,1.350,1.230,2,0,25.658,0,0,14,3,0,5,0
28-03 01:55:11,22.500,36.500,35.500,2,3.500,442163200,490274816,115838976,2842451968,6706,2160,0,159744,0,15,1432,3725,1.690,1.350,1.230,2,1,409,0,0,14,3,0,5,0
28-03 01:55:12,4.523,4.020,39.196,51.256,1.005,442421248,489988096,115838976,2842476544,5292,1944,0,1335296,0,59,443,699,1.690,1.350,1.230,1,2,42,0,0,14,3,0,5,0
28-03 01:55:13,21.212,28.283,29.798,18.687,2.020,443252736,488964096,115838976,2842636288,4073,2160,0,561152,0,51,1265,3597,1.710,1.360,1.240,4,0,207,0,0,14,3,0,5,0
28-03 01:55:14,29.851,27.861,40.796,0,1.493,573550592,358379520,115838976,2970648576,6143,2160,0,4096,0,1,1664,5794,1.710,1.360,1.240,1,0,131,0,0,16,3,0,5,0
28-03 01:55:15,12.808,21.675,63.054,0,2.463,573853696,357961728,115838976,2970689536,2941,1944,0,0,0,0,1128,2723,1.710,1.360,1.240,2,0,263,0,0,16,5,0,6,0
28-03 01:55:16,41.584,7.426,42.079,7.921,0.990,596041728,335495168,115859456,2970894336,10448,2160,110592,159744,2,2,775,1114,1.710,1.360,1.240,1,1,35,0,0,16,5,0,7,0
28-03 01:55:17,10.152,1.523,48.731,39.086,0.508,599674880,331116544,115859456,2971594752,5224,2160,688128,0,62,0,582,845,1.710,1.360,1.240,2,1,0,0,0,16,5,0,7,0
28-03 01:55:18,15.578,2.010,47.739,34.673,0,609996800,320319488,115998720,2971889664,4198,2106,360448,4632576,52,48,554,806,1.660,1.350,1.230,1,2,0,0,0,16,5,0,7,0
