"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","25 Feb 2020 13:46:30 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
25-02 13:46:30,15.836,4.709,52.278,24.145,3.032,469147648,647094272,142610432,2644393984,0,0,155446.692,2732273.095,7.155,32.610,707.539,1208.236,1.830,1.610,1.430,2,0,23.244,0,0,14,3,0,4,0
25-02 13:46:31,20.398,34.328,36.318,3.483,5.473,469176320,646434816,142618624,2644668416,5702,2160,233472,118784,3,9,1422,3686,1.830,1.610,1.430,1,0,404,0,0,14,3,0,4,0
25-02 13:46:32,25.743,28.713,31.188,9.901,4.455,468930560,646553600,142618624,2644787200,5877,1944,53248,4579328,1,24,1377,3690,1.830,1.610,1.430,0,3,241,0,0,14,3,0,4,0
25-02 13:46:33,15.075,16.080,22.111,44.221,2.513,470233088,645095424,142618624,2644942848,6257,2160,0,6619136,0,94,967,2063,1.830,1.610,1.430,2,0,128,0,0,14,3,0,4,0
25-02 13:46:34,17.327,17.822,52.970,8.911,2.970,600494080,514461696,142618624,2772963328,4679,2160,0,24715264,0,25,1681,4675,1.690,1.590,1.430,0,1,53,0,0,16,3,0,4,0
25-02 13:46:35,15.500,24.500,35,23,2,600870912,514076672,142618624,2772971520,7346,2160,0,8216576,0,19,1453,3210,1.690,1.590,1.430,2,0,290,0,0,16,5,0,7,0
25-02 13:46:36,43.500,6.500,40,9.500,0.500,623153152,491487232,142622720,2773241856,5893,2160,163840,180224,7,2,688,885,1.690,1.590,1.430,0,1,5,0,0,16,5,0,7,0
25-02 13:46:37,2.020,1.010,47.980,48.485,0.505,623607808,490663936,142622720,2773598208,4174,1944,339968,0,17,0,437,725,1.690,1.590,1.430,0,1,0,0,0,16,5,0,7,0
25-02 13:46:38,13.930,2.985,46.766,33.831,2.488,630034432,483647488,142622720,2774122496,9601,1782,524288,208896,60,1,650,974,1.690,1.590,1.430,1,0,0,0,0,16,5,0,7,0
25-02 13:46:39,35.821,3.980,45.274,11.940,2.985,645324800,468250624,142622720,2774208512,4745,2322,81920,0,12,0,625,927,1.630,1.580,1.420,0,1,2,0,0,16,5,0,7,0
25-02 13:46:40,29.082,2.551,48.980,18.367,1.020,665276416,447111168,142626816,2775220224,8177,2160,651264,0,43,0,703,1023,1.630,1.580,1.420,1,0,0,0,0,16,5,0,7,0
25-02 13:46:41,34.314,9.314,27.941,25,3.431,677400576,433725440,142753792,2776182784,7933,1944,102400,1372160,8,19,839,1539,1.630,1.580,1.420,0,1,0,0,0,16,7,0,7,0
