-- Logs begin at Mon 2020-03-09 21:00:49 UTC, end at Mon 2020-03-09 22:36:56 UTC. --
Mar 09 21:46:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 09 21:46:52 ubuntu dstat.sh[1747]: [286B blob data]
Mar 09 21:46:52 ubuntu dstat.sh[1747]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 09 21:46:52 ubuntu dstat.sh[1747]: 09-03 21:46:52| 16   5  53  25   2| 421M  416M  111M 2763M|   0     0 | 202k 2825k|10.4  33.3 | 762  1270 |1.62 1.33 1.24|1.0   0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 3698 2347k2176k0.2%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 09 21:46:53 ubuntu dstat.sh[1747]: 09-03 21:46:53| 21  38  36   3   1| 421M  415M  111M 2763M|5963B 1944B|   0    96k|   0  10.0 |1467  4003 |1.62 1.33 1.24|1.0   0 428|   0     0 |bash                 3698 7.0%1817k  27k|bash                 3698 1817k  27k7.0%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 09 21:46:54 ubuntu dstat.sh[1747]: 09-03 21:46:54| 27  32  39   0   2| 421M  415M  111M 2763M|5518B 2160B|   0    24k|   0  6.00 |1822  4169 |1.73 1.36 1.25|1.0   0 281|   0     0 |systemd              1    9.0%   0    0 |bash                 3698 2234k  18k4.5%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 09 21:46:55 ubuntu dstat.sh[1747]: 09-03 21:46:55| 27  27  45   0   1| 546M  289M  111M 2885M|9624B 2160B|   0  4096B|   0  1.00 |1903  8125 |1.73 1.36 1.25|  0   0 107|   0     0 |systemd              1     22%   0    0 |bash                 3698  442k2296B0.5%|mysqld       173M|   0     0 |  15    3    0    4    0
Mar 09 21:46:56 ubuntu dstat.sh[1747]: 09-03 21:46:56| 25  24  50   0   2| 554M  282M  111M 2885M|6900B 1944B|   0     0 |   0     0 |1383  3395 |1.73 1.36 1.25|1.0   0 295|   0     0 |keystone-manage      3146 8.5%1435k  81k|keystone-manage      3146 1435k  81k8.5%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 09 21:46:57 ubuntu dstat.sh[1747]: 09-03 21:46:57| 31   4  49  16   1| 568M  267M  111M 2886M|6632B 2160B| 340k    0 |21.0     0 | 469   730 |1.73 1.36 1.25|  0 1.0   0|   0     0 |keystone-manage      3146  33%3885k   0 |keystone-manage      3146 3885k   0  33%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 09 21:46:58 ubuntu dstat.sh[1747]: 09-03 21:46:58| 13   3  48  36   0| 573M  262M  111M 2886M|6855B 2160B| 368k  216k|50.0  2.00 | 516   793 |1.73 1.36 1.25|1.0   0   0|   0     0 |keystone-manage      3146  13%1117k   0 |keystone-manage      3146 1117k   0  13%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 09 21:46:59 ubuntu dstat.sh[1747]: 09-03 21:46:59| 36   3  47  14   1| 589M  245M  111M 2886M|6540B 1944B| 372k    0 |61.0     0 | 638   905 |1.67 1.35 1.25|  0 1.0 2.0|   0     0 |keystone-manage      3146  36%3685k  46k|keystone-manage      3146 3685k  46k 36%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 09 21:47:00 ubuntu dstat.sh[1747]: 09-03 21:47:00| 31   3  49  16   0| 610M  223M  111M 2888M|5663B 2160B| 580k    0 |34.0     0 | 610   811 |1.67 1.35 1.25|1.0   0   0|   0     0 |keystone-manage      3146  33%5393k 228k|keystone-manage      3146 5393k 228k 33%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 09 21:47:01 ubuntu dstat.sh[1747]: 09-03 21:47:01| 27  10  40  24   0| 620M  212M  111M 2888M|7721B 2160B| 100k 1120k|8.00  18.0 | 793  1428 |1.67 1.35 1.25|  0 1.0   0|   0     0 |keystone-manage      3146  21%1678k 373k|keystone-manage      3146 1678k 373k 21%|mysqld       177M|   0     0 |  15    7    0    6    0
