-- Logs begin at Wed 2020-03-11 07:16:10 UTC, end at Wed 2020-03-11 09:02:13 UTC. --
Mar 11 08:05:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 11 08:05:14 ubuntu dstat.sh[471]: [286B blob data]
Mar 11 08:05:14 ubuntu dstat.sh[471]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 11 08:05:14 ubuntu dstat.sh[471]: 11-03 08:05:14| 15   4  53  26   1| 420M  532M  141M 2625M|   0     0 | 161k 2531k|7.41  31.6 | 725  1304 |1.46 1.34 1.27|1.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3409 2214k2081k0.2%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:15 ubuntu dstat.sh[471]: 11-03 08:05:15| 14  25  28  17  16| 420M  532M  141M 2625M|5885B 2160B| 148k  116k|3.00  9.00 |1090  2585 |1.46 1.34 1.27|  0 3.0 288|   0     0 |python3.6            7347 5.5%  10k  22k|bash                 3409  655k  18k5.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:16 ubuntu dstat.sh[471]: 11-03 08:05:16|  1   0   0  96   2| 420M  532M  141M 2625M|6085B 1944B|   0   140k|   0  23.0 | 318   326 |1.46 1.34 1.27|  0 5.0 2.0|   0     0 |rcu_sched            8    0.5%   0    0 |                                        |mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:20 ubuntu dstat.sh[471]: 11-03 08:05:17|  5   5   0  90   1| 420M  531M  141M 2625M|6538B 2052B|   0   868k|   0  79.0 | 558   662 |1.46 1.34 1.27|  0 4.0  43|   0     0 |bash                 3409 1.0% 411k2449B|bash                 3409  411k2449B1.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:20 ubuntu dstat.sh[471]: 11-03 08:05:18|  4   5   1  91   1| 420M  532M  141M 2625M|4728B 2052B|   0  5216k|   0   105 | 466   630 |1.46 1.34 1.27|1.0 4.0  40|   0     0 |rcu_sched            8    0.5%   0    0 |bash                 3409  319k2818B0.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:20 ubuntu dstat.sh[471]: 11-03 08:05:19|  6   9   4  82   1| 420M  532M  141M 2625M|  10k 2160B|   0  4880k|   0  27.0 | 596   966 |1.66 1.39 1.29|  0 2.0  80|   0     0 |bash                 3409 1.0% 641k5691B|bash                 3409  641k5691B1.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:20 ubuntu dstat.sh[471]: 11-03 08:05:20|  2   1   0  96   2| 420M  532M  141M 2625M|9064B 2160B|   0    18M|   0  18.0 | 380   375 |1.66 1.39 1.29|  0 3.0   0|   0     0 |conntrackd           162801.0%   0    0 |python2              567    13k 453B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:21 ubuntu dstat.sh[471]: 11-03 08:05:21| 22  25  18  28   7| 420M  531M  141M 2625M|6804B 1944B|   0    15M|   0  38.0 |1873  5495 |1.66 1.39 1.29|2.0   0 189|   0     0 |systemd              1     12%   0    0 |bash                 3409 1306k  12k3.0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:22 ubuntu dstat.sh[471]: 11-03 08:05:22| 27  31  36   0   6| 421M  530M  141M 2626M|5329B 2160B|   0    12k|   0  3.00 |1757  4671 |1.66 1.39 1.29|1.0   0 172|   0     0 |systemd              1     18%   0    0 |bash                 3409 1065k8300B1.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 11 08:05:23 ubuntu dstat.sh[471]: 11-03 08:05:23| 14  26  53   0   7| 545M  406M  141M 2748M|7041B 2160B|   0     0 |   0     0 |1466  3922 |1.66 1.39 1.29|1.0   0 272|   0     0 |bash                 3409 6.0% 548k  15k|bash                 3409  548k  15k6.0%|mysqld       174M|   0     0 |  16    7    0    4    0
