-- Logs begin at Wed 2020-03-11 08:52:55 UTC, end at Wed 2020-03-11 10:21:18 UTC. --
Mar 11 09:35:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 11 09:35:52 ubuntu dstat.sh[1700]: [286B blob data]
Mar 11 09:35:52 ubuntu dstat.sh[1700]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 11 09:35:52 ubuntu dstat.sh[1700]: 11-03 09:35:52| 17   5  55  22   1| 421M  298M  111M 2875M|   0     0 | 210k 3765k|11.2  37.8 | 821  1400 |1.20 1.19 1.18|3.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3563 2584k2418k0.2%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 11 09:35:53 ubuntu dstat.sh[1700]: 11-03 09:35:53| 14  30  33   1  21| 422M  297M  111M 2875M|4811B 2160B|   0   136k|   0  9.00 |1275  3169 |1.20 1.19 1.18|2.0   0 354|   0     0 |bash                 3563 6.5%1634k  23k|bash                 3563 1634k  23k6.5%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 11 09:35:54 ubuntu dstat.sh[1700]: 11-03 09:35:54| 20  25  33   0  22| 422M  297M  111M 2876M|3917B 1986B|   0    16k|   0  4.00 |1157  2813 |1.20 1.19 1.18|3.0   0 203|   0     0 |systemd              1     11%   0    0 |bash                 3563 1592k  13k3.5%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 11 09:35:55 ubuntu dstat.sh[1700]: 11-03 09:35:55| 29  29  37   0   5| 423M  296M  111M 2876M|4825B 2160B|   0    16k|   0  4.00 |1470  4352 |1.43 1.24 1.19|1.0   0 200|   0     0 |systemd              1     18%   0    0 |bash                 3563 1100k  10k2.0%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 11 09:35:56 ubuntu dstat.sh[1700]: 11-03 09:35:56| 10  18  66   0   5| 547M  171M  111M 2998M|7572B 2160B|   0     0 |   0     0 |1414  2879 |1.43 1.24 1.19|1.0   0 197|   0     0 |etcd                 2793 3.5%   0    0 |bash                 3563  452k  10k3.5%|mysqld       173M|   0     0 |  15    5    0    4    0
Mar 11 09:35:57 ubuntu dstat.sh[1700]: 11-03 09:35:57| 38  13  46   0   3| 564M  155M  111M 2998M|8912B 2160B|   0     0 |   0     0 |1045  1870 |1.43 1.24 1.19|1.0   0 119|   0     0 |keystone-manage      3101  34%4010k  81k|keystone-manage      3101 4010k  81k 34%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 11 09:35:58 ubuntu dstat.sh[1700]: 11-03 09:35:58| 34   5  46  10   5| 585M  132M  111M 2999M|7516B 2106B|1168k  212k| 121  2.00 | 923  1119 |1.43 1.24 1.19|2.0   0 2.0|   0     0 |keystone-manage      3101  39%5160k  46k|keystone-manage      3101 5160k  46k 39%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 11 09:35:59 ubuntu dstat.sh[1700]: 11-03 09:35:59| 45   4  47   3   1| 607M  109M  111M 3000M|6134B 1998B| 652k    0 |48.0     0 | 865   898 |1.43 1.24 1.19|1.0   0   0|   0     0 |keystone-manage      3101  46%5361k 174k|keystone-manage      3101 5361k 174k 46%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 11 09:36:00 ubuntu dstat.sh[1700]: 11-03 09:36:00| 23   8  40  27   2| 620M  328M  112M 2776M|9802B 2592B| 148k 3000k|15.0  99.0 |1236  1612 |1.47 1.25 1.20|2.0 2.0 5.0|   0     0 |keystone-manage      3101  30%2676k 399k|keystone-manage      3101 2676k 399k 30%|mysqld       177M|   0     0 |  15    7    0    6    0
Mar 11 09:36:01 ubuntu dstat.sh[1700]: 11-03 09:36:01| 10  10  46  34   0| 621M  327M  112M 2777M|  13k 1728B|   0  2448k|   0  69.0 | 583   694 |1.47 1.25 1.20|  0 2.0   0|   0     0 |python2              1558  11%  80k  87k|python2              1558   80k  87k 11%|mysqld       177M|   0     0 |  15    7    0    6    0
