"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 07:49:27 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-03 07:49:27,15.572,4.278,56.705,22.569,0.876,442208256,551215104,143650816,2760929280,0,0,156147.123,2465742.465,7.454,32.484,713.435,1240.769,1.640,1.350,1.290,2,0,23.029,0,0,14,3,0,4,0
11-03 07:49:28,19.289,35.533,16.244,27.919,1.015,441896960,550957056,143659008,2761297920,4534,1944,315392,1044480,4,76,1594,3501,1.640,1.350,1.290,0,2,387,0,0,14,3,0,4,0
11-03 07:49:29,10.553,16.583,2.010,68.844,2.010,441585664,551219200,143659008,2761342976,8011,1944,0,331776,0,49,869,1623,1.640,1.350,1.290,0,3,167,0,0,14,3,0,4,0
11-03 07:49:30,15.075,14.070,0,70.854,0,441663488,550957056,143659008,2761486336,5220,1944,0,14172160,0,27,851,2349,1.640,1.350,1.290,0,3,73,0,0,14,3,0,4,0
11-03 07:49:31,4.020,5.025,5.528,84.925,0.503,441438208,551186432,143659008,2761494528,5392,2160,0,17539072,0,23,343,698,1.640,1.350,1.290,0,1,42,0,0,14,3,0,4,0
11-03 07:49:32,10.606,13.636,46.970,28.788,0,452468736,540135424,143659008,2761699328,5096,1944,0,11366400,0,15,1066,2800,1.590,1.350,1.290,14,0,122,0,0,14,3,0,4,0
11-03 07:49:33,23.116,20.603,21.106,34.171,1.005,573558784,418603008,143667200,2889596928,9423,1986,53248,86016,1,1,1641,4994,1.590,1.350,1.290,0,1,57,0,0,16,3,0,4,0
11-03 07:49:34,10,16.500,70,1.500,2,573558784,418603008,143667200,2889596928,4976,1944,0,4096,0,1,886,2165,1.590,1.350,1.290,1,0,205,0,0,16,5,0,4,0
11-03 07:49:35,39.109,12.871,46.535,0,1.485,594227200,397877248,143671296,2889641984,3800,1944,0,0,0,0,865,1588,1.590,1.350,1.290,1,0,90,0,0,16,5,0,6,0
11-03 07:49:36,24.747,4.040,47.475,23.232,0.505,609980416,380825600,143675392,2890829824,4015,1986,1052672,0,87,0,650,930,1.590,1.350,1.290,0,1,0,0,0,16,5,0,6,0
11-03 07:49:37,29.534,2.073,49.741,18.653,0,620240896,369942528,143675392,2891386880,4103,1728,598016,0,43,0,585,780,1.540,1.340,1.290,1,0,0,0,0,16,5,0,6,0
11-03 07:49:38,36,3,42,18.500,0.500,642293760,346861568,143769600,2892189696,4996,1944,114688,438272,10,2,524,754,1.540,1.340,1.290,1,0,0,0,0,16,5,0,6,0
11-03 07:49:39,23.196,11.340,39.691,25.773,0,657272832,330928128,143847424,2892935168,4785,1944,98304,1015808,7,27,709,1674,1.540,1.340,1.290,2,0,0,0,0,16,7,0,6,0
11-03 07:49:40,7.353,3.431,45.098,43.137,0.980,659963904,327815168,143974400,2893225984,6058,1782,0,1007616,0,64,580,1030,1.540,1.340,1.290,0,1,0,0,0,16,7,0,6,0
11-03 07:49:41,2.030,1.523,47.716,48.223,0.508,660512768,326959104,144072704,2893410304,3946,2106,0,950272,0,67,493,1046,1.540,1.340,1.290,0,1,2,0,0,16,7,0,6,0
11-03 07:49:42,2.513,2.010,47.739,46.734,1.005,660656128,326586368,144150528,2893557760,3536,1728,0,3362816,0,110,457,909,1.580,1.350,1.290,0,1,0,0,0,16,7,0,6,0
11-03 07:49:43,2,1.500,47,47,2.500,661053440,325795840,144281600,2893795328,5093,1944,0,1183744,0,85,524,1037,1.580,1.350,1.290,0,0,0,0,0,16,7,0,6,0
11-03 07:49:44,3,2,47.500,43,4.500,661229568,325226496,144416768,2894049280,3954,1728,0,1224704,0,84,527,1066,1.580,1.350,1.290,0,1,0,0,0,16,7,0,6,0
11-03 07:49:45,3.922,3.922,45.098,41.667,5.392,661721088,324435968,144535552,2894221312,5267,1944,0,946176,0,74,550,1095,1.580,1.350,1.290,1,1,0,0,0,16,7,0,6,0
11-03 07:49:46,10.837,10.345,40.887,33.005,4.926,662380544,323612672,144666624,2894254080,4379,1944,0,929792,0,99,702,1453,1.580,1.350,1.290,1,1,0,0,0,16,7,0,6,0
11-03 07:49:47,9.091,8.586,48.990,31.818,1.515,662843392,322834432,144830464,2894389248,6857,1822,0,942080,0,98,663,1562,1.610,1.360,1.300,2,1,0,0,0,16,7,0,6,0
11-03 07:49:48,12,13,36,37.500,1.500,663175168,322326528,144973824,2894417920,4372,1944,0,987136,0,83,614,1225,1.610,1.360,1.300,0,1,0,0,0,16,7,0,6,0
11-03 07:49:49,13.706,14.213,23.350,48.731,0,663461888,321945600,145068032,2894417920,5534,1944,0,598016,0,57,615,1009,1.610,1.360,1.300,0,2,0,0,0,16,7,0,6,0
11-03 07:49:50,6.599,5.584,40.102,47.716,0,663638016,321658880,145162240,2894434304,4261,1728,0,827392,0,68,592,1180,1.610,1.360,1.300,0,1,0,0,0,16,7,0,6,0
