-- Logs begin at Sat 2020-03-28 03:50:54 UTC, end at Sat 2020-03-28 15:16:55 UTC. --
Mar 28 14:17:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 14:17:48 ubuntu dstat.sh[13964]: [286B blob data]
Mar 28 14:17:48 ubuntu dstat.sh[13964]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 14:17:48 ubuntu dstat.sh[13964]: 28-03 14:17:48|  1   0  96   2   0| 421M  700M 85.9M 2519M|   0     0 |  17k  240k|1.04  2.56 | 106   138 |1.48 1.33 1.24|2.0   0 2.1|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 16236 168k 155k0.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 14:17:49 ubuntu dstat.sh[13964]: 28-03 14:17:49| 17  40  36   2   4| 424M  698M 86.0M 2519M|4517B 1944B|   0   128k|   0  9.00 |1409  3626 |1.48 1.33 1.24|3.0   0 382|   0     0 |bash                 162367.0%1491k  24k|bash                 162361491k  24k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 14:17:50 ubuntu dstat.sh[13964]: 28-03 14:17:50| 24  31  39   3   3| 422M  700M 86.0M 2519M|3905B 2160B|   0    16k|   0  4.00 |1260  3860 |1.48 1.33 1.24|1.0   0 209|   0     0 |systemd              1     11%   0    0 |bash                 162361504k  12k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 14:17:51 ubuntu dstat.sh[13964]: 28-03 14:17:51| 24  34  36   0   5| 431M  691M 86.0M 2519M|6454B 2106B|   0    16k|   0  4.00 |1461  5205 |1.48 1.33 1.24| 11   0 205|   0     0 |systemd              1     12%   0    0 |bash                 162361385k  11k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 14:17:52 ubuntu dstat.sh[13964]: 28-03 14:17:52| 11  17  56   0  15| 549M  572M 86.0M 2641M|5752B 1998B|   0    33M|   0  36.0 |1027  2817 |1.60 1.35 1.25|1.0   0  52|   0     0 |systemd              1     10%   0    0 |bash                 16236 282k3050B0.5%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 28 14:17:53 ubuntu dstat.sh[13964]: 28-03 14:17:53| 15  25  42   0  18| 552M  569M 86.0M 2642M|5977B 2160B|   0     0 |   0     0 |1267  2865 |1.60 1.35 1.25|2.0   0 265|   0     0 |bash                 162366.0% 434k  15k|keystone-manage      15288 883k  42k5.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 14:17:54 ubuntu dstat.sh[13964]: 28-03 14:17:54| 38   5  42  11   5| 570M  550M 86.2M 2642M|5145B 1782B| 880k  224k| 100  2.00 | 794  1173 |1.60 1.35 1.25|  0 1.0 3.0|   0     0 |keystone-manage      15288 41%4599k  38k|keystone-manage      152884599k  38k 41%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 14:17:55 ubuntu dstat.sh[13964]: 28-03 14:17:55| 37   5  46   9   4| 589M  530M 86.6M 2643M|3636B 2106B| 968k    0 | 160     0 | 696  1163 |1.60 1.35 1.25|1.0   0   0|   0     0 |keystone-manage      15288 39%4353k  46k|keystone-manage      152884353k  46k 39%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 14:17:56 ubuntu dstat.sh[13964]: 28-03 14:17:56| 39   7  35  11   7| 610M  508M 86.6M 2644M|3907B 1728B| 672k  388k|51.0  32.0 | 733   827 |1.60 1.35 1.25|2.0 1.0   0|   0     0 |keystone-manage      15288 47%5638k 412k|keystone-manage      152885638k 412k 47%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 14:17:57 ubuntu dstat.sh[13964]: 28-03 14:17:57| 22   9  41  27   1| 618M  499M 86.7M 2645M|3866B 1944B| 104k 3244k|9.00  93.0 | 916  1311 |1.56 1.35 1.25|1.0 1.0   0|   0     0 |keystone-manage      15288 14%1111k 190k|keystone-manage      152881111k 190k 14%|mysqld       177M|   0     0 |  16    7    0    7    0
Mar 28 14:17:58 ubuntu dstat.sh[13964]: 28-03 14:17:58| 11   4  44  38   4| 627M  490M 86.7M 2645M|4478B 2160B|   0   560k|   0  37.0 | 672  1089 |1.56 1.35 1.25|  0 1.0   0|   0     0 |keystone-manage      152885.0%  38k  53k|keystone-manage      15288  38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 28 14:17:59 ubuntu dstat.sh[13964]: 28-03 14:17:59|  3   3  47  43   3| 627M  489M 87.0M 2645M|3957B 2160B|   0  1584k|   0   109 | 755  1273 |1.56 1.35 1.25|  0 1.0   0|   0     0 |rcu_sched            8    1.5%   0    0 |python2              14110  14k 464B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 28 14:18:00 ubuntu dstat.sh[13964]: 28-03 14:18:00|  4   1  49  45   1| 628M  488M 87.2M 2645M|5054B 1944B|   0  1152k|   0  86.0 | 673  1165 |1.56 1.35 1.25|1.0   0   0|   0     0 |mysqld               132421.0%   0    0 |python2              14110  14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 28 14:18:01 ubuntu dstat.sh[13964]: 28-03 14:18:01|  2   1  49  46   1| 628M  487M 87.3M 2646M|4647B 2160B|   0   768k|   0  51.0 | 517   901 |1.56 1.35 1.25|  0 1.0   0|   0     0 |jbd2/vda1-8          303  0.5%   0    0 |python2              14110  14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 28 14:18:02 ubuntu dstat.sh[13964]: 28-03 14:18:02|  2   1  49  47   1| 628M  487M 87.4M 2646M|3385B 1944B|   0  2784k|   0  65.0 | 352   679 |1.67 1.37 1.26|  0 1.0   0|   0     0 |kworker/u4:0         120670.5%   0    0 |python2              14110  14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 28 14:18:03 ubuntu dstat.sh[13964]: 28-03 14:18:03|  2   2  50  45   1| 628M  487M 87.5M 2646M|3869B 2160B|   0   772k|   0  52.0 | 505   870 |1.67 1.37 1.26|  0 1.0   0|   0     0 |mysqld               132421.0%   0    0 |python2              14110  14k 461B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 28 14:18:04 ubuntu dstat.sh[13964]: 28-03 14:18:04|  3   2  48  46   1| 629M  486M 87.6M 2646M|6390B 1944B|   0   740k|   0  57.0 | 592  1039 |1.67 1.37 1.26|  0 1.0 2.0|   0     0 |mysqld               132421.0%   0    0 |python2              14110  14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
