"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Mar 2020 19:40:39 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-03 19:40:39,12.600,3.794,61.283,20.806,1.517,442560512,784601088,89128960,2602688512,0,0,168538.087,2418017.752,9.824,26.908,646.735,1072.545,1.010,1.160,1.190,3,0,22.852,0,0,14,3,0,5,0
28-03 19:40:40,11.165,17.476,6.796,58.252,6.311,441909248,785092608,89137152,2602782720,4024,2160,0,34648064,0,39,895,1890,1.090,1.170,1.190,3,1,209,0,0,14,3,0,5,0
28-03 19:40:41,24.623,32.161,36.683,0.503,6.030,441270272,785371136,89145344,2603196416,5164,2160,286720,77824,4,9,1478,4306,1.090,1.170,1.190,2,0,261,0,0,14,3,0,5,0
28-03 19:40:42,28.713,31.683,36.634,0,2.970,442654720,783921152,89145344,2603134976,4307,1944,0,16384,0,4,1977,4819,1.090,1.170,1.190,2,0,203,0,0,14,3,0,5,0
28-03 19:40:43,4.061,6.091,89.340,0,0.508,572600320,653598720,89145344,2731167744,4363,2160,0,0,0,0,603,1727,1.090,1.170,1.190,0,0,19,0,0,16,3,0,5,0
28-03 19:40:44,24.272,24.757,39.320,2.427,9.223,583782400,642363392,89145344,2731204608,8701,2160,0,8216576,0,19,1349,3279,1.090,1.170,1.190,2,0,295,0,0,16,5,0,7,0
28-03 19:40:45,31.841,3.980,46.766,14.428,2.985,598945792,625790976,89538560,2732204032,6672,1944,1347584,217088,172,1,731,1229,1.080,1.170,1.190,2,0,2,0,0,16,5,0,7,0
28-03 19:40:46,33,2.500,42,21,1.500,615428096,608460800,89976832,2732601344,4902,2160,724992,425984,132,2,560,1080,1.080,1.170,1.190,4,0,0,0,0,16,5,0,7,0
28-03 19:40:47,41,6,47,3.500,2.500,640184320,582426624,89980928,2733854720,5703,1944,684032,0,50,0,629,887,1.080,1.170,1.190,2,0,0,0,0,16,5,0,7,0
