"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 01:13:29 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 01:13:29,16.614,4.735,55.000,22.504,1.147,439762944,768512000,91471872,2620256256,0,0,196874.791,3326063.652,10.987,36.698,837.400,1585.331,1.100,1.170,1.170,2,0,26.498,0,0,14,3,0,5,0
31-03 01:13:30,19,38,38.500,1,3.500,440762368,766930944,91480064,2620620800,8095,1782,315392,122880,4,8,1477,3935,1.100,1.170,1.170,2,0,393,0,0,14,3,0,5,0
31-03 01:13:31,25.123,34.975,35.961,0,3.941,440041472,767459328,91480064,2620780544,5898,1782,0,20480,0,5,1774,4112,1.100,1.170,1.170,2,0,263,0,0,14,3,0,5,0
31-03 01:13:32,34.518,25.888,37.563,0,2.030,441675776,765792256,91480064,2620887040,3843,2106,0,16384,0,4,1468,6588,1.100,1.170,1.170,3,0,211,0,0,14,3,0,5,0
31-03 01:13:33,24.873,28.426,45.178,0,1.523,576188416,630833152,91480064,2748891136,3573,2160,0,212992,0,2,1951,5765,1.100,1.170,1.170,3,0,314,0,0,16,5,0,7,0
31-03 01:13:34,41.089,3.465,47.525,7.426,0.495,597073920,608915456,91586560,2749816832,4966,2034,929792,0,89,0,626,994,1.090,1.160,1.160,2,0,1,0,0,16,5,0,7,0
31-03 01:13:35,38.308,3.483,45.771,12.438,0,615649280,589832192,91643904,2750263296,3839,1836,487424,413696,55,2,547,855,1.090,1.160,1.160,2,0,0,0,0,16,5,0,7,0
31-03 01:13:36,41.500,4.500,48,5.500,0.500,638582784,565170176,91684864,2751848448,4178,2052,675840,0,48,0,537,810,1.090,1.160,1.160,0,1,0,0,0,16,5,0,7,0
31-03 01:13:37,25.126,11.055,31.658,31.658,0.503,654905344,548085760,91856896,2752413696,3578,2160,106496,2011136,9,69,1168,2070,1.090,1.160,1.160,0,1,0,0,0,16,7,0,7,0
31-03 01:13:38,3.061,1.531,48.469,46.429,0.510,655671296,546631680,92135424,2752790528,9065,1944,0,1888256,0,136,897,1539,1.090,1.160,1.160,1,0,2,0,0,16,7,0,7,0
31-03 01:13:39,2.500,3.500,47.500,45.500,1,656166912,545431552,92442624,2753159168,20738,1944,0,1728512,0,121,920,1380,1.080,1.160,1.160,0,1,0,0,0,16,7,0,7,0
31-03 01:13:40,6.061,3.030,45.455,44.949,0.505,656740352,544243712,92749824,2753466368,5323,1944,0,1613824,0,132,777,1571,1.080,1.160,1.160,0,1,0,0,0,16,7,0,7,0
31-03 01:13:41,10.660,7.614,35.533,46.193,0,657666048,542715904,93097984,2753720320,4575,2160,0,1224704,0,130,710,1885,1.080,1.160,1.160,2,0,0,0,0,16,7,0,7,0
