"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","30 Mar 2020 23:54:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
30-03 23:54:43,17.016,5.042,53.275,22.116,2.550,443244544,691929088,90628096,2689380352,0,0,246450.132,3210980.020,12.903,37.131,821.320,1401.763,2.250,1.610,1.360,4,0,27.616,0,0,14,3,0,5,0
30-03 23:54:44,17.391,35.749,36.232,3.382,7.246,442580992,692449280,90640384,2689437696,4700,2202,0,159744,0,10,1439,3603,2.250,1.610,1.360,1,0,369,0,0,14,3,0,5,0
30-03 23:54:45,24.103,29.744,40.513,0,5.641,441987072,692994048,90640384,2689462272,8896,1944,0,20480,0,5,1622,3809,2.250,1.610,1.360,2,0,245,0,0,14,3,0,5,0
30-03 23:54:46,28.643,29.648,36.683,0,5.025,573288448,561479680,90640384,2817482752,6047,2160,0,8192,0,2,2534,5283,2.250,1.610,1.360,1,0,144,0,0,16,3,0,5,0
30-03 23:54:47,7.882,15.764,68.473,0,7.882,574128128,560467968,90640384,2817531904,5045,1944,0,0,0,0,866,2088,2.250,1.610,1.360,2,0,195,0,0,16,5,0,5,0
30-03 23:54:48,35.266,12.077,46.860,0,5.797,594124800,540377088,90640384,2817626112,4671,2160,0,0,0,0,853,1609,2.230,1.610,1.370,1,0,100,0,0,16,5,0,8,0
30-03 23:54:49,4.569,1.523,44.670,49.239,0,596701184,537198592,90714112,2818154496,4344,2160,622592,266240,45,2,548,775,2.230,1.610,1.370,0,1,0,0,0,16,5,0,8,0
30-03 23:54:50,8,1.500,48,42,0.500,599044096,534503424,90873856,2818347008,4150,1944,307200,0,60,0,533,846,2.230,1.610,1.370,0,1,0,0,0,16,5,0,8,0
30-03 23:54:51,3.627,1.036,49.741,44.560,1.036,601272320,531775488,91119616,2818600960,5403,2160,507904,0,89,0,525,989,2.230,1.610,1.370,0,1,2,0,0,16,5,0,8,0
30-03 23:54:52,9.045,1.005,47.739,41.206,1.005,605814784,526852096,91262976,2818838528,4467,1836,348160,0,50,0,429,758,2.230,1.610,1.370,2,0,0,0,0,16,5,0,8,0
30-03 23:54:53,21.675,3.941,17.734,51.724,4.926,616878080,515645440,91275264,2818969600,5075,2268,90112,2162688,12,48,601,788,2.210,1.620,1.370,1,1,0,0,0,16,5,0,8,0
30-03 23:54:54,12.563,2.513,36.181,45.729,3.015,619917312,512024576,91283456,2819543040,6367,1944,565248,921600,39,12,567,733,2.210,1.620,1.370,1,0,0,0,0,16,5,0,8,0
30-03 23:54:55,36.683,5.025,49.246,9.045,0,638062592,493076480,91291648,2820337664,4891,2052,122880,0,12,0,540,756,2.210,1.620,1.370,1,0,0,0,0,16,5,0,8,0
30-03 23:54:56,20.202,8.586,36.364,33.838,1.010,647237632,483229696,91324416,2820915200,6520,2268,106496,1044480,9,8,743,1249,2.210,1.620,1.370,0,1,0,0,0,16,7,0,8,0
30-03 23:54:57,10.101,2.525,46.970,38.889,1.515,656994304,473288704,91394048,2821029888,5172,1944,0,331776,0,28,521,912,2.210,1.620,1.370,0,1,0,0,0,16,7,0,8,0
30-03 23:54:58,2.030,1.015,49.239,47.716,0,657154048,473006080,91459584,2821087232,4758,2160,0,376832,0,26,389,730,2.190,1.630,1.370,0,1,0,0,0,16,7,0,8,0
30-03 23:54:59,1.508,0.503,29.146,68.844,0,657195008,472940544,91467776,2821103616,4665,2160,0,696320,0,28,322,577,2.190,1.630,1.370,0,4,0,0,0,16,7,0,8,0
30-03 23:55:00,1.508,0.503,0,97.990,0,657154048,472973312,91467776,2821111808,7046,2160,0,0,0,0,295,590,2.190,1.630,1.370,0,5,0,0,0,16,7,0,8,0
30-03 23:55:01,2.500,1,0,95,1.500,657719296,472399872,91467776,2821120000,5597,1944,0,2084864,0,137,383,741,2.190,1.630,1.370,0,2,2,0,0,16,7,0,9,0
30-03 23:55:03,0.958,0.319,0.958,97.764,0,657620992,472498176,91475968,2821111808,7480,3334,0,8728576,0,94,542,765,2.820,1.770,1.420,0,1,0,0,0,16,7,0,8,0
30-03 23:55:03,4.706,1.176,44.706,49.412,0,657453056,472530944,91484160,2821234688,1766,864,0,1044480,0,7,162,298,2.820,1.770,1.420,0,2,0,0,0,16,7,0,8,0
30-03 23:55:04,2.030,1.015,41.117,55.330,0.508,657600512,472178688,91557888,2821361664,5534,2160,0,860160,0,41,439,859,2.820,1.770,1.420,0,1,0,0,0,16,7,0,7,0
30-03 23:55:05,2.513,0.503,47.739,48.744,0.503,657702912,471990272,91619328,2821386240,3748,1944,0,376832,0,25,370,788,2.820,1.770,1.420,0,1,0,0,0,16,7,0,7,0
30-03 23:55:06,2.500,1.500,47.500,47.500,1,657555456,471961600,91697152,2821480448,4508,1944,0,462848,0,33,422,839,2.820,1.770,1.420,0,1,0,0,0,16,7,0,7,0
30-03 23:55:07,2.020,0.505,48.485,47.475,1.515,658067456,471171072,91807744,2821619712,4828,2160,0,630784,0,42,466,898,2.820,1.770,1.420,0,1,0,0,0,16,7,0,7,0
30-03 23:55:08,2,2,37,59,0,659722240,469372928,91873280,2821693440,7063,2160,0,1900544,0,40,448,829,2.750,1.770,1.420,1,2,0,0,0,16,7,0,7,0
30-03 23:55:09,1.515,1.010,0,96.970,0.505,658243584,470847488,91873280,2821697536,7726,1944,0,4673536,0,74,434,683,2.750,1.770,1.420,1,3,0,0,0,16,7,0,7,0
30-03 23:55:10,1.493,1.493,0,95.522,1.493,658333696,470720512,91881472,2821718016,4911,1944,0,4120576,0,80,422,673,2.750,1.770,1.420,0,2,0,0,0,16,7,0,7,0
30-03 23:55:11,2.010,2.010,31.658,63.819,0.503,658141184,470474752,91906048,2822127616,3336,2160,0,2707456,0,84,404,897,2.750,1.770,1.420,0,1,2,0,0,16,7,0,7,0
30-03 23:55:12,2.488,0.995,42.786,52.736,0.995,658079744,470540288,91938816,2822090752,6027,1944,0,409600,0,18,366,691,2.750,1.770,1.420,0,1,0,0,0,16,7,0,7,0
30-03 23:55:13,2.551,0.510,48.980,47.449,0.510,658345984,470249472,91959296,2822094848,4086,1944,0,765952,0,26,343,651,2.850,1.810,1.440,0,2,0,0,0,16,7,0,7,0
30-03 23:55:14,1.500,1.500,46,50.500,0.500,658182144,470061056,92037120,2822365184,4290,2160,0,389120,0,29,363,777,2.850,1.810,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:15,1.523,2.030,42.132,52.284,2.030,658366464,469774336,92131328,2822369280,3845,1944,0,495616,0,35,439,782,2.850,1.810,1.440,3,1,0,0,0,16,7,0,7,0
30-03 23:55:16,2.488,0.498,18.408,77.612,0.995,658628608,469389312,92200960,2822418432,4861,2160,0,786432,0,63,478,771,2.850,1.810,1.440,1,1,0,0,0,16,7,0,7,0
30-03 23:55:17,1.515,1.010,43.939,53.535,0,658575360,469200896,92311552,2822545408,4057,1944,0,581632,0,43,451,845,2.850,1.810,1.440,1,1,0,0,0,16,7,0,7,0
30-03 23:55:18,2.985,0.995,39.303,54.229,2.488,658747392,468848640,92397568,2822635520,5022,2160,0,499712,0,36,411,785,2.790,1.810,1.440,1,1,0,0,0,16,7,0,7,0
30-03 23:55:19,1.015,1.523,38.071,59.391,0,658837504,468533248,92508160,2822742016,5413,1944,0,630784,0,41,465,818,2.790,1.810,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:20,1.531,0,29.082,69.388,0,658845696,468369408,92573696,2822819840,4093,2160,0,8568832,0,42,403,736,2.790,1.810,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:21,2.020,0.505,47.475,49.495,0.505,659439616,467578880,92672000,2822885376,6506,2160,0,569344,0,39,447,918,2.790,1.810,1.440,0,1,2,0,0,16,7,0,7,0
30-03 23:55:22,7.538,4.523,46.231,41.709,0,659570688,467263488,92778496,2822959104,3920,2160,0,446464,0,43,433,951,2.790,1.810,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:23,8.040,8.040,34.171,49.749,0,659988480,466751488,92856320,2822971392,4047,1944,0,339968,0,34,461,896,2.640,1.800,1.440,4,1,0,0,0,16,7,0,7,0
30-03 23:55:24,7.576,9.596,35.859,46.970,0,660131840,466468864,92942336,2823020544,3849,2160,0,368640,0,31,444,924,2.640,1.800,1.440,1,1,0,0,0,16,7,0,7,0
30-03 23:55:25,10.500,7,31.500,50.500,0.500,660209664,466280448,93036544,2823032832,4483,1944,0,372736,0,34,437,979,2.640,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:26,11.558,10.553,29.648,46.734,1.508,660426752,465928192,93130752,2823073792,11004,2160,0,1363968,0,50,512,1008,2.640,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:27,7.463,8.458,37.313,44.279,2.488,660574208,465612800,93229056,2823139328,4615,1944,0,581632,0,55,524,1173,2.640,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:28,2.985,3.483,44.279,46.766,2.488,660889600,465133568,93302784,2823225344,4110,1944,0,430080,0,30,499,977,2.510,1.780,1.430,0,1,0,0,0,16,7,0,7,0
30-03 23:55:29,2.525,5.556,41.919,48.990,1.010,661168128,464850944,93421568,2823106560,4899,2160,0,532480,0,49,496,1049,2.510,1.780,1.430,0,1,0,0,0,16,7,0,7,0
30-03 23:55:30,1.990,1.990,30.846,64.677,0.498,661184512,464719872,93446144,2823192576,4115,1944,0,196608,0,9,344,657,2.510,1.780,1.430,0,1,0,0,0,16,7,0,7,0
30-03 23:55:31,2.010,2.010,25.628,69.849,0.503,661114880,464277504,93478912,2823659520,4091,2160,0,2555904,0,33,463,1100,2.510,1.780,1.430,0,1,2,0,0,16,7,0,7,0
30-03 23:55:32,1.508,1.005,47.739,49.246,0.503,661258240,464084992,93519872,2823667712,6781,1944,0,487424,0,19,412,686,2.510,1.780,1.430,0,1,0,0,0,16,7,0,7,0
30-03 23:55:33,2.010,1.005,44.724,51.256,1.005,661073920,464216064,93552640,2823688192,7369,2160,0,2748416,0,34,427,731,2.550,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:34,12.563,17.588,25.628,43.719,0.503,661278720,463863808,93618176,2823766016,7429,1944,0,2637824,0,77,742,1150,2.550,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:35,7.576,7.071,34.848,50,0.505,661434368,463581184,93753344,2823757824,10267,2160,0,999424,0,69,578,1146,2.550,1.800,1.440,0,1,0,0,0,16,7,0,7,0
30-03 23:55:36,2.030,0.508,47.716,49.746,0,661573632,463450112,93790208,2823712768,7305,2160,0,294912,0,26,423,949,2.550,1.800,1.440,0,3,0,0,0,16,7,0,4,0
30-03 23:55:37,2,0.500,36.500,60.500,0.500,661585920,463421440,93818880,2823696384,4651,1944,0,688128,0,38,394,763,2.550,1.800,1.440,0,2,0,0,0,16,7,0,4,0
30-03 23:55:38,5.025,2.513,44.724,47.739,0,661733376,463101952,93855744,2823827456,5810,2160,0,2686976,0,48,502,1064,2.510,1.810,1.450,1,1,0,0,0,16,7,0,4,0
30-03 23:55:39,10.101,11.111,49.495,29.293,0,661798912,463073280,93925376,2823720960,5176,1944,0,8585216,0,50,533,1042,2.510,1.810,1.450,0,1,0,0,0,16,7,0,4,0
30-03 23:55:40,10.500,15,45.500,26.500,2.500,662142976,462561280,94015488,2823794688,4952,2160,0,593920,0,46,597,1031,2.510,1.810,1.450,1,1,0,0,0,16,7,0,4,0
30-03 23:55:41,8.081,10.101,33.838,46.970,1.010,662228992,462405632,94105600,2823774208,4025,2160,0,544768,0,39,572,1133,2.510,1.810,1.450,1,1,2,0,0,16,7,0,4,0
30-03 23:55:42,6.500,5.500,43.500,44.500,0,662831104,461750272,94208000,2823708672,4374,1986,0,659456,0,52,532,1519,2.510,1.810,1.450,0,1,0,0,0,16,7,0,4,0
30-03 23:55:43,6.030,6.030,41.709,45.729,0.503,663109632,461275136,94302208,2823802880,4946,2160,0,692224,0,46,426,1180,2.460,1.810,1.450,0,1,0,0,0,16,7,0,4,0
30-03 23:55:44,2.030,1.015,43.655,52.792,0.508,663179264,461152256,94388224,2823766016,5162,1944,0,446464,0,35,405,1047,2.460,1.810,1.450,0,2,0,0,0,16,7,0,4,0
30-03 23:55:45,2.475,0.990,0.495,95.545,0.495,663293952,461021184,94392320,2823774208,5271,2202,0,106496,0,2,296,734,2.460,1.810,1.450,0,2,0,0,0,16,7,0,4,0
30-03 23:55:46,5.556,5.051,29.293,60.101,0,663437312,460865536,94474240,2823704576,4602,2160,0,540672,0,44,469,1121,2.460,1.810,1.450,0,1,0,0,0,16,7,0,4,0
30-03 23:55:47,3.015,1.005,40.704,54.271,1.005,663445504,460738560,94494720,2823802880,5867,2160,0,761856,0,47,386,753,2.460,1.810,1.450,0,3,0,0,0,16,7,0,4,0
30-03 23:55:48,1.508,1.508,30.151,66.332,0.503,663441408,460709888,94523392,2823806976,5141,1944,0,2314240,0,27,410,868,2.590,1.850,1.460,2,1,0,0,0,16,7,0,4,0
30-03 23:55:49,1.015,1.015,32.487,65.482,0,663572480,460357632,94552064,2823995392,4759,2160,0,3104768,0,47,395,1275,2.590,1.850,1.460,0,1,0,0,0,16,7,0,1,0
30-03 23:55:50,14.925,14.925,36.318,33.333,0.498,663433216,460455936,94633984,2823954432,6281,2160,0,1650688,0,57,561,1175,2.590,1.850,1.460,0,1,0,0,0,16,7,0,1,0
30-03 23:55:51,3.535,1.010,44.949,50.505,0,663404544,460394496,94707712,2823966720,6176,2160,0,958464,0,43,521,1214,2.590,1.850,1.460,0,1,2,0,0,16,7,0,1,0
30-03 23:55:52,4,1.500,46.500,47.500,0.500,663564288,460169216,94732288,2823999488,3948,2160,0,1040384,0,22,425,1091,2.590,1.850,1.460,0,2,0,0,0,16,7,0,1,0
30-03 23:55:53,3.015,1.508,45.729,48.744,1.005,663826432,459726848,94801920,2824101888,3287,1944,0,753664,0,36,420,980,2.460,1.830,1.460,0,2,0,0,0,16,7,0,1,0
30-03 23:55:54,1.508,4.020,47.236,46.734,0.503,664748032,389767168,94826496,2891239424,4292,1944,0,512000,0,15,340,738,2.460,1.830,1.460,0,2,0,0,0,16,7,0,1,0
30-03 23:55:55,1,1,48.500,47.500,2,664838144,389668864,94826496,2891247616,7013,2160,0,0,0,0,354,672,2.460,1.830,1.460,0,2,0,0,0,16,7,0,1,0
30-03 23:55:56,2.513,0.503,47.739,47.236,2.010,664801280,389701632,94826496,2891251712,9500,2160,0,62128128,0,59,363,616,2.460,1.830,1.460,0,2,0,0,0,16,7,0,1,0
30-03 23:55:57,1.005,1.508,47.739,48.241,1.508,664788992,389640192,94859264,2891292672,5114,1944,0,13869056,0,48,309,667,2.460,1.830,1.460,0,1,0,0,0,16,7,0,1,0
30-03 23:55:58,2.513,1.508,41.709,52.764,1.508,665120768,389160960,94916608,2891374592,4933,1944,0,815104,0,29,373,715,2.420,1.840,1.460,0,1,0,0,0,16,7,0,1,0
30-03 23:55:59,2.020,1.515,46.465,48.990,1.010,665034752,389099520,94969856,2891464704,4004,2160,0,864256,0,39,482,887,2.420,1.840,1.460,0,1,0,0,0,16,7,0,1,0
