-- Logs begin at Mon 2020-03-30 23:14:34 UTC, end at Tue 2020-03-31 00:47:17 UTC. --
Mar 30 23:54:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 23:54:43 ubuntu dstat.sh[1777]: [286B blob data]
Mar 30 23:54:43 ubuntu dstat.sh[1777]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 23:54:43 ubuntu dstat.sh[1777]: 30-03 23:54:43| 17   5  53  22   3| 421M  661M 86.4M 2565M|   0     0 | 241k 3136k|12.9  37.1 | 821  1402 |2.25 1.61 1.36|2.0   0  28|   0     0 |systemd              1    0.5%   0    0 |bash                 3642 2617k2421k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 30 23:54:44 ubuntu dstat.sh[1777]: 30-03 23:54:44| 18  35  36   3   7| 422M  661M 86.4M 2565M|4331B 2202B|   0   156k|   0  10.0 |1447  3602 |2.25 1.61 1.36|2.0   0 369|   0     0 |bash                 3642 6.5%1738k  24k|bash                 3642 1738k  24k6.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 30 23:54:45 ubuntu dstat.sh[1777]: 30-03 23:54:45| 25  31  39   0   6| 422M  661M 86.4M 2565M|9561B 2160B|   0    20k|   0  5.00 |1652  3904 |2.25 1.61 1.36|2.0   0 259|   0     0 |systemd              1     10%   0    0 |bash                 3642 1843k  16k4.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 30 23:54:46 ubuntu dstat.sh[1777]: 30-03 23:54:46| 27  29  38   0   5| 432M  651M 86.4M 2572M|5409B 1944B|   0  8192B|   0  2.00 |2460  5122 |2.25 1.61 1.36|1.0   0 147|   0     0 |systemd              1     20%   0    0 |bash                 3642  860k5723B1.5%|mysqld       174M|   0     0 |  16    3    0    5    0
Mar 30 23:54:47 ubuntu dstat.sh[1777]: 30-03 23:54:47|  8  16  68   0   7| 547M  535M 86.4M 2687M|5185B 2160B|   0     0 |   0     0 | 935  2152 |2.25 1.61 1.36|3.0   0 183|   0     0 |bash                 3642 3.5% 339k  10k|bash                 3642  339k  10k3.5%|mysqld       174M|   0     0 |  16    5    0    5    0
Mar 30 23:54:48 ubuntu dstat.sh[1777]: 30-03 23:54:48| 34  13  47   0   6| 565M  517M 86.4M 2687M|5169B 2160B|   0     0 |   0     0 | 856  1694 |2.23 1.61 1.37|1.0   0 113|   0     0 |keystone-manage      3120  32%4469k  81k|keystone-manage      3120 4469k  81k 32%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:49 ubuntu dstat.sh[1777]: 30-03 23:54:49|  6   1  45  48   0| 569M  512M 86.5M 2688M|3364B 1944B| 568k  260k|41.0  2.00 | 532   764 |2.23 1.61 1.37|  0 1.0   0|   0     0 |keystone-manage      3120 5.0% 844k   0 |keystone-manage      3120  844k   0 5.0%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:50 ubuntu dstat.sh[1777]: 30-03 23:54:50|  8   2  48  42   1| 571M  510M 86.7M 2688M|4761B 2160B| 340k    0 |64.0     0 | 548   856 |2.23 1.61 1.37|  0 1.0   0|   0     0 |keystone-manage      3120 8.0% 522k   0 |keystone-manage      3120  522k   0 8.0%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:51 ubuntu dstat.sh[1777]: 30-03 23:54:51|  4   1  48  46   1| 573M  507M 86.9M 2688M|5476B 1890B| 492k    0 |88.0     0 | 525   981 |2.23 1.61 1.37|  0 1.0 2.0|   0     0 |keystone-manage      3120 3.5% 340k   0 |keystone-manage      3120  340k   0 3.5%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:52 ubuntu dstat.sh[1777]: 30-03 23:54:52|  8   1  49  42   1| 577M  504M 87.0M 2688M|4763B 2106B| 344k    0 |51.0     0 | 430   786 |2.23 1.61 1.37|2.0   0   0|   0     0 |keystone-manage      3120 7.0% 992k  46k|keystone-manage      3120  992k  46k7.0%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:53 ubuntu dstat.sh[1777]: 30-03 23:54:53| 21   4  18  51   5| 588M  492M 87.0M 2688M|4779B 2052B|  88k 1932k|12.0  44.0 | 579   746 |2.21 1.62 1.37|1.0 1.0   0|   0     0 |keystone-manage      3120  24%2668k   0 |keystone-manage      3120 2668k   0  24%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 30 23:54:54 ubuntu dstat.sh[1777]: 30-03 23:54:54| 15   2  36  45   3| 591M  489M 87.1M 2689M|6663B 2160B| 524k 1080k|37.0  16.0 | 591   767 |2.21 1.62 1.37|  0 1.0   0|   0     0 |keystone-manage      3120  14% 725k   0 |keystone-manage      3120  725k   0  14%|mysqld       174M|   0     0 |  16    5    0    8    0
