-- Logs begin at Tue 2020-03-17 17:20:14 UTC, end at Tue 2020-03-17 20:24:07 UTC. --
Mar 17 18:04:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 17 18:04:46 ubuntu dstat.sh[809]: [286B blob data]
Mar 17 18:04:46 ubuntu dstat.sh[809]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 17 18:04:46 ubuntu dstat.sh[809]: 17-03 18:04:46| 17   5  55  21   2| 420M  326M  136M 2836M|   0     0 | 158k 3024k|7.61  35.4 | 704  1219 |1.01 1.14 1.19|4.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 4025 2473k2337k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 18:04:47 ubuntu dstat.sh[809]: 17-03 18:04:47| 20  34  32  10   3| 421M  324M  136M 2836M|4381B 1782B| 260k  688k|3.00  37.0 |1494  3762 |1.01 1.14 1.19|  0 3.0 393|   0     0 |bash                 4025 7.0%1147k  24k|bash                 4025 1147k  24k7.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 18:04:48 ubuntu dstat.sh[809]: 17-03 18:04:48| 14  20  37  28   1| 420M  324M  136M 2836M|3566B 1944B|   0  1584k|   0   103 |1147  2323 |1.01 1.14 1.18|2.0   0 206|   0     0 |bash                 4025 3.0%1791k  15k|bash                 4025 1791k  15k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 18:04:49 ubuntu dstat.sh[809]: 17-03 18:04:49| 28  34  38   0   1| 421M  323M  136M 2837M|4743B 1986B|   0    20k|   0  5.00 |1510  6907 |1.01 1.14 1.18|2.0   0 244|   0     0 |systemd              1     14%   0    0 |bash                 4025 1423k  13k2.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 17 18:04:50 ubuntu dstat.sh[809]: 17-03 18:04:50| 20  17  62   0   1| 546M  198M  136M 2959M|4667B 2106B|   0     0 |   0     0 |1733  5027 |1.01 1.14 1.18|  0   0  52|   0     0 |systemd              1     16%   0    0 |bash                 4025  232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 17 18:04:51 ubuntu dstat.sh[809]: 17-03 18:04:51| 11  22  67   0   1| 546M  198M  136M 2959M|3780B 1944B|   0     0 |   0     0 |1141  2767 |1.01 1.14 1.18|1.0   0 240|   0     0 |bash                 4025 4.0% 416k  13k|bash                 4025  416k  13k4.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 17 18:04:52 ubuntu dstat.sh[809]: 17-03 18:04:52| 40   8  45   4   2| 567M  177M  136M 2959M|4444B 1890B| 208k  176k|11.0  2.00 | 687  1233 |1.01 1.14 1.18|1.0   0  56|   0     0 |keystone-manage      2245  39%5181k  81k|keystone-manage      2245 5181k  81k 39%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 18:04:53 ubuntu dstat.sh[809]: 17-03 18:04:53| 24   4  35  38   0| 583M  160M  136M 2960M|6073B 1998B| 828k  336k|77.0  54.0 | 630   842 |1.01 1.14 1.18|2.0 1.0   0|   0     0 |keystone-manage      2245  25%3505k  46k|keystone-manage      2245 3505k  46k 25%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 18:04:54 ubuntu dstat.sh[809]: 17-03 18:04:54| 35   3  24  38   1| 594M  149M  136M 2961M|4830B 1944B| 600k   34M|45.0   109 | 602   745 |1.01 1.14 1.18|1.0   0   0|   0     0 |keystone-manage      2245  35%2940k 107k|keystone-manage      2245 2940k 107k 35%|mysqld       174M|   0     0 |  16    5    0    6    0
Mar 17 18:04:55 ubuntu dstat.sh[809]: 17-03 18:04:55| 45  10  40   3   1| 619M  122M  137M 2962M|3829B 1728B| 184k   12k|14.0  1.00 | 836  1315 |1.01 1.14 1.18|2.0 1.0   0|   0     0 |keystone-manage      2245  44%5611k 494k|keystone-manage      2245 5611k 494k 44%|mysqld       178M|   0     0 |  16    7    0    6    0
