"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Feb 2020 09:27:15 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-02 09:27:15,19.243,5.192,58.370,16.566,0.630,479059968,605847552,141230080,2674491392,0,0,199316.242,3404622.478,9.131,38.794,878.401,1536.586,1.350,1.160,1.050,2,1,27.886,0,0,14,3,0,4,0
21-02 09:27:16,10.945,23.383,1.493,60.199,3.980,479432704,605310976,141230080,2674524160,5330,2916,0,2875392,0,145,1270,2392,1.350,1.160,1.050,1,6,268,0,0,14,3,0,4,0
21-02 09:27:17,24.242,35.354,32.828,6.061,1.515,480600064,603705344,141242368,2675068928,9289,2958,151552,548864,3,17,1534,3871,1.350,1.160,1.050,2,0,290,0,0,14,3,0,4,0
21-02 09:27:18,27.041,34.184,38.265,0,0.510,480243712,604028928,141242368,2674991104,5610,2916,0,16384,0,4,1985,6602,1.350,1.160,1.050,3,0,214,0,0,14,3,0,4,0
21-02 09:27:19,14,13.500,71.500,0,1,610942976,472883200,141242368,2802921472,6444,3240,0,0,0,0,915,1852,1.320,1.160,1.050,2,0,45,0,0,16,3,0,4,0
21-02 09:27:20,15.500,23,60,0,1.500,611057664,472764416,141242368,2802925568,5248,2592,0,0,0,0,1304,2888,1.320,1.160,1.050,3,0,271,0,0,16,5,0,6,0
21-02 09:27:21,42.640,7.614,47.716,1.523,0.508,633454592,450084864,141242368,2803200000,12125,3186,184320,0,9,0,841,1082,1.320,1.160,1.050,1,1,25,0,0,16,5,0,6,0
21-02 09:27:22,14,2.500,27.500,56,0,639205376,443613184,141250560,2803826688,15201,2970,540672,34717696,62,41,636,895,1.320,1.160,1.050,1,1,0,0,0,16,5,0,6,0
21-02 09:27:23,45.729,4.523,47.236,2.513,0,660480000,421167104,141250560,2804858880,6684,3240,749568,0,55,0,647,986,1.320,1.160,1.050,4,0,0,0,0,16,5,0,6,0
