"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Feb 2020 20:28:54 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-02 20:28:54,15.343,4.485,52.947,24.753,2.473,470638592,621559808,142077952,2668429312,0,0,150379.087,2835108.658,7.010,32.206,697.423,1224.992,1.330,1.290,1.260,2,0,22.556,0,0,14,3,0,4,0
27-02 20:28:55,18.182,30.622,31.579,6.699,12.919,472936448,618561536,142086144,2668933120,3610,2052,286720,331776,4,16,1331,3430,1.330,1.290,1.260,2,0,351,0,0,14,3,0,4,0
27-02 20:28:56,23.671,30.918,33.816,0,11.594,471445504,619974656,142086144,2669064192,6246,2160,0,20480,0,5,1692,4536,1.390,1.310,1.270,0,0,238,0,0,14,3,0,4,0
27-02 20:28:57,29.592,26.531,40.306,0.510,3.061,603164672,487878656,142086144,2797002752,6266,2160,4096,0,1,0,2251,8342,1.390,1.310,1.270,2,0,128,0,0,16,5,0,4,0
27-02 20:28:58,29,23.500,45,0,2.500,614318080,476606464,142090240,2797109248,3991,2160,0,0,0,0,1327,3018,1.390,1.310,1.270,1,0,248,0,0,16,5,0,6,0
27-02 20:28:59,22.549,2.451,45.588,27.451,1.961,625483776,464920576,142090240,2797604864,4793,2160,458752,16384,20,2,539,794,1.390,1.310,1.270,0,2,0,0,0,16,5,0,6,0
27-02 20:29:00,2.525,1.010,22.727,72.727,1.010,625872896,464441344,142094336,2797682688,4474,1998,90112,17281024,8,19,516,959,1.390,1.310,1.270,0,2,0,0,0,16,5,0,6,0
27-02 20:29:01,2.525,0.505,47.980,48.990,0,625774592,464506880,142094336,2797711360,4883,2106,28672,17612800,5,17,406,691,1.440,1.320,1.270,0,1,0,0,0,16,5,0,6,0
27-02 20:29:02,20.707,4.040,47.475,27.778,0,638910464,450854912,142098432,2798166016,5602,2106,397312,0,44,0,623,838,1.440,1.320,1.270,0,1,0,0,0,16,5,0,6,0
27-02 20:29:03,25.500,3,46.500,24.500,0.500,648318976,440856576,142098432,2798657536,4410,2214,450560,0,34,0,585,772,1.440,1.320,1.270,0,1,0,0,0,16,5,0,6,0
27-02 20:29:04,22.772,2.970,41.584,30.693,1.980,662528000,426156032,142102528,2799095808,6636,2160,241664,0,11,0,601,801,1.440,1.320,1.270,2,1,0,0,0,16,5,0,6,0
27-02 20:29:05,23.500,3.500,31,41,1,673841152,413839360,142155776,2799878144,8156,1944,90112,557056,7,3,603,767,1.440,1.320,1.270,0,1,0,0,0,16,5,0,6,0
27-02 20:29:06,16,8.500,36.500,37.500,1.500,679759872,407461888,142176256,2800287744,6536,2160,90112,708608,6,10,643,1421,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:07,9.950,3.483,44.279,40.796,1.493,689532928,397459456,142217216,2800472064,4336,2160,0,311296,0,24,581,1116,1.480,1.330,1.280,0,2,0,0,0,16,7,0,6,0
27-02 20:29:08,2.030,1.523,44.162,50.254,2.030,689782784,397041664,142278656,2800578560,4689,1944,0,614400,0,38,510,972,1.480,1.330,1.280,0,1,2,0,0,16,7,0,6,0
27-02 20:29:09,3.015,1.508,38.693,55.779,1.005,689713152,396972032,142323712,2800656384,3993,2160,0,360448,0,26,471,815,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:10,1.515,0.505,44.444,53.030,0.505,689885184,396738560,142356480,2800672768,5481,2160,0,274432,0,18,490,809,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:11,2.010,2.513,47.739,46.734,1.005,691339264,395108352,142397440,2800807936,4788,1944,0,696320,0,24,515,892,1.520,1.340,1.280,0,3,0,0,0,16,7,0,6,0
27-02 20:29:12,1.531,0.510,41.837,55.612,0.510,689963008,396484608,142409728,2800795648,4632,2160,0,2334720,0,37,440,761,1.520,1.340,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:13,2.488,1.990,28.856,64.677,1.990,689811456,396296192,142462976,2801082368,5580,2160,0,1249280,0,30,486,892,1.520,1.340,1.280,0,2,0,0,0,16,7,0,6,0
27-02 20:29:14,2.513,0.503,48.241,48.744,0,690024448,395993088,142495744,2801139712,4380,2160,0,868352,0,31,387,673,1.520,1.340,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:15,1.500,1.500,41,55.500,0.500,689999872,395898880,142520320,2801233920,10189,1944,0,757760,0,27,405,689,1.520,1.340,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:16,2.010,0.503,43.216,53.769,0.503,690077696,395710464,142565376,2801299456,6124,2160,0,303104,0,17,419,645,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:17,1.010,2.020,43.939,51.515,1.515,690200576,395485184,142610432,2801356800,6743,2160,0,364544,0,25,510,779,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:18,1.508,2.010,45.226,51.256,0,690540544,395018240,142618624,2801451008,7720,1944,0,212992,0,11,464,778,1.480,1.330,1.280,0,2,2,0,0,16,7,0,6,0
27-02 20:29:19,2.010,0.503,45.226,51.759,0.503,690593792,394952704,142647296,2801434624,8078,2160,0,212992,0,19,363,639,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:20,2.010,0.503,45.729,51.256,0.503,690454528,395018240,142675968,2801479680,5161,2160,0,237568,0,11,391,685,1.480,1.330,1.280,0,1,0,0,0,16,7,0,6,0
27-02 20:29:21,1.531,0.510,44.898,53.061,0,690593792,394665984,142712832,2801655808,7551,2160,0,1028096,0,28,465,937,1.520,1.350,1.280,0,4,0,0,0,16,7,0,5,0
27-02 20:29:22,3,0,0,97,0,690475008,394764288,142712832,2801676288,6989,1944,0,278528,0,54,437,542,1.520,1.350,1.280,0,4,0,0,0,16,7,0,5,0
27-02 20:29:23,1.500,2,0,95,1.500,690565120,394665984,142712832,2801684480,6027,2160,0,831488,0,61,523,651,1.520,1.350,1.280,0,3,0,0,0,16,7,0,5,0
27-02 20:29:24,1.508,0.503,0,97.487,0.503,690458624,394764288,142712832,2801692672,7895,2160,0,339968,0,38,409,544,1.520,1.350,1.280,0,3,0,0,0,16,7,0,5,0
27-02 20:29:25,1.515,1.010,0,97.475,0,690864128,394342400,142712832,2801709056,7577,2202,0,1859584,0,69,487,578,1.520,1.350,1.280,0,3,0,0,0,16,7,0,5,0
27-02 20:29:26,1.500,1,0.500,97,0,690757632,394440704,142716928,2801713152,5566,2160,0,569344,0,63,482,590,1.640,1.370,1.290,0,4,0,0,0,16,7,0,5,0
27-02 20:29:27,1.515,1.515,3.535,92.929,0.505,690589696,394575872,142741504,2801721344,8476,2202,0,913408,0,84,532,711,1.640,1.370,1.290,0,1,0,0,0,16,7,0,5,0
