"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Feb 2020 21:05:26 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-02 21:05:26,15.144,4.426,51.108,26.553,2.769,470802432,524443648,116445184,2781446144,0,0,173696.599,2889700.806,9.155,31.088,688.406,1213.307,1.340,1.410,1.350,3,1,22.129,0,0,14,3,0,4,0
27-02 21:05:27,18.182,23.737,22.727,32.828,2.525,471339008,523202560,116461568,2782085120,5414,2160,286720,1228800,4,71,1394,3907,1.340,1.410,1.350,2,0,236,0,0,14,3,0,4,0
27-02 21:05:28,27.861,32.836,37.313,0,1.990,472072192,522383360,116461568,2781929472,4339,1944,0,20480,0,5,1338,5192,1.340,1.410,1.350,2,0,233,0,0,14,3,0,4,0
27-02 21:05:29,17.172,18.182,62.121,0,2.525,601743360,392314880,116461568,2909958144,5531,2160,0,0,0,0,1622,4368,1.320,1.400,1.350,0,0,52,0,0,16,3,0,4,0
27-02 21:05:30,13.433,22.886,52.736,4.975,5.970,602697728,391331840,116465664,2909982720,4358,2160,0,8216576,0,19,1235,2885,1.320,1.400,1.350,2,0,272,0,0,16,5,0,6,0
27-02 21:05:31,42.929,9.091,47.475,0,0.505,627908608,365998080,116465664,2910081024,7071,2160,0,0,0,0,629,981,1.320,1.400,1.350,1,0,25,0,0,16,5,0,6,0
27-02 21:05:32,10.553,1.508,22.613,65.327,0,633704448,359870464,116604928,2910191616,4715,1944,233472,606208,38,8,415,684,1.320,1.400,1.350,1,2,0,0,0,16,5,0,6,0
27-02 21:05:33,31.658,1.508,0,66.332,0.503,646737920,346525696,116604928,2910412800,4898,2160,77824,1122304,13,42,538,696,1.320,1.400,1.350,0,4,0,0,0,16,5,0,6,0
27-02 21:05:34,18.905,3.980,33.333,43.781,0,657973248,334495744,116609024,2911145984,4061,2160,581632,2306048,29,57,633,832,1.370,1.410,1.350,1,0,0,0,0,16,5,0,6,0
27-02 21:05:35,40.201,8.543,39.196,11.558,0.503,678780928,312426496,116625408,2912083968,4345,2214,90112,33595392,8,36,930,1340,1.370,1.410,1.350,0,2,0,0,0,16,7,0,6,0
27-02 21:05:36,12.121,6.061,42.424,37.879,1.515,688685056,301899776,116797440,2912514048,4808,2200,0,1744896,0,80,793,1534,1.370,1.410,1.350,0,1,0,0,0,16,7,0,6,0
27-02 21:05:37,2.525,3.030,46.970,45.960,1.515,689233920,300797952,117063680,2912776192,5583,2160,0,1650688,0,119,687,1495,1.370,1.410,1.350,0,1,0,0,0,16,7,0,6,0
27-02 21:05:38,3.535,1.515,47.980,45.960,1.010,689463296,299745280,117350400,2913284096,4271,1944,0,1835008,0,131,720,1550,1.370,1.410,1.350,2,1,0,0,0,16,7,0,6,0
27-02 21:05:39,4.020,3.518,45.729,45.226,1.508,690069504,298487808,117628928,2913624064,6076,2160,0,1568768,0,121,720,1484,1.420,1.420,1.360,0,1,0,0,0,16,7,0,6,0
27-02 21:05:40,10,7.500,47,31.500,4,691376128,296894464,117874688,2913652736,6345,2160,0,1015808,0,102,715,1756,1.420,1.420,1.360,0,1,2,0,0,16,7,0,6,0
27-02 21:05:41,6.103,7.981,41.784,32.864,11.268,691896320,296009728,118108160,2913775616,4641,2160,0,995328,0,101,677,1692,1.420,1.420,1.360,0,1,0,0,0,16,7,0,6,0
27-02 21:05:42,10.900,12.322,36.019,29.858,10.900,692240384,295346176,118345728,2913845248,5616,1782,0,1167360,0,101,733,1409,1.420,1.420,1.360,1,1,0,0,0,16,7,0,6,0
27-02 21:05:43,8.867,7.389,38.424,42.857,2.463,692654080,294707200,118595584,2913812480,6671,2322,8192,5320704,1,106,722,1599,1.420,1.420,1.360,0,2,0,0,0,16,7,0,6,0
27-02 21:05:44,3.500,2.500,42.500,50.500,1,692805632,294424576,118677504,2913861632,4733,2160,0,4370432,0,40,442,940,1.390,1.410,1.350,0,1,0,0,0,16,7,0,6,0
27-02 21:05:45,5.051,4.545,12.626,76.768,1.010,692998144,294227968,118726656,2913812480,4656,1944,0,2850816,0,85,520,798,1.390,1.410,1.350,0,1,0,0,0,16,7,0,6,0
27-02 21:05:46,2.956,1.478,47.291,48.276,0,692875264,294232064,118771712,2913886208,9600,2160,0,315392,0,18,467,800,1.390,1.410,1.350,0,2,0,0,0,16,7,0,6,0
27-02 21:05:47,12.563,10.050,29.146,46.734,1.508,693587968,293183488,119037952,2913947648,6143,2160,0,1249280,0,112,778,1769,1.390,1.410,1.350,1,1,0,0,0,16,7,0,6,0
27-02 21:05:48,6.061,3.030,47.475,42.424,1.010,693899264,292741120,119119872,2913992704,4510,2160,0,704512,0,39,619,1587,1.390,1.410,1.350,0,1,0,0,0,16,7,0,6,0
27-02 21:05:49,8.095,9.524,37.143,33.810,11.429,694530048,291880960,119386112,2913943552,3818,1944,0,1585152,0,122,1029,2115,1.520,1.440,1.360,0,1,0,0,0,16,7,0,6,0
27-02 21:05:50,2.956,2.463,38.424,50.246,5.911,694874112,291422208,119447552,2913996800,4750,2160,0,446464,0,30,516,1093,1.520,1.440,1.360,0,2,2,0,0,16,7,0,6,0
27-02 21:05:51,6.341,2.927,42.439,42.439,5.854,694988800,291053568,119570432,2914119680,4144,2160,0,761856,0,55,643,1430,1.520,1.440,1.360,4,0,0,0,0,16,7,0,7,0
27-02 21:05:52,1.500,4.500,36,55,3,696086528,220905472,119590912,2981269504,4480,1944,0,28540928,0,39,344,638,1.520,1.440,1.360,0,2,0,0,0,16,7,0,7,0
27-02 21:05:53,2,3,44,46.500,4.500,696098816,220594176,119697408,2981462016,4290,2160,0,39694336,0,92,537,1536,1.520,1.440,1.360,1,0,0,0,0,16,7,0,6,0
27-02 21:05:54,3.415,3.902,37.561,50.244,4.878,696311808,220073984,119820288,2981634048,4436,2160,0,999424,0,72,667,1108,1.560,1.450,1.370,2,0,0,0,0,16,7,0,6,0
27-02 21:05:55,5,3.500,42,42.500,7,696565760,219344896,120016896,2981875712,3854,1944,0,1970176,0,100,767,1173,1.560,1.450,1.370,0,1,0,0,0,16,7,0,6,0
