-- Logs begin at Thu 2020-02-27 18:42:27 UTC, end at Thu 2020-02-27 19:56:23 UTC. --
Feb 27 19:29:33 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 27 19:29:34 ubuntu dstat.sh[860]: [286B blob data]
Feb 27 19:29:34 ubuntu dstat.sh[860]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 27 19:29:34 ubuntu dstat.sh[860]: 27-02 19:29:34| 16   5  59  19   2| 453M  603M  136M 2530M|   0     0 | 148k 2793k|7.11  32.9 | 687  1210 |1.22 1.20 1.19|2.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 4115 2244k2075k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 27 19:29:36 ubuntu dstat.sh[860]: 27-02 19:29:35| 18  33  19  26   6| 449M  607M  136M 2530M|5059B 2160B|   0   128k|   0  2.00 |1642  3402 |1.22 1.20 1.19|  0 2.0 376|   0     0 |bash                 4115 6.5%1123k  23k|bash                 4115 1123k  23k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 27 19:29:36 ubuntu dstat.sh[860]: 27-02 19:29:36|  4   6  42  44   3| 450M  606M  136M 2530M|5524B 1944B|   0    68k|   0  7.00 | 477   827 |1.44 1.25 1.20|1.0 1.0  66|   0     0 |bash                 4115 1.5% 450k5214B|bash                 4115  450k5214B1.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 27 19:29:37 ubuntu dstat.sh[860]: 27-02 19:29:37| 20  27  37   0  17| 450M  606M  136M 2531M|7089B 2160B| 280k   16k|4.00  4.00 |1274  4512 |1.44 1.25 1.20|2.0   0 208|   0     0 |systemd              1     12%   0    0 |bash                 4115 1587k  12k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 27 19:29:38 ubuntu dstat.sh[860]: 27-02 19:29:38| 19  26  36   0  19| 449M  606M  136M 2531M|6356B 1890B|   0    16k|   0  4.00 |1353  4041 |1.44 1.25 1.20|1.0   0 182|   0     0 |systemd              1    9.5%   0    0 |bash                 4115 1293k  11k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 27 19:29:39 ubuntu dstat.sh[860]: 27-02 19:29:39| 13  13  62   6   7| 574M  481M  136M 2653M|4983B 2214B|   0    11M|   0  12.0 |1157  4160 |1.44 1.25 1.20|  0 1.0  46|   0     0 |systemd              1     10%   0    0 |bash                 4115  116k 392B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 27 19:29:40 ubuntu dstat.sh[860]: 27-02 19:29:40| 10  19  33  29  10| 575M  480M  136M 2653M|5028B 2160B|   0    22M|   0   104 |1395  2586 |1.44 1.25 1.20|1.0   0 235|   0     0 |bash                 4115 5.0% 408k  13k|bash                 4115  408k  13k5.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 27 19:29:41 ubuntu dstat.sh[860]: 27-02 19:29:41| 38  10  42   2   9| 589M  466M  136M 2653M|4339B 1890B|  80k  184k|1.00  2.00 | 881  1349 |1.41 1.25 1.20|1.0   0  60|   0     0 |keystone-manage      2288  39%3474k  81k|keystone-manage      2288 3474k  81k 39%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 27 19:29:42 ubuntu dstat.sh[860]: 27-02 19:29:42| 11   2  48  38   2| 596M  459M  136M 2654M|6154B 2214B| 336k    0 |13.0     0 | 452   685 |1.41 1.25 1.20|  0 1.0   0|   0     0 |keystone-manage      2288 9.5%1697k   0 |keystone-manage      2288 1697k   0 9.5%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 27 19:29:43 ubuntu dstat.sh[860]: 27-02 19:29:43| 14   2  47  33   3| 602M  452M  136M 2654M|6289B 2160B| 616k    0 |64.0     0 | 612   838 |1.41 1.25 1.20|2.0   0   0|   0     0 |keystone-manage      2288  15%1343k  12k|keystone-manage      2288 1343k  12k 15%|mysqld       174M|   0     0 |  16    5    0    6    0
