"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 06:29:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 06:29:35,17.116,4.982,51.889,24.177,1.836,446140416,635531264,122454016,2693357568,0,0,230789.157,3439233.508,14.563,37.954,806.308,1486.234,1.200,1.530,1.400,4,0,27.408,0,0,14,3,0,5,0
31-03 06:29:36,19.289,40.102,39.086,1.015,0.508,444506112,636715008,122470400,2693701632,4393,1944,286720,114688,4,9,1556,4032,1.200,1.530,1.400,2,0,436,0,0,14,3,0,5,0
31-03 06:29:37,25.500,36.500,37,0,1,444882944,636080128,122470400,2693857280,7461,1944,0,24576,0,6,1953,4442,1.200,1.530,1.400,1,0,289,0,0,14,3,0,5,0
31-03 06:29:38,27.919,30.457,41.117,0,0.508,575541248,505040896,122470400,2821902336,7110,1944,0,212992,0,4,2835,6140,1.110,1.510,1.390,0,0,138,0,0,16,3,0,5,0
31-03 06:29:39,21.320,24.365,53.807,0,0.508,582828032,497692672,122478592,2821939200,4406,1944,0,0,0,0,1323,3306,1.110,1.510,1.390,1,0,295,0,0,16,5,0,7,0
31-03 06:29:40,36.683,4.020,48.241,10.553,0.503,602292224,477188096,122478592,2822979584,3318,1620,958464,0,77,0,715,904,1.110,1.510,1.390,0,1,0,0,0,16,5,0,7,0
31-03 06:29:41,13.930,2.488,33.333,49.254,0.995,612147200,467025920,122482688,2823282688,4639,1836,237568,430080,20,2,471,723,1.110,1.510,1.390,0,1,0,0,0,16,5,0,7,0
31-03 06:29:42,44.500,3,47.500,4.500,0.500,630812672,448045056,122482688,2823585792,3393,1944,81920,0,10,0,556,743,1.110,1.510,1.390,1,0,0,0,0,16,5,0,7,0
31-03 06:29:43,39.196,11.055,35.678,11.558,2.513,649400320,428302336,122503168,2824650752,3162,1944,188416,1048576,14,4,733,1537,1.260,1.530,1.400,0,1,2,0,0,16,7,0,8,0
31-03 06:29:44,10.500,3.500,42.500,42.500,1,659300352,418140160,122601472,2824810496,3360,1944,0,585728,0,39,676,1154,1.260,1.530,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:45,2.513,2.010,47.236,47.236,1.005,659378176,417808384,122712064,2824953856,3565,1728,0,704512,0,47,484,857,1.260,1.530,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:46,2.020,1.010,43.939,52.525,0.505,659230720,417533952,122822656,2825220096,6206,1944,0,581632,0,43,451,803,1.260,1.530,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:47,1.523,2.538,47.716,45.685,2.538,659644416,416886784,122941440,2825334784,4356,1944,0,749568,0,48,465,803,1.260,1.530,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:48,3.015,2.010,45.226,48.744,1.005,660066304,415936512,123207680,2825588736,3574,1944,0,1404928,0,102,655,1228,1.320,1.540,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:49,2.513,2.010,32.161,63.317,0,660332544,415248384,123375616,2825822208,4654,1944,0,3637248,0,123,607,1071,1.320,1.540,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:50,2.500,1.500,49,46,1,660590592,414289920,123641856,2826248192,2704,1728,81920,1417216,1,102,571,1289,1.320,1.540,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:51,15.075,11.055,40.704,32.663,0.503,661471232,413085696,123932672,2826280960,4149,1944,0,1187840,0,118,835,1436,1.320,1.540,1.400,0,1,0,0,0,16,7,0,7,0
31-03 06:29:52,9.694,10.714,47.449,32.143,0,662450176,411557888,124334080,2826428416,4917,1944,0,1511424,0,148,793,1926,1.320,1.540,1.400,1,1,0,0,0,16,7,0,7,0
31-03 06:29:53,11.055,11.558,30.151,46.734,0.503,663212032,410591232,124563456,2826399744,6083,1944,0,995328,0,85,661,1646,1.530,1.580,1.410,0,1,2,0,0,16,7,0,7,0
31-03 06:29:54,16.915,17.413,40.796,24.378,0.498,663117824,410529792,124612608,2826489856,5612,1944,0,1748992,0,94,616,638,1.530,1.580,1.410,1,2,0,0,0,16,7,0,7,0
31-03 06:29:55,26.866,25.373,0,46.766,0.995,663236608,410398720,124616704,2826498048,3804,1782,0,1437696,0,125,740,565,1.530,1.580,1.410,1,1,0,0,0,16,7,0,7,0
31-03 06:29:56,26.866,23.383,22.388,24.876,2.488,663109632,409608192,124694528,2827337728,4261,1944,0,2899968,0,51,608,1028,1.530,1.580,1.410,1,1,0,0,0,16,7,0,7,0
31-03 06:29:57,26.500,25,14.500,33,1,663097344,409546752,124764160,2827341824,5410,2106,0,1654784,0,49,593,693,1.530,1.580,1.410,1,2,0,0,0,16,7,0,7,0
31-03 06:29:58,11.500,12.500,32,43.500,0.500,663740416,408653824,125030400,2827325440,4132,1944,0,3997696,0,155,764,1622,1.530,1.580,1.410,1,1,0,0,0,16,7,0,6,0
31-03 06:29:59,16,12,28.500,42.500,1,664600576,407576576,125259776,2827313152,3212,1728,0,1552384,0,110,894,2156,1.730,1.620,1.430,0,1,0,0,0,16,7,0,6,0
31-03 06:30:00,13,10.500,31.500,44,1,664932352,407007232,125513728,2827296768,3954,1944,0,1339392,0,100,738,1623,1.730,1.620,1.430,0,1,0,0,0,16,7,0,6,0
31-03 06:30:01,2,1,2,95,0,666099712,405729280,125526016,2827395072,8370,1944,0,2433024,0,58,448,581,1.730,1.620,1.430,0,3,0,0,0,16,7,0,6,0
31-03 06:30:02,2.513,1.508,1.508,94.472,0,666013696,405798912,125538304,2827399168,4409,1944,0,6778880,0,125,446,560,1.730,1.620,1.430,0,2,0,0,0,16,7,0,6,0
31-03 06:30:03,2.500,2,21.500,73.500,0.500,665092096,406593536,125558784,2827505664,4384,1944,0,5275648,0,135,634,969,1.730,1.620,1.430,0,1,2,0,0,16,7,0,6,0
31-03 06:30:04,15.578,11.055,31.658,41.206,0.503,666390528,404111360,125763584,2828484608,4325,1944,0,5943296,0,148,1018,2135,1.910,1.660,1.440,1,0,1,0,0,16,7,0,6,0
31-03 06:30:05,2.020,4.040,48.485,45.455,0,666624000,335835136,125812736,2894798848,6220,1944,0,67473408,0,86,429,831,1.910,1.660,1.440,0,1,0,0,0,16,7,0,6,0
31-03 06:30:06,4.545,2.020,47.475,45.455,0.505,667164672,334606336,126042112,2895208448,3052,1944,0,1740800,0,122,682,1429,1.910,1.660,1.440,0,1,0,0,0,16,7,0,6,0
31-03 06:30:07,6.500,5.500,47,40.500,0.500,667324416,333942784,126316544,2895421440,4404,1944,0,1421312,0,131,767,1649,1.910,1.660,1.440,0,1,0,0,0,16,7,0,6,0
31-03 06:30:08,3,3,48,45.500,0.500,667836416,333049856,126480384,2895630336,3102,1944,0,1486848,0,129,650,1315,1.910,1.660,1.440,0,1,0,0,0,16,7,0,6,0
31-03 06:30:09,4.545,3.030,47.980,44.444,0,668078080,332328960,126771200,2895781888,4859,1890,0,1466368,0,118,669,1568,1.920,1.670,1.450,1,1,0,0,0,16,7,0,6,0
31-03 06:30:10,13.636,10.606,45.960,29.798,0,668250112,331886592,127045632,2895761408,4035,2040,0,1462272,0,127,850,1723,1.920,1.670,1.450,0,1,0,0,0,16,7,0,6,0
31-03 06:30:11,2,1.500,48,48.500,0,668483584,331468800,127107072,2895880192,3456,1890,0,413696,0,28,358,736,1.920,1.670,1.450,0,1,0,0,0,16,7,0,6,0
31-03 06:30:12,4.545,2.525,48.485,43.939,0.505,668471296,331407360,127176704,2895884288,4547,2202,0,471040,0,34,509,999,1.920,1.670,1.450,0,1,0,0,0,16,7,0,6,0
