-- Logs begin at Tue 2020-03-31 05:20:17 UTC, end at Tue 2020-03-31 06:53:24 UTC. --
Mar 31 06:00:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 06:00:14 ubuntu dstat.sh[1648]: [286B blob data]
Mar 31 06:00:14 ubuntu dstat.sh[1648]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 06:00:14 ubuntu dstat.sh[1648]: 31-03 06:00:14| 17   5  54  22   1| 427M  707M 85.2M 2517M|   0     0 | 242k 3695k|13.0  38.4 | 817  1424 |1.65 1.55 1.32|2.0   0  27|   0     0 |systemd              1    0.5%   0    0 |bash                 3466 2615k2419k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 06:00:15 ubuntu dstat.sh[1648]: 31-03 06:00:15| 22  33  37   3   5| 421M  713M 85.2M 2517M|4350B 1944B|   0   124k|   0  8.00 |1501  3798 |1.65 1.55 1.32|1.0   0 398|   0     0 |bash                 3466 7.0%1513k  25k|bash                 3466 1513k  25k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 06:00:16 ubuntu dstat.sh[1648]: 31-03 06:00:16| 24  36  37   0   2| 421M  712M 85.2M 2517M|6882B 2038B|   0    28k|   0  7.00 |1658  4092 |1.65 1.55 1.32|2.0   0 311|   0     0 |systemd              1    9.0%   0    0 |bash                 3466 2169k  19k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 06:00:17 ubuntu dstat.sh[1648]: 31-03 06:00:17| 29  28  39   0   4| 422M  711M 85.2M 2517M|6417B 1944B|   0  8192B|   0  2.00 |1759  5096 |1.68 1.56 1.32|2.0   0 131|   0     0 |systemd              1     22%   0    0 |bash                 3466  744k5331B1.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 06:00:18 ubuntu dstat.sh[1648]: 31-03 06:00:18| 15  21  54   0  10| 547M  586M 85.2M 2639M|4526B 1944B|   0     0 |   0     0 |1606  4424 |1.68 1.56 1.32|2.0   0 240|   0     0 |etcd                 2655 4.0%   0    0 |bash                 3466  507k  13k4.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 31 06:00:19 ubuntu dstat.sh[1648]: 31-03 06:00:19| 37  12  44   0   6| 566M  566M 85.2M 2639M|8578B 1944B|   0     0 |   0     0 | 853  1436 |1.68 1.56 1.32|1.0   0  73|   0     0 |keystone-manage      3045  37%4977k  81k|keystone-manage      3045 4977k  81k 37%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 06:00:20 ubuntu dstat.sh[1648]: 31-03 06:00:20| 12   1  43  41   3| 571M  561M 85.6M 2640M|4149B 1782B|1164k  284k| 153  2.00 | 682  1045 |1.68 1.56 1.32|  0 1.0   0|   0     0 |keystone-manage      3045  11% 960k   0 |keystone-manage      3045  960k   0  11%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 06:00:21 ubuntu dstat.sh[1648]: 31-03 06:00:21| 21   4  45  25   5| 580M  551M 85.8M 2640M|3599B 1890B| 520k    0 |76.0     0 | 553   881 |1.68 1.56 1.32|  0 1.0   0|   0     0 |keystone-manage      3045  23%2160k  46k|keystone-manage      3045 2160k  46k 23%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 06:00:22 ubuntu dstat.sh[1648]: 31-03 06:00:22| 25   2   8  61   4| 588M  543M 85.8M 2641M|4352B 1944B|  88k 2300k|12.0   122 | 740   740 |1.71 1.57 1.33|  0 2.0   0|   0     0 |keystone-manage      3045  27%1992k   0 |keystone-manage      3045 1992k   0  27%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 06:00:23 ubuntu dstat.sh[1648]: 31-03 06:00:23| 23   4  26  39   8| 598M  532M 85.8M 2641M|4141B 1944B| 576k 2228k|42.0  40.0 | 648   881 |1.71 1.57 1.33|1.0   0   0|   0     0 |keystone-manage      3045  29%2957k 107k|keystone-manage      3045 2957k 107k 29%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 06:00:24 ubuntu dstat.sh[1648]: 31-03 06:00:24| 34   7  37  11  10| 616M  513M 85.8M 2642M|4789B 2160B| 196k    0 |17.0     0 | 833  1199 |1.71 1.57 1.33|2.0   0   0|   0     0 |keystone-manage      3045  35%3535k 468k|keystone-manage      3045 3535k 468k 35%|mysqld       177M|   0     0 |  16    7    0    7    0
Mar 31 06:00:25 ubuntu dstat.sh[1648]: 31-03 06:00:25| 14   6  39  39   1| 625M  503M 85.9M 2643M|3118B 1728B|   0  1832k|   0  41.0 | 623  1253 |1.71 1.57 1.33|  0 1.0 2.0|   0     0 |python2              1551  10%  75k  82k|python3.6            7400   55k 115k1.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 06:00:26 ubuntu dstat.sh[1648]: 31-03 06:00:26|  2   2  44  49   4| 626M  503M 86.0M 2643M|6968B 2160B|   0   828k|   0  62.0 | 598   905 |1.71 1.57 1.33|  0 1.0   0|   0     0 |mysqld               909  1.5%   0    0 |python2              1755   14k 472B1.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 06:00:27 ubuntu dstat.sh[1648]: 31-03 06:00:27|  2   1  49  47   2| 626M  502M 86.2M 2643M|6525B 1728B|   0   908k|   0  65.0 | 635   939 |1.73 1.58 1.33|  0 1.0   0|   0     0 |mysqld               909  1.0%   0    0 |python2              1755   14k 450B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 06:00:28 ubuntu dstat.sh[1648]: 31-03 06:00:28|  2   2  46  46   4| 626M  501M 86.4M 2643M|4010B 2160B|   0  1148k|   0  81.0 | 682  1059 |1.73 1.58 1.33|  0 1.0   0|   0     0 |mysqld               909  2.0%   0    0 |python2              1755   14k 449B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 06:00:29 ubuntu dstat.sh[1648]: 31-03 06:00:29|  3   2  48  44   4| 627M  501M 86.6M 2643M|3841B 1944B|   0  1200k|   0  87.0 | 741  1150 |1.73 1.58 1.33|  0 1.0   0|   0     0 |mysqld               909  2.0%   0    0 |python2              1755   14k 463B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 06:00:30 ubuntu dstat.sh[1648]: 31-03 06:00:30|  2   2  45  49   2| 627M  500M 86.7M 2644M|4408B 1944B|   0   984k|   0  72.0 | 705  1103 |1.73 1.58 1.33|  0 1.0   0|   0     0 |mysqld               909  1.0%   0    0 |python2              1755   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 06:00:31 ubuntu dstat.sh[1648]: 31-03 06:00:31|  6   4  47  43   0| 627M  499M 86.9M 2644M|6164B 1782B|   0   756k|   0  68.0 | 684  1221 |1.73 1.58 1.33|  0 1.0   0|   0     0 |mysqld               909  7.5%   0    0 |python2              1755   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 06:00:32 ubuntu dstat.sh[1648]: 31-03 06:00:32|  7   5  45  43   1| 628M  499M 87.1M 2644M|4039B 2106B|   0   580k|   0  65.0 | 673  1265 |1.83 1.60 1.34|1.0 1.0   0|   0     0 |mysqld               909   11%   0    0 |python2              1755   14k 452B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 31 06:00:33 ubuntu dstat.sh[1648]: 31-03 06:00:33| 18  19  27  37   0| 630M  496M 87.2M 2644M|5494B 1944B|   0  2884k|   0  81.0 | 787  1206 |1.83 1.60 1.34|1.0 2.0   0|   0     0 |mysqld               909   33%   0    0 |python2              1755   14k 468B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 31 06:00:34 ubuntu dstat.sh[1648]: 31-03 06:00:34| 10   6  36  48   0| 628M  498M 87.2M 2644M|4255B 1944B|   0  6920k|   0  94.0 | 422   655 |1.83 1.60 1.34|  0 1.0   0|   0     0 |mysqld               909   14%   0    0 |python2              1755   14k 462B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Mar 31 06:00:35 ubuntu dstat.sh[1648]: 31-03 06:00:35| 13  10  47  29   2| 629M  497M 87.3M 2644M|4374B 1944B|   0   220k|   0  19.0 | 499   847 |1.83 1.60 1.34|  0 1.0 2.0|   0     0 |mysqld               909   20%   0    0 |python2              1755   14k 452B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
