-- Logs begin at Fri 2020-03-27 23:25:46 UTC, end at Sat 2020-03-28 00:57:52 UTC. --
Mar 28 00:12:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 00:12:45 ubuntu dstat.sh[1390]: [286B blob data]
Mar 28 00:12:45 ubuntu dstat.sh[1390]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 00:12:45 ubuntu dstat.sh[1390]: 28-03 00:12:45| 16   4  54  24   2| 423M  463M  115M 2713M|   0     0 | 181k 3022k|10.1  33.9 | 760  1301 |1.36 1.20 1.17|2.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 3452 2375k2221k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 00:12:46 ubuntu dstat.sh[1390]: 28-03 00:12:46| 18  32  34   1  14| 423M  464M  115M 2713M|3551B 2160B| 176k  116k|3.00  7.00 |1371  3541 |1.36 1.20 1.17|1.0   0 383|   0     0 |bash                 3452 7.5%1227k  24k|bash                 3452 1227k  24k7.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 00:12:47 ubuntu dstat.sh[1390]: 28-03 00:12:47| 26  31  36   0   7| 423M  463M  115M 2713M|3377B 1944B|   0    24k|   0  6.00 |1499  4250 |1.36 1.20 1.17|3.0   0 280|   0     0 |systemd              1    9.0%   0    0 |bash                 3452 1947k  17k4.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 00:12:48 ubuntu dstat.sh[1390]: 28-03 00:12:48| 30  31  36   0   3| 424M  462M  115M 2713M|4407B 2160B|   0    16k|   0  4.00 |1454  5182 |1.36 1.20 1.17|3.0   0 204|   0     0 |systemd              1     16%   0    0 |bash                 3452 1289k  11k2.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 28 00:12:49 ubuntu dstat.sh[1390]: 28-03 00:12:49|  7   9  51  32   1| 548M  337M  115M 2835M|5622B 1944B|   0   724k|   0  69.0 | 997  2084 |1.36 1.20 1.17|2.0 1.0  30|   0     0 |systemd              1    5.0%   0    0 |bash                 3452  261k1864B0.5%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 28 00:12:50 ubuntu dstat.sh[1390]: 28-03 00:12:50| 30  24  41   3   2| 559M  326M  115M 2835M|3839B 2160B|   0    33M|   0  48.0 |1440  3161 |1.33 1.20 1.17|1.0   0 284|   0     0 |keystone-manage      2787  17%2173k  81k|keystone-manage      2787 2173k  81k 17%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 00:12:51 ubuntu dstat.sh[1390]: 28-03 00:12:51| 35   6  48  10   1| 575M  309M  115M 2836M|5473B 2160B| 904k  196k|78.0  2.00 | 657   893 |1.33 1.20 1.17|1.0   0   0|   0     0 |keystone-manage      2787  39%4365k  12k|keystone-manage      2787 4365k  12k 39%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 00:12:52 ubuntu dstat.sh[1390]: 28-03 00:12:52| 42   2  47   8   0| 593M  291M  115M 2837M|4201B 2106B| 708k    0 |52.0     0 | 611   825 |1.33 1.20 1.17|1.0   0   0|   0     0 |keystone-manage      2787  42%4497k  35k|keystone-manage      2787 4497k  35k 42%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 28 00:12:53 ubuntu dstat.sh[1390]: 28-03 00:12:53| 44   6  46   3   2| 618M  264M  115M 2838M|3729B 1998B| 208k    0 |17.0     0 | 707   939 |1.33 1.20 1.17|2.0   0   0|   0     0 |keystone-manage      2787  47%6201k 546k|keystone-manage      2787 6201k 546k 47%|mysqld       173M|   0     0 |  16    7    0    7    0
Mar 28 00:12:54 ubuntu dstat.sh[1390]: 28-03 00:12:54| 22   9  38  30   0| 631M  251M  115M 2839M|3956B 2160B|   0  1916k|   0  68.0 |1047  1904 |1.33 1.20 1.17|  0 1.0   0|   0     0 |python2              1472  14% 101k 110k|python3.6            7390   83k 174k1.0%|mysqld       186M|   0     0 |  16    7    0    7    0
