"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Mar 2020 22:38:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-03 22:38:38,8.898,2.580,75.091,12.484,0.947,445353984,492580864,121896960,2834481152,0,0,94810.080,1604711.451,5.887,18.267,435.588,778.704,1.340,1.230,1.210,2,0,14.730,0,0,14,3,0,6,0
27-03 22:38:39,24.873,35.025,34.010,4.061,2.030,443273216,493875200,121913344,2835009536,3739,1944,356352,118784,5,10,1464,3884,1.340,1.230,1.210,2,0,444,0,0,14,3,0,6,0
27-03 22:38:40,26,35.500,37,0,1.500,442347520,494485504,121913344,2835218432,4771,2160,0,24576,0,6,1838,4482,1.340,1.230,1.210,2,0,294,0,0,14,3,0,6,0
27-03 22:38:41,26.531,24.490,48.469,0,0.510,573399040,363077632,121913344,2963247104,4261,1890,0,4096,0,1,1797,5065,1.310,1.220,1.210,6,0,106,0,0,16,5,0,6,0
27-03 22:38:42,2.513,1.005,47.236,49.246,0,573685760,362770432,121913344,2963251200,4221,1998,0,516096,0,43,369,634,1.310,1.220,1.210,1,1,6,0,0,16,5,0,6,0
27-03 22:38:43,3,0.500,47,48.500,1,573878272,362573824,121913344,2963255296,3445,1944,0,217088,0,19,319,569,1.310,1.220,1.210,0,1,0,0,0,16,5,0,6,0
27-03 22:38:44,9.091,21.717,5.051,63.131,1.010,574140416,362291200,121917440,2963271680,3059,1944,0,57344,0,13,1007,2136,1.310,1.220,1.210,0,7,256,0,0,16,7,0,7,0
27-03 22:38:45,34,8.500,37,19,1.500,588963840,347422720,121921536,2963312640,3958,2160,0,118784,0,7,662,997,1.310,1.220,1.210,4,0,33,0,0,16,5,0,8,0
27-03 22:38:46,8.586,2.525,47.980,40.404,0.505,596111360,339800064,121921536,2963767296,5671,1944,376832,0,15,0,418,686,1.290,1.220,1.210,0,1,0,0,0,16,5,0,8,0
27-03 22:38:47,2.020,0.505,47.980,49.495,0,596303872,339517440,121921536,2963853312,6708,1944,98304,9023488,7,22,337,578,1.290,1.220,1.210,0,2,0,0,0,16,5,0,8,0
27-03 22:38:48,3.535,0.505,47.980,47.475,0.505,596656128,339005440,121921536,2964000768,6506,1944,126976,696320,15,66,438,673,1.290,1.220,1.210,0,2,0,0,0,16,5,0,8,0
27-03 22:38:49,5.025,1.508,46.231,45.729,1.508,596971520,338628608,121925632,2964058112,4196,1944,32768,14065664,5,30,420,755,1.290,1.220,1.210,0,3,0,0,0,16,5,0,8,0
27-03 22:38:50,8.543,1.508,46.734,40.704,2.513,601415680,333901824,121929728,2964336640,5033,1944,188416,13365248,27,17,433,718,1.290,1.220,1.210,1,1,0,0,0,16,5,0,8,0
27-03 22:38:51,25.500,2.500,49.500,22,0.500,616910848,317992960,121937920,2964664320,6826,1944,262144,0,22,0,446,739,1.270,1.220,1.200,1,0,0,0,0,16,5,0,8,0
27-03 22:38:52,26.904,2.030,47.716,22.335,1.015,626978816,306978816,121946112,2965499904,4244,1728,589824,0,42,0,574,742,1.270,1.220,1.200,2,0,0,0,0,16,5,0,8,0
27-03 22:38:53,46,8.500,37,7.500,1,650293248,282279936,122056704,2966544384,3624,1944,188416,0,14,0,903,1333,1.270,1.220,1.200,1,1,2,0,0,16,7,0,8,0
27-03 22:38:54,11,3.500,39,45,1.500,660119552,272162816,122146816,2966720512,4535,1944,0,1531904,0,38,636,1135,1.270,1.220,1.200,0,1,0,0,0,16,7,0,8,0
27-03 22:38:55,2.020,1.515,30.303,64.646,1.515,660959232,271155200,122204160,2966831104,4044,1728,0,2191360,0,62,483,762,1.270,1.220,1.200,0,2,0,0,0,16,7,0,8,0
27-03 22:38:56,3.535,0.505,44.444,51.010,0.505,660471808,271556608,122265600,2966855680,3270,1944,0,1179648,0,35,427,790,1.410,1.250,1.210,0,1,0,0,0,16,7,0,8,0
27-03 22:38:57,2.010,2.010,43.216,52.261,0.503,660455424,271429632,122331136,2966933504,5701,2160,0,458752,0,36,498,909,1.410,1.250,1.210,0,1,0,0,0,16,7,0,8,0
27-03 22:38:58,2.010,1.005,48.241,48.241,0.503,660750336,270913536,122404864,2967068672,4893,1944,0,630784,0,42,472,882,1.410,1.250,1.210,0,1,0,0,0,16,7,0,8,0
27-03 22:38:59,2.970,1.980,46.535,47.030,1.485,660905984,270405632,122490880,2967334912,4590,2160,0,724992,0,52,480,950,1.410,1.250,1.210,0,1,0,0,0,16,7,0,8,0
27-03 22:39:00,1.523,1.523,44.670,51.269,1.015,660766720,270409728,122531840,2967429120,3906,2160,0,438272,0,24,379,759,1.410,1.250,1.210,0,1,0,0,0,16,7,0,8,0
27-03 22:39:01,2.010,1.005,47.236,49.749,0,661164032,269873152,122593280,2967478272,5262,2052,0,548864,0,40,497,980,1.450,1.260,1.220,0,1,0,0,0,16,7,0,8,0
27-03 22:39:02,1.508,1.508,46.231,50.754,0,661299200,269668352,122646528,2967494656,4477,2052,0,499712,0,31,466,885,1.450,1.260,1.220,0,1,0,0,0,16,7,0,7,0
