-- Logs begin at Sun 2020-03-08 06:11:41 UTC, end at Sun 2020-03-08 07:41:43 UTC. --
Mar 08 06:57:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 08 06:57:56 ubuntu dstat.sh[2372]: [286B blob data]
Mar 08 06:57:56 ubuntu dstat.sh[2372]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 08 06:57:56 ubuntu dstat.sh[2372]: 08-03 06:57:56| 16   5  52  25   2| 454M  417M  114M 2718M|   0     0 | 216k 3450k|12.0  35.2 | 752  1304 |1.35 1.30 1.28|3.0 1.0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 3526 2318k2134k0.2%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 08 06:57:57 ubuntu dstat.sh[2372]: 08-03 06:57:57| 19  39  39   1   2| 452M  418M  114M 2718M|5076B 2052B|4096B  100k|1.00  9.00 |1461  3918 |1.35 1.30 1.28|2.0   0 411|   0     0 |bash                 3526 7.5%1546k  27k|bash                 3526 1546k  27k7.5%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 08 06:57:58 ubuntu dstat.sh[2372]: 08-03 06:57:58| 25  32  39   0   4| 453M  418M  114M 2718M|4276B 1944B|   0    20k|   0  5.00 |1552  4716 |1.35 1.30 1.28|1.0   0 269|   0     0 |systemd              1     11%   0    0 |bash                 3526 2033k  17k3.5%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 08 06:57:59 ubuntu dstat.sh[2372]: 08-03 06:57:59| 33  27  37   0   3| 452M  418M  114M 2718M|3618B 1944B|   0    12k|   0  3.00 |2053  4836 |1.35 1.30 1.28|4.0   0 162|   0     0 |systemd              1     23%   0    0 |bash                 3526  991k8253B1.5%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 08 06:58:00 ubuntu dstat.sh[2372]: 08-03 06:58:00| 21  30  46   0   4| 584M  285M  114M 2840M|4347B 1944B|   0     0 |   0     0 |1743  4248 |1.40 1.31 1.28|1.0   0 317|   0     0 |keystone-manage      3767 6.0%1238k  81k|keystone-manage      3767 1238k  81k6.0%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 08 06:58:01 ubuntu dstat.sh[2372]: 08-03 06:58:01| 38   5  47   7   2| 602M  267M  114M 2841M|5883B 1944B| 692k    0 |51.0     0 | 846  1017 |1.40 1.31 1.28|2.0   0   0|   0     0 |keystone-manage      3767  42%4590k   0 |keystone-manage      3767 4590k   0  42%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 08 06:58:02 ubuntu dstat.sh[2372]: 08-03 06:58:02| 44   2  47   5   1| 620M  248M  114M 2841M|4827B 1944B| 548k  296k|83.0  2.00 | 675   906 |1.40 1.31 1.28|2.0   0   0|   0     0 |keystone-manage      3767  44%4430k  46k|keystone-manage      3767 4430k  46k 44%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 08 06:58:03 ubuntu dstat.sh[2372]: 08-03 06:58:03| 39   5  48   8   1| 643M  223M  114M 2842M|5017B 1836B| 620k    0 |40.0     0 | 552   790 |1.40 1.31 1.28|1.0   0   0|   0     0 |keystone-manage      3767  42%5821k 365k|keystone-manage      3767 5821k 365k 42%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 08 06:58:04 ubuntu dstat.sh[2372]: 08-03 06:58:04| 30  11  30  25   4| 660M  205M  114M 2843M|5141B 2214B|  96k 2012k|7.00  69.0 | 751  2040 |1.40 1.31 1.28|  0 1.0   0|   0     0 |keystone-manage      3767  20%1156k 289k|keystone-manage      3767 1156k 289k 20%|mysqld       186M|   0     0 |  15    7    0    6    0
Mar 08 06:58:05 ubuntu dstat.sh[2372]: 08-03 06:58:05|  4   1  48  46   1| 661M  204M  114M 2844M|4677B 1876B|   0  1812k|   0   132 | 817  1462 |1.37 1.30 1.28|  0 1.0   0|   0     0 |mysqld               1650 2.0%   0    0 |python2              2458   25k 482B  0%|mysqld       187M|   0     0 |  15    7    0    6    0
