"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Mar 2020 14:32:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-03 14:32:14,17.066,4.802,53.794,22.708,1.631,442073088,276611072,115384320,3051884544,0,0,208072.659,3749473.137,10.738,36.848,803.287,1440.901,1.310,1.330,1.230,2,1,25.240,0,0,13,3,0,5,0
18-03 14:32:15,14.500,22.500,38.500,21.500,3,443002880,275582976,115388416,3051937792,4603,2200,0,5062656,0,60,1106,2874,1.310,1.330,1.230,2,1,288,0,0,13,3,0,5,0
18-03 14:32:16,3.015,6.030,44.221,43.719,3.015,442867712,275714048,115388416,3051941888,4009,2160,0,405504,0,58,419,757,1.360,1.350,1.240,1,2,43,0,0,13,3,0,5,0
18-03 14:32:17,5.528,9.045,46.231,36.683,2.513,442331136,276217856,115388416,3051966464,4803,2160,0,25395200,0,33,565,1146,1.360,1.350,1.240,0,1,80,0,0,13,3,0,5,0
18-03 14:32:18,19.403,24.876,38.806,11.940,4.975,442716160,275677184,115388416,3052105728,6402,1944,0,5623808,0,12,1898,4189,1.360,1.350,1.240,1,0,190,0,0,13,3,0,5,0
18-03 14:32:19,32.663,28.643,36.181,0,2.513,495276032,222932992,115388416,3101667328,5117,2160,0,12288,0,3,2128,5824,1.360,1.350,1.240,4,0,188,0,0,15,3,0,5,0
18-03 14:32:20,8.738,12.136,57.767,11.650,9.709,574357504,143572992,115392512,3180175360,6385,1944,0,98304,0,2,925,1916,1.360,1.350,1.240,2,0,144,0,0,15,5,0,5,0
18-03 14:32:21,31.068,16.990,43.689,0,8.252,586166272,131653632,115392512,3180269568,7093,2160,0,0,0,0,945,2050,1.330,1.340,1.240,2,0,153,0,0,15,5,0,7,0
18-03 14:32:22,16.080,1.005,49.749,32.663,0.503,597237760,120000512,115392512,3180830720,5737,2160,520192,1015808,26,77,593,712,1.330,1.340,1.240,0,1,0,0,0,15,5,0,7,0
18-03 14:32:23,14,1,48.500,35,1.500,602185728,114741248,115392512,3181088768,5567,2160,372736,0,47,0,528,759,1.330,1.340,1.240,0,1,2,0,0,15,5,0,7,0
18-03 14:32:24,24.762,5.238,22.857,44.762,2.381,618065920,355573760,115539968,2933571584,6047,2106,339968,3411968,54,82,747,914,1.330,1.340,1.240,2,1,5,0,0,15,5,0,7,0
18-03 14:32:25,15.873,2.116,7.937,73.545,0.529,619941888,353259520,115548160,2933944320,5770,1998,372736,1015808,25,35,518,640,1.330,1.340,1.240,0,3,0,0,0,15,5,0,8,0
18-03 14:32:26,23.383,2.985,39.801,33.333,0.498,633622528,339132416,115548160,2934390784,4962,2160,217088,405504,17,51,498,631,1.470,1.370,1.250,1,1,0,0,0,15,5,0,7,0
18-03 14:32:27,20.202,3.535,47.475,28.283,0.505,644919296,326942720,115625984,2935205888,5584,2160,126976,462848,11,32,462,634,1.470,1.370,1.250,1,0,0,0,0,15,5,0,7,0
18-03 14:32:28,23.267,10.891,31.188,28.218,6.436,660721664,310595584,115707904,2935660544,3759,1944,90112,1208320,6,32,916,1594,1.470,1.370,1.250,0,1,0,0,0,15,7,0,7,0
18-03 14:32:29,1.508,1.508,48.744,46.231,2.010,660647936,310464512,115798016,2935775232,7342,2160,0,647168,0,43,597,906,1.470,1.370,1.250,0,1,0,0,0,15,7,0,7,0
18-03 14:32:30,2.463,1.970,48.276,46.305,0.985,660926464,309985280,115875840,2935894016,5037,2160,0,647168,0,43,561,856,1.470,1.370,1.250,0,1,0,0,0,15,7,0,7,0
18-03 14:32:31,2.041,1.531,49.490,46.429,0.510,661082112,309551104,115953664,2936070144,4008,2160,0,839680,0,54,599,921,1.430,1.360,1.240,0,1,0,0,0,15,7,0,7,0
18-03 14:32:32,3.015,1.508,47.236,47.236,1.005,661364736,309006336,116056064,2936229888,4510,2160,0,880640,0,61,611,973,1.430,1.360,1.240,0,1,0,0,0,15,7,0,7,0
18-03 14:32:33,4,0.500,46.500,49,0,661803008,308285440,116146176,2936418304,5131,2160,20480,774144,2,52,592,974,1.430,1.360,1.240,0,2,2,0,0,15,7,0,7,0
18-03 14:32:34,1.523,1.015,47.208,49.746,0.508,661852160,307867648,116256768,2936643584,4171,2160,69632,954368,1,67,657,987,1.430,1.360,1.240,0,1,0,0,0,15,7,0,7,0
18-03 14:32:35,2,2,50,46,0,662212608,307228672,116363264,2936815616,4978,1944,0,659456,0,45,575,876,1.430,1.360,1.240,0,1,0,0,0,15,7,0,7,0
18-03 14:32:36,2.513,0.503,42.211,53.769,1.005,662110208,307200000,116412416,2936897536,6781,2160,0,380928,0,29,464,717,1.480,1.370,1.250,1,1,0,0,0,15,7,0,7,0
18-03 14:32:37,3.553,2.538,45.685,44.670,3.553,662478848,306720768,116477952,2936942592,4418,2160,0,385024,0,33,505,823,1.480,1.370,1.250,1,1,0,0,0,15,7,0,7,0
18-03 14:32:38,10.345,11.823,31.034,45.320,1.478,662728704,306311168,116572160,2937008128,5026,2160,0,565248,0,52,649,1058,1.480,1.370,1.250,0,1,0,0,0,15,7,0,6,0
18-03 14:32:39,6.931,7.921,36.139,44.059,4.950,663187456,305704960,116670464,2937053184,5948,1944,0,540672,0,50,659,1137,1.480,1.370,1.250,0,1,0,0,0,15,7,0,6,0
