"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 13:55:32 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 13:55:32,15.330,4.331,52.981,26.307,1.051,443330560,743759872,91443200,2642042880,0,0,175859.115,2368598.836,9.832,32.325,747.461,1372.930,2.090,1.530,1.330,2,0,24.492,0,0,14,3,0,5,0
31-03 13:55:33,20.202,37.879,34.343,7.071,0.505,444272640,742449152,91455488,2642329600,5389,2160,241664,139264,4,12,1537,3859,2.240,1.570,1.340,1,1,382,0,0,14,3,0,5,0
31-03 13:55:34,27.919,32.487,38.071,0,1.523,447328256,739225600,91455488,2642538496,3688,1944,77824,20480,1,5,1853,6433,2.240,1.570,1.340,2,0,245,0,0,14,3,0,5,0
31-03 13:55:35,24.103,14.872,50.769,9.744,0.513,576147456,609882112,91455488,2770612224,3450,2160,0,880640,0,31,2002,5417,2.240,1.570,1.340,0,1,52,0,0,16,3,0,5,0
31-03 13:55:36,26.633,24.623,33.166,15.075,0.503,584658944,601260032,91467776,2770681856,3602,2160,36864,5840896,1,39,1469,3154,2.240,1.570,1.340,1,1,296,0,0,16,5,0,7,0
31-03 13:55:37,23.618,4.523,49.749,22.111,0,597979136,587485184,91631616,2770972672,4801,2052,376832,4022272,51,9,531,821,2.240,1.570,1.340,0,1,0,0,0,16,5,0,7,0
31-03 13:55:38,2.538,1.015,49.746,46.193,0.508,598355968,586567680,91811840,2771333120,4420,2052,520192,401408,30,2,410,716,2.220,1.580,1.350,0,1,0,0,0,16,5,0,7,0
31-03 13:55:39,9.137,0.508,50.254,39.594,0.508,601440256,583127040,91983872,2771517440,4525,2106,438272,0,76,0,542,987,2.220,1.580,1.350,0,1,2,0,0,16,5,0,7,0
31-03 13:55:40,14,3,49.500,33.500,0,611442688,572567552,92041216,2772017152,4707,2214,397312,0,44,0,514,857,2.220,1.580,1.350,0,1,0,0,0,16,5,0,7,0
