-- Logs begin at Tue 2020-03-31 13:33:38 UTC, end at Tue 2020-03-31 15:04:51 UTC. --
Mar 31 14:15:52 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 14:15:53 ubuntu dstat.sh[1956]: [286B blob data]
Mar 31 14:15:53 ubuntu dstat.sh[1956]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 14:15:53 ubuntu dstat.sh[1956]: 31-03 14:15:53| 16   5  52  25   2| 424M  712M 85.6M 2514M|   0     0 | 228k 3517k|12.3  36.6 | 768  1343 |1.28 1.35 1.35|3.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3479 2486k2296k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 14:15:54 ubuntu dstat.sh[1956]: 31-03 14:15:54| 16  26  33   1  24| 420M  715M 85.6M 2514M|4517B 2160B|   0   168k|   0  14.0 |1276  3094 |1.28 1.35 1.35|2.0   0 323|   0     0 |bash                 3479 8.0%1322k  20k|bash                 3479 1322k  20k8.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 14:15:55 ubuntu dstat.sh[1956]: 31-03 14:15:55| 23  26  35   0  16| 420M  716M 85.6M 2514M|4044B 1944B|   0    20k|   0  5.00 |1295  3894 |1.28 1.35 1.35|1.0   0 233|   0     0 |systemd              1     11%   0    0 |bash                 3479 1626k  14k4.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 14:15:56 ubuntu dstat.sh[1956]: 31-03 14:15:56| 20  27  38   0  14| 420M  715M 85.6M 2514M|6469B 1944B|   0    16k|   0  4.00 |1437  4538 |1.42 1.38 1.36|  0   0 183|   0     0 |systemd              1     12%   0    0 |bash                 3479 1385k  11k3.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 31 14:15:57 ubuntu dstat.sh[1956]: 31-03 14:15:57| 21  27  47   0   5| 545M  590M 85.6M 2636M|5526B 1944B|   0   220k|   0  1.00 |1531  5037 |1.42 1.38 1.36|3.0   0 231|   0     0 |systemd              1    9.5%   0    0 |bash                 3479  461k  10k4.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Mar 31 14:15:58 ubuntu dstat.sh[1956]: 31-03 14:15:58| 40  13  47   0   1| 562M  573M 85.6M 2636M|4477B 2160B|   0     0 |   0     0 | 935  1782 |1.42 1.38 1.36|1.0   0 110|   0     0 |keystone-manage      3356  35%4015k  81k|keystone-manage      3356 4015k  81k 35%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 14:15:59 ubuntu dstat.sh[1956]: 31-03 14:15:59| 17   3  45  32   3| 570M  564M 86.0M 2637M|4955B 1944B|1088k  312k| 148  2.00 | 640  1175 |1.42 1.38 1.36|1.0   0   0|   0     0 |keystone-manage      3356  17%1839k   0 |keystone-manage      3356 1839k   0  17%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 14:16:00 ubuntu dstat.sh[1956]: 31-03 14:16:00| 12   2  47  38   0| 576M  557M 86.2M 2637M|6703B 2160B| 596k    0 |81.0     0 | 545  1080 |1.42 1.38 1.36|1.0   0 2.0|   0     0 |keystone-manage      3356  11%1380k  46k|keystone-manage      3356 1380k  46k 11%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 14:16:01 ubuntu dstat.sh[1956]: 31-03 14:16:01| 34   4  47  14   2| 591M  542M 86.2M 2638M|6553B 1944B| 640k    0 |51.0     0 | 658   882 |1.46 1.39 1.36|1.0   0   0|   0     0 |keystone-manage      3356  35%3829k6985B|keystone-manage      3356 3829k6985B 35%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 14:16:02 ubuntu dstat.sh[1956]: 31-03 14:16:02| 37   5  44  15   0| 610M  521M 86.2M 2639M|5595B 2160B| 136k  116k|15.0  11.0 | 703   924 |1.46 1.39 1.36|  0 2.0   0|   0     0 |keystone-manage      3356  38%5023k 512k|keystone-manage      3356 5023k 512k 38%|mysqld       173M|   0     0 |  16    5    0    7    0
Mar 31 14:16:03 ubuntu dstat.sh[1956]: 31-03 14:16:03| 17   8  30  43   2| 623M  508M 86.3M 2639M|3380B 2160B|  88k 3276k|6.00   114 | 894  1252 |1.46 1.39 1.36|  0 1.0   0|   0     0 |python2              1564  11%  83k  91k|keystone-manage      3356  498k  83k9.5%|mysqld       184M|   0     0 |  16    7    0    7    0
Mar 31 14:16:04 ubuntu dstat.sh[1956]: 31-03 14:16:04|  9   6  41  42   4| 625M  505M 86.5M 2640M|3476B 2202B|   0  1084k|   0  79.0 | 785  1481 |1.46 1.39 1.36|  0 2.0   0|   0     0 |keystone-manage      3356 6.0%  38k  53k|keystone-manage      3356   38k  53k6.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 14:16:05 ubuntu dstat.sh[1956]: 31-03 14:16:05|  2   1  49  49   0| 626M  505M 86.6M 2640M|3753B 2160B|   0   572k|   0  35.0 | 445   833 |1.46 1.39 1.36|  0 1.0   0|   0     0 |mysqld               1229 1.0%   0    0 |python2              2147   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 14:16:06 ubuntu dstat.sh[1956]: 31-03 14:16:06|  2   1  45  52   1| 626M  504M 86.7M 2640M|5675B 1944B|   0   660k|   0  50.0 | 531   923 |1.51 1.40 1.36|  0 1.0   0|   0     0 |mysqld               1229 0.5%   0    0 |python2              2147   14k 461B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Mar 31 14:16:07 ubuntu dstat.sh[1956]: 31-03 14:16:07|  3   2  47  45   2| 626M  503M 86.9M 2640M|4021B 1944B|   0  1280k|   0  97.0 | 739  1328 |1.51 1.40 1.36|1.0   0   0|   0     0 |keystone-manage      3356 2.0%   0    0 |python2              2147   14k 451B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 14:16:08 ubuntu dstat.sh[1956]: 31-03 14:16:08|  3   4  47  46   2| 626M  503M 87.1M 2640M|3425B 2160B|   0  3712k|   0   128 | 620  1127 |1.51 1.40 1.36|  0 1.0   0|   0     0 |mysqld               1229 2.0%   0    0 |python2              2147   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 14:16:09 ubuntu dstat.sh[1956]: 31-03 14:16:09|  3   2  48  45   2| 627M  502M 87.3M 2640M|3301B 1944B|   0  1192k|   0  93.0 | 701  1254 |1.51 1.40 1.36|  0 1.0   0|   0     0 |mysqld               1229 2.0%   0    0 |python2              2147   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Mar 31 14:16:10 ubuntu dstat.sh[1956]: 31-03 14:16:10| 11  11  41  35   2| 627M  501M 87.6M 2640M|4825B 1944B|   0   980k|   0   106 | 876  1895 |1.51 1.40 1.36|1.0 1.0 2.0|   0     0 |mysqld               1229  18%   0    0 |python2              2147   14k 469B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
