"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 11:50:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 11:50:38,16.293,4.685,52.199,25.421,1.403,441139200,640069632,90050560,2742960128,0,0,260146.476,3693696.920,12.140,35.868,802.141,1456.153,1.450,1.430,1.340,1,1,25.893,0,0,13,3,0,6,0
01-04 11:50:39,15.238,31.905,36.190,1.429,15.238,441221120,639795200,90054656,2743087104,18389,1944,0,36864,0,6,1317,3352,1.420,1.420,1.340,2,0,364,0,0,13,3,0,5,0
01-04 11:50:40,24.876,32.338,37.811,0,4.975,441417728,639500288,90054656,2743214080,5993,2160,0,24576,0,6,1497,3720,1.420,1.420,1.340,2,0,282,0,0,13,3,0,5,0
01-04 11:50:41,29.798,30.303,37.374,0,2.525,441454592,639283200,90054656,2743287808,4855,1944,0,12288,0,3,1932,5779,1.420,1.420,1.340,1,0,168,0,0,13,3,0,5,0
01-04 11:50:42,11.055,24.623,60.302,0,4.020,572297216,508071936,90054656,2871324672,5299,1998,0,0,0,0,1462,3516,1.420,1.420,1.340,2,0,253,0,0,15,5,0,5,0
01-04 11:50:43,37.500,8,48.500,4.500,1.500,594370560,485888000,90058752,2871431168,3628,2200,0,946176,0,71,850,1325,1.420,1.420,1.340,0,1,57,0,0,15,5,0,8,0
01-04 11:50:44,10.553,3.015,38.693,46.231,1.508,597712896,481574912,90288128,2872172544,8017,2160,958464,1286144,111,15,624,1035,1.540,1.450,1.350,0,1,0,0,0,15,5,0,8,0
01-04 11:50:45,2.020,1.515,47.475,46.970,2.020,598114304,480780288,90451968,2872401920,8174,1944,385024,0,60,0,492,911,1.540,1.450,1.350,0,1,0,0,0,15,5,0,8,0
01-04 11:50:46,43.564,3.465,46.535,5.446,0.990,620220416,457412608,90755072,2873348096,5417,2160,1167360,0,141,0,664,1156,1.540,1.450,1.350,2,0,2,0,0,15,5,0,8,0
01-04 11:50:47,46,5.500,44.500,3,1,645926912,430374912,90832896,2874433536,7206,1944,229376,0,21,0,693,1183,1.540,1.450,1.350,3,0,0,0,0,15,7,0,8,0
01-04 11:50:48,16.832,6.436,34.653,40.099,1.980,655630336,419893248,91013120,2874937344,6530,1944,0,2179072,0,65,788,1481,1.540,1.450,1.350,0,1,0,0,0,15,7,0,8,0
01-04 11:50:49,1.010,2.020,33.838,62.626,0.505,655929344,419414016,91131904,2874990592,4914,2160,0,659456,0,46,518,885,1.660,1.470,1.360,0,1,0,0,0,15,7,0,8,0
01-04 11:50:50,1.523,1.523,49.746,46.701,0.508,656244736,418717696,91295744,2875203584,4542,2160,0,999424,0,69,524,1025,1.660,1.470,1.360,0,1,0,0,0,15,7,0,8,0
01-04 11:50:51,2.010,2.513,48.241,45.729,1.508,656269312,418123776,91508736,2875535360,4368,1944,0,1060864,0,79,559,1090,1.660,1.470,1.360,0,1,0,0,0,15,7,0,8,0
01-04 11:50:52,3.015,1.005,43.216,51.759,1.005,656904192,417120256,91693056,2875711488,6570,2160,0,1032192,0,68,592,1043,1.660,1.470,1.360,0,1,0,0,0,15,7,0,8,0
01-04 11:50:53,2.041,0.510,47.449,50,0,657190912,416534528,91848704,2875822080,4610,2160,0,978944,0,72,547,1043,1.660,1.470,1.360,0,2,0,0,0,15,7,0,8,0
01-04 11:50:54,2.970,0.990,19.802,75.743,0.495,657223680,416411648,91865088,2875887616,5772,1890,0,2588672,0,73,422,692,2.010,1.550,1.380,0,2,0,0,0,15,7,0,8,0
01-04 11:50:55,1.515,1.515,31.818,65.152,0,657129472,415555584,91942912,2876735488,4132,2214,0,2658304,0,41,462,991,2.010,1.550,1.380,0,2,0,0,0,15,7,0,8,0
01-04 11:50:56,1.531,1.020,46.939,49.490,1.020,657379328,415178752,92045312,2876760064,3995,2160,0,1343488,0,59,518,864,2.010,1.550,1.380,0,1,2,0,0,15,7,0,8,0
01-04 11:50:57,7.576,6.061,45.455,40.909,0,657981440,414126080,92274688,2876964864,4157,2160,0,2191360,0,112,797,1453,2.010,1.550,1.380,1,1,0,0,0,15,7,0,8,0
01-04 11:50:58,11.443,7.960,36.816,43.284,0.498,658509824,413241344,92524544,2877063168,4939,1944,0,921600,0,90,798,1523,2.010,1.550,1.380,1,1,0,0,0,15,7,0,8,0
01-04 11:50:59,8.416,8.416,32.673,45.545,4.950,658817024,412762112,92655616,2877100032,4898,2160,0,483328,0,50,567,1090,2.010,1.560,1.390,0,1,0,0,0,15,7,0,8,0
01-04 11:51:00,8.543,10.050,37.186,37.688,6.533,659148800,412192768,92844032,2877145088,5459,2106,0,925696,0,87,708,1350,2.010,1.560,1.390,1,1,0,0,0,15,7,0,7,0
