"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Apr 2020 10:45:13 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-04 10:45:13,15.649,4.736,53.496,23.545,2.574,442376192,606871552,87818240,2775818240,0,0,246275.436,3537043.925,11.675,34.396,751.561,1294.556,1.140,1.240,1.240,2,0,24.813,0,0,13,3,0,5,0
02-04 10:45:14,15.500,25.500,36.500,21.500,1,442519552,606457856,87830528,2775875584,3790,2160,0,118784,0,8,1062,2811,1.140,1.240,1.240,3,0,289,0,0,13,3,0,5,0
02-04 10:45:15,26.500,28,40,4.500,1,442744832,606183424,87830528,2775982080,6465,2160,0,24576,0,6,1903,4215,1.140,1.240,1.240,4,0,241,0,0,13,3,0,5,0
02-04 10:45:16,28.718,30.769,40.513,0,0,443432960,605474816,87830528,2775924736,8552,1944,0,229376,0,5,1804,6308,1.140,1.240,1.240,2,0,196,0,0,13,3,0,5,0
02-04 10:45:17,11.330,16.749,71.429,0,0.493,574304256,474116096,87830528,2904088576,4522,2160,0,0,0,0,1319,3871,1.210,1.250,1.240,2,0,147,0,0,15,5,0,5,0
02-04 10:45:18,37.755,15.816,45.918,0,0.510,591130624,457175040,87838720,2904195072,4439,1944,0,0,0,0,993,2153,1.210,1.250,1.240,3,0,166,0,0,15,5,0,7,0
02-04 10:45:19,19.500,5,38,37.500,0,603557888,442695680,88657920,2905427968,3630,2160,1982464,270336,292,2,663,1362,1.210,1.250,1.240,2,0,0,0,0,15,5,0,7,0
02-04 10:45:20,46.040,2.970,47.030,2.970,0.990,624963584,420413440,88674304,2906288128,3694,1944,684032,0,55,0,667,843,1.210,1.250,1.240,2,0,0,0,0,15,5,0,7,0
02-04 10:45:21,47.236,8.543,36.181,7.035,1.005,647397376,396734464,88756224,2907369472,4071,2160,200704,1294336,17,8,910,1483,1.210,1.250,1.240,4,0,0,0,0,15,7,0,7,0
