-- Logs begin at Thu 2020-04-02 09:21:39 UTC, end at Thu 2020-04-02 10:53:30 UTC. --
Apr 02 10:03:00 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 10:03:00 ubuntu dstat.sh[2105]: [286B blob data]
Apr 02 10:03:00 ubuntu dstat.sh[2105]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 10:03:00 ubuntu dstat.sh[2105]: 02-04 10:03:00| 17   5  55  22   1| 422M  701M 86.1M 2527M|   0     0 | 235k 2916k|12.7  35.8 | 869  1494 |0.96 1.11 1.16|1.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3672 2544k2350k0.2%|mysqld       174M|   0     0 |  14    3    0    6    0
Apr 02 10:03:01 ubuntu dstat.sh[2105]: 02-04 10:03:01| 21  38  38   1   2| 422M  701M 86.1M 2527M|4561B 2106B|   0   112k|   0  9.00 |1477  3885 |0.96 1.11 1.16|1.0   0 422|   0     0 |bash                 3672 7.5%1727k  27k|bash                 3672 1727k  27k7.5%|mysqld       174M|   0     0 |  14    3    0    6    0
Apr 02 10:03:02 ubuntu dstat.sh[2105]: 02-04 10:03:02| 28  30  38   2   2| 422M  700M 86.1M 2527M|4005B 1728B|   0    11M|   0  20.0 |1852  4680 |0.96 1.11 1.16|  0 1.0 243|   0     0 |systemd              1     11%   0    0 |bash                 3672 1816k  15k3.5%|mysqld       174M|   0     0 |  14    3    0    6    0
Apr 02 10:03:03 ubuntu dstat.sh[2105]: 02-04 10:03:03| 10  17  45  27   1| 423M  699M 86.1M 2527M|4163B 1944B|   0    22M|   0  29.0 | 832  2533 |0.96 1.10 1.16|1.0   0 128|   0     0 |systemd              1    3.5%   0    0 |bash                 3672  759k7597B1.5%|mysqld       174M|   0     0 |  14    3    0    6    0
Apr 02 10:03:04 ubuntu dstat.sh[2105]: 02-04 10:03:04| 21  16  62   0   2| 548M  575M 86.1M 2649M|4249B 1944B|   0     0 |   0     0 |1506  3806 |0.96 1.10 1.16|  0   0  51|   0     0 |systemd              1     17%   0    0 |bash                 3672  232k 656B  0%|mysqld       174M|   0     0 |  16    3    0    6    0
Apr 02 10:03:05 ubuntu dstat.sh[2105]: 02-04 10:03:05|  9  15  73   0   3| 548M  574M 86.1M 2649M|4118B 2160B|   0     0 |   0     0 | 907  2141 |0.96 1.10 1.16|1.0   0 191|   0     0 |bash                 3672 4.0% 356k  10k|bash                 3672  356k  10k4.0%|mysqld       174M|   0     0 |  16    5    0    6    0
Apr 02 10:03:06 ubuntu dstat.sh[2105]: 02-04 10:03:06| 39  13  46   1   2| 569M  554M 86.1M 2649M|5006B 1944B|   0   136k|   0  2.00 | 760  1562 |0.96 1.10 1.16|  0 1.0 106|   0     0 |keystone-manage      3502  35%5089k  81k|keystone-manage      3502 5089k  81k 35%|mysqld       174M|   0     0 |  16    5    0    8    0
Apr 02 10:03:07 ubuntu dstat.sh[2105]: 02-04 10:03:07| 30   4  47  18   1| 586M  534M 86.8M 2651M|4436B 1944B|1948k    0 | 288     0 | 851  1427 |0.96 1.10 1.16|1.0   0   0|   0     0 |keystone-manage      3502  32%4183k  46k|keystone-manage      3502 4183k  46k 32%|mysqld       174M|   0     0 |  16    5    0    8    0
Apr 02 10:03:08 ubuntu dstat.sh[2105]: 02-04 10:03:08| 45   3  48   4   1| 604M  515M 86.8M 2652M|8049B 1728B| 652k    0 |48.0     0 | 683   885 |0.97 1.10 1.16|1.0   0   0|   0     0 |keystone-manage      3502  46%4797k 174k|keystone-manage      3502 4797k 174k 46%|mysqld       174M|   0     0 |  16    5    0    8    0
Apr 02 10:03:09 ubuntu dstat.sh[2105]: 02-04 10:03:09| 32  11  31  26   1| 618M  500M 86.9M 2652M|5609B 1944B| 144k 1544k|14.0  24.0 | 849  1349 |0.97 1.10 1.16|  0 1.0 2.0|   0     0 |keystone-manage      3502  26%2515k 428k|keystone-manage      3502 2515k 428k 26%|mysqld       179M|   0     0 |  16    7    0    8    0
Apr 02 10:03:10 ubuntu dstat.sh[2105]: 02-04 10:03:10|  9   5  46  41   1| 627M  491M 87.0M 2653M|4289B 1944B|   0  8544k|   0  55.0 | 557  1029 |0.97 1.10 1.16|1.0   0   0|   0     0 |keystone-manage      3502 4.5%  38k  53k|keystone-manage      3502   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    8    0
Apr 02 10:03:11 ubuntu dstat.sh[2105]: 02-04 10:03:11|  3   2  47  46   2| 628M  490M 87.2M 2653M|5732B 1728B|   0  1164k|   0  86.0 | 602  1094 |0.97 1.10 1.16|2.0   0   0|   0     0 |mysqld               1376 2.0%   0    0 |python2              2219   14k 463B0.5%|mysqld       186M|   0     0 |  16    7    0    8    0
Apr 02 10:03:12 ubuntu dstat.sh[2105]: 02-04 10:03:12|  3   3  46  46   2| 629M  488M 87.4M 2653M|4624B 1944B|   0  1908k|   0   106 | 588  1092 |0.97 1.10 1.16|  0 1.0   0|   0     0 |mysqld               1376 1.5%   0    0 |python2              2219   14k 452B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 02 10:03:13 ubuntu dstat.sh[2105]: 02-04 10:03:13|  2   3  47  48   0| 628M  488M 87.7M 2653M|5574B 1728B|   0  3548k|   0   136 | 612  1204 |1.05 1.12 1.16|1.0   0   0|   0     0 |mysqld               1376 1.0%   0    0 |python2              2219   14k 454B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 02 10:03:14 ubuntu dstat.sh[2105]: 02-04 10:03:14|  2   1  49  47   1| 628M  488M 87.8M 2654M|6391B 1944B|   0   912k|   0  65.0 | 522   986 |1.05 1.12 1.16|  0 1.0   0|   0     0 |jbd2/vda1-8          292  0.5%   0    0 |python2              2219   14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    8    0
