"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 17:41:49 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 17:41:49,15.970,4.662,52.176,25.794,1.398,439812096,608772096,89714688,2775285760,0,0,254730.413,3649953.847,12.013,35.359,790.607,1538.551,1.430,1.420,1.330,2,0,25.463,0,0,13,3,0,5,0
01-04 17:41:50,18.932,34.466,34.951,4.369,7.282,439033856,609280000,89731072,2775482368,5920,1944,0,131072,0,12,1321,3381,1.430,1.420,1.330,2,0,364,0,0,13,3,0,5,0
01-04 17:41:51,24.272,32.039,34.466,0,9.223,446664704,601640960,89731072,2775597056,5225,2160,0,20480,0,5,1822,5256,1.430,1.420,1.330,10,0,236,0,0,13,3,0,5,0
01-04 17:41:52,21.891,22.886,51.244,0,3.980,570339328,477491200,89731072,2903531520,3923,2160,0,0,0,0,1975,4908,1.400,1.410,1.330,1,0,57,0,0,15,3,0,5,0
01-04 17:41:53,14.428,19.900,62.687,0,2.985,571445248,476348416,89735168,2903556096,4640,1944,0,0,0,0,1233,2945,1.400,1.410,1.330,2,0,269,0,0,15,5,0,7,0
01-04 17:41:54,36.181,7.035,47.236,9.045,0.503,593154048,454385664,89751552,2903764992,4636,1944,118784,0,4,0,655,1029,1.400,1.410,1.330,1,1,29,0,0,15,5,0,7,0
01-04 17:41:55,2.463,1.478,31.034,63.547,1.478,592994304,454103040,89915392,2904043520,3857,2160,299008,274432,20,2,398,790,1.400,1.410,1.330,1,1,0,0,0,15,5,0,7,0
01-04 17:41:56,3.980,1.493,48.756,45.274,0.498,593661952,453210112,89956352,2904227840,4357,2160,352256,0,56,0,382,733,1.400,1.410,1.330,1,1,0,0,0,15,5,0,7,0
01-04 17:41:57,5.556,1.010,49.495,43.939,0,594518016,452194304,89972736,2904371200,4753,1944,147456,1900544,23,65,415,721,1.370,1.410,1.320,1,2,0,0,0,15,5,0,7,0
01-04 17:41:58,5.419,2.956,48.276,42.365,0.985,596201472,450260992,90120192,2904473600,6744,2160,274432,626688,50,14,444,843,1.370,1.410,1.320,1,1,0,0,0,15,5,0,7,0
01-04 17:41:59,6.311,1.456,48.058,44.175,0,597188608,449081344,90144768,2904641536,6618,1944,155648,0,19,0,424,729,1.370,1.410,1.320,1,1,0,0,0,15,5,0,7,0
01-04 17:42:00,1.980,1.980,48.515,47.525,0,597049344,449212416,90148864,2904645632,4606,2160,0,0,0,0,312,529,1.370,1.410,1.320,1,4,0,0,0,15,5,0,7,0
01-04 17:42:01,2.956,1.478,36.946,58.128,0.493,598257664,447844352,90304512,2904649728,6507,2160,233472,278528,44,2,370,707,1.370,1.410,1.320,1,1,0,0,0,15,5,0,6,0
01-04 17:42:02,10.448,1.990,46.269,38.806,2.488,605048832,440578048,90451968,2904977408,4868,2160,274432,0,45,0,456,747,1.340,1.400,1.320,2,0,0,0,0,15,5,0,6,0
01-04 17:42:03,6.931,1.980,46.535,44.554,0,607715328,437899264,90460160,2904981504,4326,2160,32768,1634304,5,23,471,769,1.340,1.400,1.320,1,2,2,0,0,15,5,0,6,0
01-04 17:42:04,5.911,2.463,47.291,44.335,0,610783232,434798592,90464256,2905010176,4528,2160,32768,86016,4,11,422,700,1.340,1.400,1.320,1,2,0,0,0,15,5,0,6,0
