-- Logs begin at Wed 2020-04-01 14:30:15 UTC, end at Wed 2020-04-01 16:09:58 UTC. --
Apr 01 15:13:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 15:13:12 ubuntu dstat.sh[1999]: [286B blob data]
Apr 01 15:13:12 ubuntu dstat.sh[1999]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 15:13:12 ubuntu dstat.sh[1999]: 01-04 15:13:12| 16   5  53  25   2| 421M  757M 87.2M 2476M|   0     0 | 178k 2961k|10.0  35.7 | 782  1313 |1.80 1.44 1.28|2.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 4544 2404k2234k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 15:13:13 ubuntu dstat.sh[1999]: 01-04 15:13:13| 21  34  35   5   7| 421M  756M 87.2M 2476M|  11k 2160B| 228k  116k|3.00  8.00 |1549  3770 |1.73 1.43 1.28|2.0   0 410|   0     0 |bash                 4544 8.0%1259k  26k|bash                 4544 1259k  26k8.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 15:13:14 ubuntu dstat.sh[1999]: 01-04 15:13:14| 25  32  38   0   5| 421M  756M 87.2M 2476M|6755B 1944B|   0    20k|   0  5.00 |1635  4091 |1.73 1.43 1.28|1.0   0 253|   0     0 |systemd              1     10%   0    0 |bash                 4544 1920k  15k3.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 15:13:15 ubuntu dstat.sh[1999]: 01-04 15:13:15| 19  24  34   0  23| 421M  756M 87.2M 2476M|3485B 1986B|   0    16k|   0  4.00 |1070  3076 |1.73 1.43 1.28|4.0   0 177|   0     0 |systemd              1     11%   0    0 |bash                 4544 1289k  11k4.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Apr 01 15:13:16 ubuntu dstat.sh[1999]: 01-04 15:13:16| 17  22  44   0  17| 546M  630M 87.2M 2598M|6549B 2160B|   0     0 |   0     0 |1470  3501 |1.73 1.43 1.28|1.0   0 167|   0     0 |systemd              1     10%   0    0 |bash                 4544  376k6862B2.5%|mysqld       174M|   0     0 |  16    5    0    5    0
Apr 01 15:13:17 ubuntu dstat.sh[1999]: 01-04 15:13:17| 32  18  43   2   4| 558M  619M 87.2M 2598M|3651B 1944B|   0  8024k|   0  19.0 |1141  2184 |1.73 1.43 1.28|1.0   0 174|   0     0 |keystone-manage      3397  26%2278k  81k|keystone-manage      3397 2278k  81k 26%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 15:13:18 ubuntu dstat.sh[1999]: 01-04 15:13:18| 27   4  43  24   4| 570M  605M 87.5M 2599M|3686B 2160B|1036k  596k| 121  21.0 | 809  1124 |1.76 1.44 1.29|  0 2.0   0|   0     0 |keystone-manage      3397  29%3653k   0 |keystone-manage      3397 3653k   0  29%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 15:13:19 ubuntu dstat.sh[1999]: 01-04 15:13:19| 34   3  42  15   5| 587M  588M 87.5M 2600M|4304B 1944B| 472k 2088k|54.0  41.0 | 725   920 |1.76 1.44 1.29|1.0   0   0|   0     0 |keystone-manage      3397  38%3903k  46k|keystone-manage      3397 3903k  46k 38%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 15:13:20 ubuntu dstat.sh[1999]: 01-04 15:13:20| 39   4  46   4   7| 607M  567M 87.6M 2601M|4901B 1998B| 660k    0 |48.0     0 | 695   919 |1.76 1.44 1.29|1.0   0   0|   0     0 |keystone-manage      3397  45%5328k 245k|keystone-manage      3397 5328k 245k 45%|mysqld       174M|   0     0 |  16    5    0    7    0
Apr 01 15:13:21 ubuntu dstat.sh[1999]: 01-04 15:13:21| 30  11  28  26   4| 624M  549M 87.7M 2602M|4446B 2106B| 108k 1616k|10.0  28.0 | 871  1731 |1.76 1.44 1.29|2.0   0   0|   0     0 |keystone-manage      3397  23%1459k 410k|keystone-manage      3397 1459k 410k 23%|mysqld       184M|   0     0 |  16    7    0    7    0
Apr 01 15:13:22 ubuntu dstat.sh[1999]: 01-04 15:13:22|  6   3  46  42   2| 626M  546M 87.9M 2602M|3974B 2160B|   0  1528k|   0   100 | 774  1197 |1.76 1.44 1.29|  0 1.0   0|   0     0 |keystone-manage      3397 2.0%   0    0 |python2              2086   14k 483B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 15:13:23 ubuntu dstat.sh[1999]: 01-04 15:13:23|  4   3  43  49   3| 626M  545M 88.2M 2602M|5664B 2160B|  52k 1552k|1.00   112 | 825  1395 |1.70 1.44 1.28|1.0   0 2.0|   0     0 |mysqld               1271 1.5%   0    0 |python2              2086   14k 452B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 15:13:24 ubuntu dstat.sh[1999]: 01-04 15:13:24|  3   3  45  47   1| 627M  544M 88.5M 2603M|4631B 1944B|   0  1796k|   0   106 | 748  1261 |1.70 1.44 1.28|1.0   0   0|   0     0 |mysqld               1271 1.5%   0    0 |python2              2086   14k 474B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 15:13:25 ubuntu dstat.sh[1999]: 01-04 15:13:25|  4   2  38  54   2| 627M  543M 88.8M 2603M|5471B 2160B|   0  9500k|   0   135 | 778  1433 |1.70 1.44 1.28|1.0 1.0   0|   0     0 |mysqld               1271 4.5%   0    0 |python2              2086   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 15:13:26 ubuntu dstat.sh[1999]: 01-04 15:13:26| 11  12  39  33   6| 628M  542M 89.0M 2603M|4795B 2038B|   0  1080k|   0   114 | 882  1556 |1.70 1.44 1.28|2.0   0   0|   0     0 |mysqld               1271  20%   0    0 |python2              2086   14k 470B  0%|mysqld       188M|   0     0 |  16    7    0    7    0
Apr 01 15:13:27 ubuntu dstat.sh[1999]: 01-04 15:13:27|  9   9  41  36   4| 629M  541M 89.4M 2603M|5016B 2106B|   0  1304k|   0   126 | 856  1516 |1.70 1.44 1.28|1.0 1.0   0|   0     0 |mysqld               1271  15%   0    0 |python2              2086   14k 471B0.5%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 15:13:28 ubuntu dstat.sh[1999]: 01-04 15:13:28| 15  14  35  31   5| 629M  540M 89.7M 2603M|6865B 2214B|   0  1436k|   0   131 |1013  1553 |1.64 1.43 1.28|4.0 1.0   0|   0     0 |mysqld               1271  27%   0    0 |python2              2086   14k 470B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 15:13:29 ubuntu dstat.sh[1999]: 01-04 15:13:29| 13  13  16  52   7| 630M  539M 89.8M 2603M|5755B 1944B|   0  7932k|   0   147 | 649   987 |1.64 1.43 1.28|1.0 1.0   0|   0     0 |mysqld               1271  25%   0    0 |python2              2086   14k 473B  0%|mysqld       189M|   0     0 |  16    7    0    7    0
Apr 01 15:13:30 ubuntu dstat.sh[1999]: 01-04 15:13:30| 17  19  22  36   5| 629M  539M 90.0M 2603M|6053B 2160B|   0  2880k|   0   129 | 958  1410 |1.64 1.43 1.28|  0 1.0   0|   0     0 |mysqld               1271  36%   0    0 |python2              2086   14k 471B0.5%|mysqld       190M|   0     0 |  16    7    0    7    0
Apr 01 15:13:31 ubuntu dstat.sh[1999]: 01-04 15:13:31|  9   5  43  41   2| 630M  538M 90.2M 2603M|8350B 1944B|   0  1580k|   0   115 |1072  2013 |1.64 1.43 1.28|3.0 1.0   0|   0     0 |mysqld               1271 8.5%   0    0 |python2              2086   14k 466B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 15:13:32 ubuntu dstat.sh[1999]: 01-04 15:13:32| 12   9  45  33   2| 631M  537M 90.5M 2603M|6254B 2160B|   0  1616k|   0   121 | 900  1764 |1.64 1.43 1.28|1.0   0   0|   0     0 |mysqld               1271  15%   0    0 |python2              2086   14k 471B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Apr 01 15:13:33 ubuntu dstat.sh[1999]: 01-04 15:13:33|  6   7  47  39   3| 632M  470M 90.6M 2667M|4877B 2160B|   0  3052k|   0  70.0 | 789  1384 |1.59 1.42 1.28|  0 1.0 2.0|   0     0 |mysqld               1271 6.5%   0    0 |python2              2086   14k 465B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:34 ubuntu dstat.sh[1999]: 01-04 15:13:34|  2   1  48  48   1| 632M  470M 90.6M 2667M|4179B 1944B|   0    70M|   0  84.0 | 372   608 |1.59 1.42 1.28|  0 1.0   0|   0     0 |beam.smp             2966 0.5%   0    0 |python2              2086   14k 475B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:35 ubuntu dstat.sh[1999]: 01-04 15:13:35|  3   2  48  46   1| 632M  469M 90.8M 2668M|4039B 2160B|   0  1316k|   0  74.0 | 612  1058 |1.59 1.42 1.28|  0 1.0   0|   0     0 |mysqld               1271 1.0%   0    0 |python2              2086   14k 443B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:36 ubuntu dstat.sh[1999]: 01-04 15:13:36|  7   2  45  46   1| 633M  468M 91.0M 2668M|4675B 2160B|   0  1468k|   0   113 | 858  1444 |1.59 1.42 1.28|  0 2.0   0|   0     0 |mysqld               1271 4.0%   0    0 |python2              2086   14k 463B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:37 ubuntu dstat.sh[1999]: 01-04 15:13:37|  7   7  38  48   0| 633M  468M 91.1M 2668M|4274B 2160B|   0   500k|   0  54.0 | 574   975 |1.59 1.42 1.28|1.0 1.0   0|   0     0 |mysqld               1271  12%   0    0 |python2              2086   14k 464B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:38 ubuntu dstat.sh[1999]: 01-04 15:13:38|  4   4  44  47   1| 633M  468M 91.1M 2668M|4711B 2160B|   0   364k|   0  19.0 | 421   823 |1.62 1.43 1.28|  0 1.0   0|   0     0 |mysqld               1271 5.5%   0    0 |python2              2086   14k 451B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:39 ubuntu dstat.sh[1999]: 01-04 15:13:39|  2   1  26  71   1| 633M  468M 91.1M 2668M|4726B 1944B|  64k  112k|1.00  13.0 | 331   626 |1.62 1.43 1.28|  0 1.0   0|   0     0 |mysqld               1271 1.0%   0    0 |python2              2086   14k 461B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:41 ubuntu dstat.sh[1999]: 01-04 15:13:40|  2   1  16  82   0| 633M  468M 91.1M 2668M|4302B 2160B|   0   312k|   0  24.0 | 313   564 |1.62 1.43 1.28|  0 4.0   0|   0     0 |beam.smp             2966 0.5%   0    0 |python2              2086   14k 477B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:41 ubuntu dstat.sh[1999]: 01-04 15:13:41|  3   1   7  90   1| 633M  468M 91.1M 2668M|3722B 2160B|   0  1192k|   0   120 | 511   590 |1.62 1.43 1.28|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2086   14k 441B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:42 ubuntu dstat.sh[1999]: 01-04 15:13:42|  1   2  48  49   0| 633M  468M 91.1M 2668M|5646B 2160B|   0  1664k|   0   120 | 446   555 |1.62 1.43 1.28|  0 1.0   0|   0     0 |etcd                 3007 0.5%   0    0 |python2              2086   14k 468B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:43 ubuntu dstat.sh[1999]: 01-04 15:13:43|  4   2  45  49   1| 633M  467M 91.2M 2669M|4752B 1944B|   0    15M|   0   168 | 799  1577 |1.65 1.44 1.29|  0 1.0 2.0|   0     0 |mysqld               1271 1.5%   0    0 |python2              2086   14k 453B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 15:13:44 ubuntu dstat.sh[1999]: 01-04 15:13:44|  5   3  44  47   3| 634M  466M 91.5M 2669M|6027B 2160B|   0  1556k|   0   111 | 721  1488 |1.65 1.44 1.29|  0 1.0   0|   0     0 |keystone-manage      3397 3.0%2553B1904B|python2              2086   14k 471B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 15:13:45 ubuntu dstat.sh[1999]: 01-04 15:13:45| 15  13  27  42   3| 634M  465M 91.7M 2669M|3838B 1944B|   0  1128k|   0  99.0 | 677  1290 |1.65 1.44 1.29|1.0 1.0   0|   0     0 |mysqld               1271  27%   0    0 |python2              2086   14k 464B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 15:13:46 ubuntu dstat.sh[1999]: 01-04 15:13:46| 10  11  39  39   3| 634M  465M 91.9M 2669M|5952B 2160B|   0  1040k|   0  90.0 | 770  1437 |1.65 1.44 1.29|2.0 1.0   0|   0     0 |mysqld               1271  17%   0    0 |python2              2086   14k 471B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 15:13:47 ubuntu dstat.sh[1999]: 01-04 15:13:47|  8   4  44  44   2| 634M  464M 92.0M 2669M|3346B 1944B|   0   776k|   0  58.0 | 565  1223 |1.65 1.44 1.29|  0 2.0   0|   0     0 |mysqld               1271 6.5%   0    0 |python2              2086   14k 471B0.5%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 15:13:48 ubuntu dstat.sh[1999]: 01-04 15:13:48|  4   3  32  62   0| 634M  464M 92.1M 2669M|5200B 2160B|   0   992k|   0  87.0 | 578  1011 |1.68 1.45 1.29|  0 1.0   0|   0     0 |mysqld               1271 2.0%   0    0 |python2              2086   14k 462B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 15:13:49 ubuntu dstat.sh[1999]: 01-04 15:13:49| 11   7  42  38   1| 635M  464M 92.2M 2669M|6469B 2202B|   0   992k|   0  71.0 | 698  1146 |1.68 1.45 1.29|  0 1.0   0|   0     0 |mysqld               1271  16%   0    0 |python2              2086   14k 459B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:50 ubuntu dstat.sh[1999]: 01-04 15:13:50|  9  10  40  41   0| 635M  464M 92.3M 2669M|3999B 1986B|   0   776k|   0  55.0 | 623  1099 |1.68 1.45 1.29|  0 1.0   0|   0     0 |mysqld               1271  16%   0    0 |python2              2086   14k 463B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:51 ubuntu dstat.sh[1999]: 01-04 15:13:51|  7   5  35  54   0| 635M  463M 92.4M 2669M|4524B 2160B|   0  8720k|   0  71.0 | 499  1017 |1.68 1.45 1.29|  0 2.0   0|   0     0 |mysqld               1271 9.5%   0    0 |python2              2086   14k 459B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:52 ubuntu dstat.sh[1999]: 01-04 15:13:52|  5   4  39  52   1| 635M  463M 92.6M 2669M|  10k 1944B|   0  1004k|   0  77.0 | 738  1187 |1.68 1.45 1.29|  0 1.0   0|   0     0 |mysqld               1271 6.0%   0    0 |python2              2086   14k 452B0.5%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:53 ubuntu dstat.sh[1999]: 01-04 15:13:53|  7   5  42  45   0| 635M  463M 92.7M 2670M|6771B 2160B|   0  1796k|   0  77.0 | 698  1315 |1.79 1.48 1.30|  0 1.0 2.0|   0     0 |mysqld               1271 7.5%   0    0 |python2              2086   14k 464B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:54 ubuntu dstat.sh[1999]: 01-04 15:13:54|  4   3  46  46   1| 635M  463M 92.8M 2670M|5704B 2160B|   0   840k|   0  66.0 | 650  1173 |1.79 1.48 1.30|  0 1.0   0|   0     0 |mysqld               1271 5.0%   0    0 |python2              2086   14k 465B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:55 ubuntu dstat.sh[1999]: 01-04 15:13:55|  8   4  40  48   1| 635M  463M 92.9M 2669M|6175B 1944B|   0   720k|   0  56.0 | 647  1230 |1.79 1.48 1.30|  0 1.0   0|   0     0 |mysqld               1271 7.5%   0    0 |python2              2086   14k 462B0.5%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 15:13:56 ubuntu dstat.sh[1999]: 01-04 15:13:56|  2   2  46  49   1| 635M  462M 93.0M 2670M|4234B 2160B|   0   756k|   0  53.0 | 520   934 |1.79 1.48 1.30|2.0   0   0|   0     0 |mysqld               1271 1.5%   0    0 |python2              2086   14k 462B0.5%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 15:13:57 ubuntu dstat.sh[1999]: 01-04 15:13:57|  5   3  44  48   1| 635M  462M 93.2M 2670M|5170B 1944B|   0   964k|   0  73.0 | 647  1185 |1.79 1.48 1.30|  0 1.0   0|   0     0 |mysqld               1271 5.0%   0    0 |python2              2086   14k 467B  0%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 15:13:58 ubuntu dstat.sh[1999]: 01-04 15:13:58| 18  13  32  38   1| 635M  462M 93.3M 2670M|3850B 2160B|   0   780k|   0  58.0 | 798  1853 |1.80 1.49 1.30|1.0 1.0   0|   0     0 |mysqld               1271  25%   0    0 |python2              2086   14k 462B  0%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 15:13:59 ubuntu dstat.sh[1999]: 01-04 15:13:59|  9   4  42  43   3| 635M  462M 93.4M 2670M|4518B 2160B|   0  1024k|   0  62.0 | 771  1444 |1.80 1.49 1.30|  0 1.0   0|   0     0 |mysqld               1271 6.5%   0    0 |python2              2086   14k 460B0.5%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 15:14:00 ubuntu dstat.sh[1999]: 01-04 15:14:00| 10   8  39  43   1| 636M  461M 93.4M 2670M|3722B 2160B|   0  8520k|   0  58.0 | 610   973 |1.80 1.49 1.30|  0 1.0   0|   0     0 |mysqld               1271  15%   0    0 |python2              2086   14k 469B  0%|mysqld       195M|   0     0 |  16    7    0    3    0
Apr 01 15:14:01 ubuntu dstat.sh[1999]: 01-04 15:14:01| 16  13  40  32   0| 636M  461M 93.6M 2670M|4246B 1944B|   0   836k|   0  69.0 | 764  1216 |1.80 1.49 1.30|1.0 1.0   0|   0     0 |mysqld               1271  24%   0    0 |python2              2086   13k 462B  0%|mysqld       195M|   0     0 |  16    7    0    3    0
Apr 01 15:14:02 ubuntu dstat.sh[1999]: 01-04 15:14:02| 12  12  36  39   0| 636M  461M 93.7M 2670M|6255B 2160B|   0   952k|   0  71.0 | 855  1232 |1.80 1.49 1.30|2.0   0   0|   0     0 |mysqld               1271  21%   0    0 |python2              2086   13k 460B  0%|mysqld       195M|   0     0 |  16    7    0    3    0
Apr 01 15:14:03 ubuntu dstat.sh[1999]: 01-04 15:14:03| 15  13  29  42   1| 636M  460M 93.8M 2670M|4763B 2160B|   0   784k|   0  55.0 | 759  1183 |1.90 1.51 1.31|1.0 1.0 2.0|   0     0 |mysqld               1271  24%   0    0 |python2              2086   13k 470B0.5%|mysqld       195M|   0     0 |  16    7    0    4    0
Apr 01 15:14:04 ubuntu dstat.sh[1999]: 01-04 15:14:04| 12   8  37  44   0| 636M  460M 93.9M 2670M|4484B 2160B|   0  1000k|   0  73.0 | 834  1292 |1.90 1.51 1.31|  0 1.0   0|   0     0 |mysqld               1271  16%   0    0 |python2              2086   14k 476B  0%|mysqld       195M|   0     0 |  16    7    0    3    0
Apr 01 15:14:05 ubuntu dstat.sh[1999]: 01-04 15:14:05| 28  25  23  24   1| 637M  459M 94.0M 2670M|3546B 1944B|   0   480k|   0  43.0 | 933  2092 |1.90 1.51 1.31|2.0   0   0|   0     0 |mysqld               1271  20%   0    0 |python3.6            8489  210k 434k2.5%|mysqld       195M|   0     0 |  16    7    0    3    0
Apr 01 15:14:06 ubuntu dstat.sh[1999]: 01-04 15:14:06| 21  17  28  33   1| 637M  459M 94.1M 2670M|4508B 1944B|   0   792k|   0  54.0 | 752  1262 |1.90 1.51 1.31|  0 1.0   0|   0     0 |mysqld               1271  18%   0    0 |python2              1766  118k 129k 16%|mysqld       196M|   0     0 |  16    7    0    3    0
Apr 01 15:14:07 ubuntu dstat.sh[1999]: 01-04 15:14:07|  8   8  44  39   2| 637M  458M 94.2M 2670M|5099B 2160B|   0   948k|   0  77.0 | 787  1294 |1.90 1.51 1.31|4.0 1.0   0|   0     0 |mysqld               1271  13%   0    0 |python2              2086   13k 464B  0%|mysqld       196M|   0     0 |  16    7    0    3    0
