-- Logs begin at Tue 2020-03-10 08:20:21 UTC, end at Tue 2020-03-10 09:41:10 UTC. --
Mar 10 09:03:06 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 09:03:06 ubuntu dstat.sh[1598]: [286B blob data]
Mar 10 09:03:06 ubuntu dstat.sh[1598]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 09:03:06 ubuntu dstat.sh[1598]: 10-03 09:03:06| 18   5  55  21   2| 419M  422M  110M 2760M|   0     0 | 219k 3717k|11.3  37.2 | 785  1374 |1.30 1.26 1.20|3.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3550 2542k2355k0.2%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 10 09:03:07 ubuntu dstat.sh[1598]: 10-03 09:03:07| 24  37  37   2   0| 420M  421M  110M 2760M|5580B 1782B|   0   184k|   0  18.0 |1476  3899 |1.30 1.26 1.20|3.0   0 415|   0     0 |bash                 3550 6.5%2333k  28k|bash                 3550 2333k  28k6.5%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 10 09:03:08 ubuntu dstat.sh[1598]: 10-03 09:03:08| 22  28  37  12   1| 420M  421M  110M 2760M|6637B 2106B|   0    76k|   0  5.00 |1583  3902 |1.30 1.26 1.20|  0 2.0 220|   0     0 |systemd              1    9.0%   0    0 |bash                 3550 1708k  14k3.0%|mysqld       174M|   0     0 |  13    3    0    4    0
Mar 10 09:03:09 ubuntu dstat.sh[1598]: 10-03 09:03:09| 31  24  39   6   0| 546M  294M  110M 2882M|6570B 2160B|   0    72k|   0  6.00 |2526  6912 |1.30 1.26 1.20|2.0   0 123|   0     0 |systemd              1     20%   0    0 |bash                 3550  494k3767B0.5%|mysqld       174M|   0     0 |  15    5    0    4    0
Mar 10 09:03:10 ubuntu dstat.sh[1598]: 10-03 09:03:10| 31  23  45   0   0| 556M  285M  110M 2882M|6794B 1944B|   0     0 |   0     0 |1298  3094 |1.44 1.29 1.21|1.0   0 271|   0     0 |keystone-manage      2999  18%2256k  81k|keystone-manage      2999 2256k  81k 18%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 10 09:03:11 ubuntu dstat.sh[1598]: 10-03 09:03:11| 33   4  47  16   0| 570M  270M  110M 2883M|6353B 2160B| 596k    0 |59.0     0 | 682   826 |1.44 1.29 1.21|  0 1.0   0|   0     0 |keystone-manage      2999  33%3866k   0 |keystone-manage      2999 3866k   0  33%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 10 09:03:12 ubuntu dstat.sh[1598]: 10-03 09:03:12| 36   3  48  13   1| 587M  252M  110M 2883M|5561B 2160B| 444k    0 |67.0     0 | 538   905 |1.44 1.29 1.21|  0 1.0 2.0|   0     0 |keystone-manage      2999  36%3998k  46k|keystone-manage      2999 3998k  46k 36%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 10 09:03:13 ubuntu dstat.sh[1598]: 10-03 09:03:13| 41   4  48   7   0| 611M  226M  110M 2885M|4388B 2160B| 624k    0 |41.0     0 | 663   840 |1.44 1.29 1.21|  0 1.0   0|   0     0 |keystone-manage      2999  43%6218k 517k|keystone-manage      2999 6218k 517k 43%|mysqld       174M|   0     0 |  15    5    0    6    0
Mar 10 09:03:14 ubuntu dstat.sh[1598]: 10-03 09:03:14| 26  11  32  30   0| 627M  210M  110M 2885M|6363B 1944B|  96k 1964k|7.00  66.0 |1089  1910 |1.44 1.29 1.21|  0 1.0   0|   0     0 |keystone-manage      2999  16% 893k 136k|keystone-manage      2999  893k 136k 16%|mysqld       186M|   0     0 |  15    7    0    6    0
Mar 10 09:03:15 ubuntu dstat.sh[1598]: 10-03 09:03:15|  3   2  49  47   0| 628M  209M  110M 2886M|5221B 2160B|   0  1684k|   0   128 | 934  1408 |1.48 1.30 1.21|  0 1.0   0|   0     0 |mysqld               849  1.0%   0    0 |python2              1831   14k 455B0.5%|mysqld       186M|   0     0 |  15    7    0    6    0
Mar 10 09:03:16 ubuntu dstat.sh[1598]: 10-03 09:03:16|  3   2  48  48   0| 628M  208M  110M 2886M|4166B 1944B|   0  1148k|   0  71.0 | 616   972 |1.48 1.30 1.21|  0 1.0   0|   0     0 |mysqld               849  1.0%   0    0 |python2              1831   14k 454B  0%|mysqld       187M|   0     0 |  15    7    0    6    0
Mar 10 09:03:17 ubuntu dstat.sh[1598]: 10-03 09:03:17|  4   2  48  45   0| 628M  207M  111M 2886M|4143B 1944B|   0  1748k|   0   125 | 843  1348 |1.48 1.30 1.21|  0 1.0   0|   0     0 |mysqld               849  1.0%   0    0 |python2              1831   14k 459B  0%|mysqld       187M|   0     0 |  15    7    0    6    0
Mar 10 09:03:18 ubuntu dstat.sh[1598]: 10-03 09:03:18|  7   6  42  44   2| 629M  206M  111M 2886M|6611B 2160B|   0  1152k|   0  99.0 | 824  1426 |1.48 1.30 1.21|  0 1.0   0|   0     0 |mysqld               849   11%   0    0 |python2              1831   14k 464B0.5%|mysqld       188M|   0     0 |  15    7    0    6    0
Mar 10 09:03:19 ubuntu dstat.sh[1598]: 10-03 09:03:19| 13   9  33  46   1| 630M  205M  111M 2886M|7616B 2160B|   0  1332k|   0   141 |1130  2176 |1.48 1.30 1.21|1.0 1.0   0|   0     0 |mysqld               849   17%   0    0 |python2              1831   14k 473B  0%|mysqld       188M|   0     0 |  15    7    0    6    0
Mar 10 09:03:20 ubuntu dstat.sh[1598]: 10-03 09:03:20| 12   6  39  43   2| 630M  204M  111M 2887M|8568B 1944B|   0  1048k|   0  98.0 | 922  1606 |1.52 1.32 1.22|  0 1.0   0|   0     0 |mysqld               849   14%   0    0 |python2              1831   14k 471B0.5%|mysqld       189M|   0     0 |  15    7    0    6    0
Mar 10 09:03:21 ubuntu dstat.sh[1598]: 10-03 09:03:21|  8   9  40  42   2| 630M  204M  112M 2886M|6167B 1782B|   0  1440k|   0   121 | 989  1667 |1.52 1.32 1.22|  0 1.0   0|   0     0 |mysqld               849   14%   0    0 |python2              1831   14k 451B  0%|mysqld       189M|   0     0 |  15    7    0    6    0
Mar 10 09:03:22 ubuntu dstat.sh[1598]: 10-03 09:03:22|  9   9  44  37   2| 631M  202M  112M 2887M|8381B 2106B|   0  1204k|   0   109 | 970  1747 |1.52 1.32 1.22|  0 1.0 2.0|   0     0 |mysqld               849   14%   0    0 |python2              1831   14k 477B  0%|mysqld       190M|   0     0 |  15    7    0    7    0
Mar 10 09:03:23 ubuntu dstat.sh[1598]: 10-03 09:03:23| 11  10  44  34   1| 632M  201M  112M 2887M|5272B 1944B|   0  1600k|   0   118 |1006  2052 |1.52 1.32 1.22|1.0 1.0   0|   0     0 |mysqld               849   16%   0    0 |python2              1831   14k 473B0.5%|mysqld       190M|   0     0 |  15    7    0    7    0
Mar 10 09:03:24 ubuntu dstat.sh[1598]: 10-03 09:03:24| 14   8  42  35   2| 633M  200M  112M 2887M|5340B 1944B|   0  1880k|   0   139 |1320  2462 |1.52 1.32 1.22|2.0   0   0|   0     0 |mysqld               849   14%   0    0 |python2              1831   14k 467B  0%|mysqld       191M|   0     0 |  15    7    0    6    0
Mar 10 09:03:25 ubuntu dstat.sh[1598]: 10-03 09:03:25|  4   4  47  43   1| 634M  133M  113M 2951M|6687B 1944B|   0    26M|   0  69.0 | 531  1108 |1.56 1.33 1.22|  0 1.0   0|   0     0 |mysqld               849  3.5%   0    0 |python2              1831   14k 453B0.5%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 10 09:03:26 ubuntu dstat.sh[1598]: 10-03 09:03:26|  2   1  45  53   0| 635M  132M  113M 2951M|7887B 1944B|   0    40M|   0  57.0 | 416   690 |1.56 1.33 1.22|  0 1.0   0|   0     0 |kworker/u4:1         4372 0.5%   0    0 |python2              1831   14k 464B  0%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 10 09:03:27 ubuntu dstat.sh[1598]: 10-03 09:03:27|  2   2  46  49   1| 634M  132M  113M 2952M|5290B 1782B|   0  7360k|   0   102 | 511  1151 |1.56 1.33 1.22|  0 1.0   0|   0     0 |mysqld               849  1.0%   0    0 |python2              1831   14k 465B  0%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 10 09:03:28 ubuntu dstat.sh[1598]: 10-03 09:03:28|  3   2  47  46   2| 634M  131M  113M 2952M|6802B 2106B|   0  2012k|   0  94.0 | 613  1171 |1.56 1.33 1.22|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              1831   14k 464B  0%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 10 09:03:29 ubuntu dstat.sh[1598]: 10-03 09:03:29|  4   4  47  44   1| 635M  130M  113M 2952M|9884B 1944B|   0  1356k|   0   113 | 747  1427 |1.56 1.33 1.22|  0 1.0   0|   0     0 |mysqld               849  4.5%   0    0 |python2              1831   14k 465B  0%|mysqld       192M|   0     0 |  15    7    0    6    0
Mar 10 09:03:30 ubuntu dstat.sh[1598]: 10-03 09:03:30|  8   4  40  47   1| 635M  130M  113M 2952M|5739B 2160B|   0   992k|   0  88.0 | 591  1576 |1.60 1.34 1.23|  0 1.0   0|   0     0 |mysqld               849  9.0%   0    0 |python2              1831   14k 464B0.5%|mysqld       193M|   0     0 |  15    7    0    6    0
Mar 10 09:03:31 ubuntu dstat.sh[1598]: 10-03 09:03:31|  5   2  47  46   0| 635M  129M  113M 2952M|4896B 2160B|   0  1392k|   0   109 | 732  1339 |1.60 1.34 1.23|  0 3.0   0|   0     0 |keystone-manage      2999 2.0%2553B1904B|python2              1831   14k   0   0%|mysqld       193M|   0     0 |  15    7    0    6    0
