-- Logs begin at Fri 2020-03-13 00:13:46 UTC, end at Fri 2020-03-13 01:43:02 UTC. --
Mar 13 00:56:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 13 00:56:13 ubuntu dstat.sh[32750]: [286B blob data]
Mar 13 00:56:13 ubuntu dstat.sh[32750]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 13 00:56:13 ubuntu dstat.sh[32750]: 13-03 00:56:13| 17   5  56  21   1| 421M  975M  139M 2203M|   0     0 | 179k 3262k|8.54  37.2 | 807  1375 |1.39 1.17 1.10|1.0   0  26|   0     0 |systemd              1    0.4%   0    0 |bash                 3227 2575k2420k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Mar 13 00:56:14 ubuntu dstat.sh[32750]: 13-03 00:56:14| 22  38  37   3   2| 423M  973M  139M 2204M|7849B 1998B| 256k  148k|4.00  11.0 |1524  3898 |1.39 1.17 1.10|2.0   0 435|   0     0 |bash                 3227 6.5%2099k  29k|bash                 3227 2099k  29k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 13 00:56:15 ubuntu dstat.sh[32750]: 13-03 00:56:15| 26  34  39   0   1| 422M  974M  139M 2204M|3576B 2200B|   0    24k|   0  6.00 |1809  5935 |1.39 1.17 1.10|2.0   0 274|   0     0 |systemd              1     11%   0    0 |bash                 3227 2124k  17k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 13 00:56:16 ubuntu dstat.sh[32750]: 13-03 00:56:16| 28  31  41   0   1| 547M  848M  139M 2326M|5186B 1944B|   0     0 |   0     0 |2118  6020 |1.39 1.17 1.10|1.0   0 172|   0     0 |systemd              1     20%   0    0 |bash                 3227  467k6113B2.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 13 00:56:17 ubuntu dstat.sh[32750]: 13-03 00:56:17| 36  18  46   0   1| 558M  837M  139M 2326M|7528B 2160B|   0     0 |   0     0 |1081  2565 |1.44 1.19 1.10|1.0   0 202|   0     0 |keystone-manage      1719  25%2298k  81k|keystone-manage      1719 2298k  81k 25%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 13 00:56:18 ubuntu dstat.sh[32750]: 13-03 00:56:18| 20   2  48  30   1| 569M  825M  139M 2326M|  21k 1944B| 596k 1156k|39.0  70.0 | 690   752 |1.44 1.19 1.10|  0 1.0   0|   0     0 |keystone-manage      1719  20%3108k   0 |keystone-manage      1719 3108k   0  20%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 13 00:56:19 ubuntu dstat.sh[32750]: 13-03 00:56:19| 40   4  48   8   0| 588M  806M  139M 2327M|5580B 2160B| 468k  332k|53.0  2.00 | 649   801 |1.44 1.19 1.10|1.0   0   0|   0     0 |keystone-manage      1719  42%4607k  46k|keystone-manage      1719 4607k  46k 42%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 13 00:56:20 ubuntu dstat.sh[32750]: 13-03 00:56:20| 45   4  47   3   1| 614M  779M  139M 2328M|3572B 2160B| 660k    0 |48.0     0 | 737   964 |1.44 1.19 1.10|1.0   0 2.0|   0     0 |keystone-manage      1719  46%6272k 517k|keystone-manage      1719 6272k 517k 46%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 13 00:56:21 ubuntu dstat.sh[32750]: 13-03 00:56:21| 25  11  34  28   2| 629M  762M  139M 2329M|5014B 1944B|  96k 1584k|7.00  50.0 |1186  1978 |1.44 1.19 1.10|  0 1.0   0|   0     0 |keystone-manage      1719  17% 995k 136k|keystone-manage      1719  995k 136k 17%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 13 00:56:22 ubuntu dstat.sh[32750]: 13-03 00:56:22|  2   3  46  49   1| 629M  762M  139M 2329M|4512B 2160B|   0  1236k|   0  87.0 | 708  1137 |1.48 1.20 1.11|  0 1.0   0|   0     0 |jbd2/vda1-8          295  0.5%   0    0 |python2              468    14k 464B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 13 00:56:23 ubuntu dstat.sh[32750]: 13-03 00:56:23|  4   1  48  47   0| 630M  761M  139M 2329M|5998B 1944B|   0  1140k|   0  66.0 | 623   977 |1.48 1.20 1.11|  0 1.0   0|   0     0 |mysqld               320291.0%   0    0 |python2              468    14k 453B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 13 00:56:24 ubuntu dstat.sh[32750]: 13-03 00:56:24|  2   2  49  46   2| 630M  761M  139M 2330M|5217B 2160B|   0   784k|   0  52.0 | 476   913 |1.48 1.20 1.11|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              468    14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 13 00:56:25 ubuntu dstat.sh[32750]: 13-03 00:56:25|  3   2  48  48   0| 630M  760M  139M 2330M|4235B 1944B|   0   816k|   0  62.0 | 474   950 |1.48 1.20 1.11|  0 1.0   0|   0     0 |systemd-journal      281341.0%   0    0 |python2              468    14k 444B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 13 00:56:26 ubuntu dstat.sh[32750]: 13-03 00:56:26|  3   2  50  46   1| 630M  759M  139M 2330M|4548B 2160B|   0  1128k|   0  78.0 | 537  1049 |1.48 1.20 1.11|  0 1.0   0|   0     0 |mysqld               320291.0%   0    0 |python2              468    14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 13 00:56:27 ubuntu dstat.sh[32750]: 13-03 00:56:27|  4   2  47  47   0| 631M  759M  139M 2330M|4442B 1944B|   0   628k|   0  54.0 | 524  1009 |1.53 1.21 1.11|  0 1.0   0|   0     0 |mysqld               320292.5%   0    0 |python2              468    14k 445B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 13 00:56:28 ubuntu dstat.sh[32750]: 13-03 00:56:28|  7   7  41  45   0| 631M  758M  140M 2330M|4457B 2160B|   0   588k|   0  59.0 | 598  1162 |1.53 1.21 1.11|  0 1.0   0|   0     0 |mysqld               32029 11%   0    0 |python2              468    14k 445B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 13 00:56:29 ubuntu dstat.sh[32750]: 13-03 00:56:29|  8   5  46  41   0| 632M  758M  140M 2330M|4854B 2160B|   0   652k|   0  68.0 | 644  1223 |1.53 1.21 1.11|  0 2.0   0|   0     0 |mysqld               32029 11%   0    0 |python2              468    14k 453B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 13 00:56:30 ubuntu dstat.sh[32750]: 13-03 00:56:30|  5   7  45  43   1| 632M  757M  140M 2330M|4553B 1944B|   0   372k|   0  35.0 | 521  1032 |1.53 1.21 1.11|  0 2.0 2.0|   0     0 |mysqld               320299.0%   0    0 |python2              468    14k 469B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 13 00:56:31 ubuntu dstat.sh[32750]: 13-03 00:56:31| 11   9  45  36   0| 632M  757M  140M 2330M|5473B 2160B|   0   820k|   0  77.0 | 666  1420 |1.53 1.21 1.11|  0 1.0   0|   0     0 |mysqld               32029 16%   0    0 |python2              468    14k 446B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 13 00:56:32 ubuntu dstat.sh[32750]: 13-03 00:56:32|  7   6  43  44   1| 633M  756M  140M 2330M|4898B 2160B|   0  1012k|   0  90.0 | 702  1298 |1.56 1.23 1.12|  0 1.0   0|   0     0 |mysqld               320299.5%   0    0 |python2              468    14k 464B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 13 00:56:33 ubuntu dstat.sh[32750]: 13-03 00:56:33| 10   8  39  44   1| 633M  756M  140M 2330M|7254B 2052B|   0  1316k|   0   112 | 784  1582 |1.56 1.23 1.12|  0 1.0   0|   0     0 |mysqld               32029 14%   0    0 |python2              468    14k 448B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 13 00:56:34 ubuntu dstat.sh[32750]: 13-03 00:56:34|  2   1  18  79   1| 633M  755M  140M 2330M|  13k 2052B|   0  2360k|   0  69.0 | 472   593 |1.56 1.23 1.12|  0 1.0   0|   0     0 |kworker/u4:1         302  0.5%   0    0 |python2              468    14k 452B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 13 00:56:35 ubuntu dstat.sh[32750]: 13-03 00:56:35|  3   1  48  49   1| 633M  755M  140M 2330M|5619B 2052B|   0   616k|   0  23.0 | 378   764 |1.56 1.23 1.12|  0 1.0   0|   0     0 |python2              468  1.0%  14k 452B|python2              468    14k 452B1.0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 13 00:56:36 ubuntu dstat.sh[32750]: 13-03 00:56:36|  4   4  44  49   0| 633M  755M  140M 2330M|6185B 2268B|   0   612k|   0  56.0 | 505  1138 |1.56 1.23 1.12|  0 1.0   0|   0     0 |mysqld               320294.5%   0    0 |python2              468    14k 463B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 13 00:56:37 ubuntu dstat.sh[32750]: 13-03 00:56:37|  4   2  44  49   1| 634M  755M  140M 2331M|3965B 1944B|   0   520k|   0  43.0 | 489   982 |1.60 1.24 1.12|  0 1.0   0|   0     0 |mysqld               320294.0%   0    0 |python2              468    14k 462B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 13 00:56:38 ubuntu dstat.sh[32750]: 13-03 00:56:38|  7   3  44  45   0| 634M  754M  140M 2331M|5844B 2160B|   0  1012k|   0  68.0 | 610  1715 |1.60 1.24 1.12|1.0 1.0   0|   0     0 |mysqld               320294.0%   0    0 |python2              468    14k 470B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 13 00:56:39 ubuntu dstat.sh[32750]: 13-03 00:56:39|  6   6  43  46   0| 635M  754M  141M 2331M|7510B 2160B|   0  1984k|   0   122 | 646  1371 |1.60 1.24 1.12|  0 2.0   0|   0     0 |mysqld               320296.5%   0    0 |python2              468    14k 447B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
