"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Jan 2020 17:06:58 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-01 17:06:58,9.550,2.834,77.125,9.915,0.577,475836416,413986816,109719552,2891964416,0,0,102233.691,1836349.004,5.710,19.797,559.968,770.843,1.050,1.050,0.990,2,0,12.993,0,0,14,3,0,4,0
10-01 17:06:59,22.330,33.010,37.864,1.456,5.340,474832896,414679040,109735936,2892017664,4275,2646,0,114688,0,7,1359,3802,1.050,1.050,0.990,1,0,366,0,0,14,3,0,4,0
10-01 17:07:00,15.686,26.471,26.471,23.529,7.843,474796032,414363648,109735936,2892369920,4122,2430,0,851968,0,15,1045,2732,1.050,1.050,0.990,0,2,220,0,0,14,3,0,4,0
10-01 17:07:01,15.657,13.636,12.121,57.576,1.010,474767360,414285824,109735936,2892476416,5084,2430,0,1159168,0,75,1527,4200,1.120,1.070,1,1,1,70,0,0,14,3,0,4,0
10-01 17:07:02,6.030,7.035,45.729,39.196,2.010,476082176,412876800,109735936,2892554240,4824,2430,0,364544,0,45,584,909,1.120,1.070,1,2,0,57,0,0,14,3,0,4,0
10-01 17:07:03,20,24.103,38.974,14.359,2.564,475987968,412884992,109735936,2892742656,5328,2646,0,610304,0,11,2028,4971,1.120,1.070,1,1,0,122,0,0,14,3,0,4,0
10-01 17:07:04,16.176,13.235,68.627,0.490,1.471,606203904,282095616,109740032,3020812288,5977,2484,0,90112,0,2,1243,3650,1.120,1.070,1,0,0,45,0,0,16,3,0,4,0
10-01 17:07:05,16.667,25.253,53.535,0,4.545,606982144,281317376,109744128,3020808192,6600,2700,0,0,0,0,1598,3404,1.120,1.070,1,1,0,295,0,0,16,5,0,6,0
10-01 17:07:06,43.500,7.500,48,0.500,0.500,630878208,257110016,109760512,3021062144,5292,2430,8192,0,2,0,673,933,1.110,1.070,1,1,0,3,0,0,16,5,0,6,0
10-01 17:07:07,39.698,4.523,48.241,7.538,0,652648448,235171840,109780992,3021209600,5952,2430,110592,7622656,8,9,572,838,1.110,1.070,1,0,1,0,0,0,16,5,0,6,0
10-01 17:07:08,2.020,1.010,48.485,47.980,0.505,652582912,235208704,109780992,3021238272,6632,2700,0,14680064,0,14,418,822,1.110,1.070,1,0,1,0,0,0,16,5,0,6,0
10-01 17:07:09,1.523,1.523,9.137,87.310,0.508,652673024,235110400,109793280,3021234176,4743,2430,94208,12500992,17,14,405,710,1.110,1.070,1,0,2,0,0,0,16,5,0,6,0
10-01 17:07:10,26.263,4.040,45.455,24.242,0,669372416,217370624,109813760,3022143488,5279,2430,499712,4096,26,1,541,886,1.110,1.070,1,0,1,0,0,0,16,5,0,6,0
10-01 17:07:11,37.186,9.045,39.196,14.070,0.503,684613632,201003008,109912064,3022999552,5259,2700,98304,12288,10,1,818,1345,1.110,1.070,1,0,4,0,0,0,16,7,0,6,0
10-01 17:07:12,10.553,5.025,29.648,54.774,0,694415360,190918656,110018560,3023175680,6267,2700,0,1560576,0,47,700,1207,1.110,1.070,1,0,3,0,0,0,16,7,0,6,0
