"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","26 Feb 2020 21:11:30 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
26-02 21:11:30,15.710,4.419,53.579,24.731,1.561,474378240,621707264,147193856,2656976896,0,0,169064.480,2994012.411,7.676,32.915,726.251,1350.364,1.290,1.110,1.150,2,0,23.225,0,0,14,3,0,4,0
26-02 21:11:31,15.049,34.466,38.835,0.971,10.680,474021888,621576192,147197952,2657312768,6582,2160,303104,106496,4,7,1580,3643,1.290,1.110,1.150,2,0,383,0,0,14,3,0,4,0
26-02 21:11:32,25.888,30.457,39.086,0,4.569,474333184,621199360,147197952,2657386496,4451,2160,0,24576,0,6,1927,4745,1.290,1.110,1.150,2,0,254,0,0,14,3,0,4,0
26-02 21:11:33,23.039,27.941,37.745,2.451,8.824,474853376,620630016,147197952,2657591296,4874,2040,0,16384,0,4,1516,5428,1.420,1.140,1.160,3,0,208,0,0,14,3,0,4,0
26-02 21:11:34,11.616,15.657,63.636,7.071,2.020,605536256,489545728,147197952,2785439744,6188,2148,0,696320,0,64,1285,3901,1.420,1.140,1.160,1,0,47,0,0,16,3,0,4,0
26-02 21:11:35,21.675,27.586,45.813,0,4.926,614977536,480018432,147197952,2785550336,5154,2160,0,61440,0,13,1525,3335,1.420,1.140,1.160,4,0,296,0,0,16,5,0,6,0
26-02 21:11:36,38.308,4.975,46.766,7.463,2.488,633597952,460697600,147197952,2786168832,5658,1944,712704,176128,65,2,833,963,1.420,1.140,1.160,4,0,0,0,0,16,5,0,6,0
26-02 21:11:37,43,3,47.500,4,2.500,654917632,438259712,147197952,2787151872,5136,2160,688128,0,47,0,688,953,1.420,1.140,1.160,5,0,2,0,0,16,5,0,6,0
26-02 21:11:38,42.424,2.525,47.475,7.071,0.505,678813696,413040640,147316736,2788102144,5044,1944,180224,0,13,0,654,844,1.390,1.140,1.160,4,0,0,0,0,16,5,0,6,0
26-02 21:11:39,21,12,16.500,47.500,3,691019776,400347136,147398656,2788470784,5426,2160,0,1490944,0,30,743,1780,1.390,1.140,1.160,1,1,0,0,0,16,7,0,6,0
26-02 21:11:40,2.525,2.525,46.465,47.475,1.010,692469760,398667776,147488768,2788610048,5073,2160,0,696320,0,51,663,1170,1.390,1.140,1.160,0,1,0,0,0,16,7,0,6,0
26-02 21:11:41,2.513,1.005,46.734,49.246,0.503,692453376,398385152,147595264,2788802560,5604,2052,0,819200,0,54,600,1146,1.390,1.140,1.160,2,1,0,0,0,16,7,0,6,0
26-02 21:11:42,3.015,1.005,49.246,45.729,1.005,692862976,397500416,147718144,2789126144,4877,2052,0,950272,0,67,627,1175,1.390,1.140,1.160,1,1,0,0,0,16,7,0,6,0
26-02 21:11:43,3.553,1.523,48.223,45.685,1.015,693182464,396836864,147857408,2789330944,5503,2160,0,1294336,0,92,698,1334,1.440,1.160,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:44,2.030,1.015,49.746,46.701,0.508,693456896,396173312,147980288,2789568512,5511,2160,16384,1245184,1,70,607,1175,1.440,1.160,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:45,6.030,5.025,44.221,43.719,1.005,694169600,394985472,148201472,2789822464,6258,2254,0,1478656,0,123,821,1705,1.440,1.160,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:46,11.558,10.553,38.191,38.693,1.005,695087104,393744384,148406272,2789937152,4471,2160,0,1224704,0,128,1001,1801,1.440,1.160,1.170,2,1,0,0,0,16,7,0,6,0
26-02 21:11:47,7.538,9.548,41.709,40.201,1.005,695365632,393207808,148533248,2790068224,7171,2160,0,909312,0,80,777,1400,1.440,1.160,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:48,14.573,16.583,31.156,37.688,0,696061952,392339456,148688896,2790076416,6508,2160,0,1228800,0,103,791,1514,1.480,1.170,1.170,2,0,2,0,0,16,7,0,6,0
26-02 21:11:49,14.070,13.065,32.161,40.201,0.503,696295424,392024064,148815872,2790031360,4636,1944,0,1212416,0,105,810,1495,1.480,1.170,1.170,3,1,0,0,0,16,7,0,6,0
26-02 21:11:50,2.564,1.538,33.333,62.564,0,696717312,391483392,148922368,2790039552,4200,2160,0,3264512,0,107,572,1099,1.480,1.170,1.170,1,2,0,0,0,16,7,0,6,0
26-02 21:11:51,5.556,2.020,42.424,50,0,697073664,391008256,149037056,2790043648,6663,2160,0,897024,0,67,616,1430,1.480,1.170,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:52,5.500,4.500,46,43.500,0.500,697610240,390246400,149118976,2790187008,5266,2160,0,835584,0,56,663,1473,1.480,1.170,1.170,1,1,0,0,0,16,7,0,6,0
26-02 21:11:53,7.576,5.051,39.899,46.970,0.505,697688064,390012928,149225472,2790215680,9691,2160,0,987136,0,62,687,1362,1.530,1.180,1.180,1,1,0,0,0,16,7,0,6,0
26-02 21:11:54,7.653,4.082,41.327,46.429,0.510,698220544,389152768,149446656,2790318080,7710,1944,0,1449984,0,108,724,2056,1.530,1.180,1.180,1,1,0,0,0,16,7,0,6,0
26-02 21:11:55,3.483,4.478,22.886,65.672,3.483,699682816,318963712,149475328,2857504768,6823,2160,0,67493888,0,89,469,916,1.530,1.180,1.180,1,1,0,0,0,16,7,0,5,0
26-02 21:11:56,4.926,4.433,43.842,40.394,6.404,699924480,318156800,149643264,2857877504,5531,2160,0,1679360,0,114,748,1385,1.530,1.180,1.180,1,1,0,0,0,16,7,0,5,0
26-02 21:11:57,5.941,6.436,47.030,38.119,2.475,700280832,317534208,149737472,2858020864,7786,1944,0,1105920,0,82,765,1257,1.530,1.180,1.180,2,1,0,0,0,16,7,0,5,0
26-02 21:11:58,4.061,4.061,44.670,45.685,1.523,700719104,316743680,149897216,2858201088,4737,2160,0,1257472,0,110,849,1715,1.560,1.200,1.180,2,1,2,0,0,16,7,0,5,0
26-02 21:11:59,3.046,2.538,45.685,46.193,2.538,700854272,316456960,149950464,2858295296,4014,2160,0,643072,0,40,598,1097,1.560,1.200,1.180,1,2,0,0,0,16,7,0,5,0
26-02 21:12:00,6.030,3.518,44.724,43.719,2.010,701255680,315719680,150081536,2858487808,6878,2160,0,1429504,0,90,846,1556,1.560,1.200,1.180,1,1,0,0,0,16,7,0,5,0
26-02 21:12:01,2.020,1.010,20.202,75.758,1.010,701476864,315490304,150085632,2858487808,6226,1944,0,2560000,0,107,515,781,1.560,1.200,1.180,1,2,0,0,0,16,7,0,5,0
26-02 21:12:02,5,3,31.500,57.500,3,701452288,315338752,150237184,2858508288,5220,2160,0,1691648,0,132,663,1474,1.560,1.200,1.180,1,1,0,0,0,16,7,0,5,0
26-02 21:12:03,11.168,10.152,39.086,37.563,2.030,701427712,315174912,150368256,2858541056,6291,1944,0,1196032,0,103,659,1675,1.600,1.210,1.190,0,2,0,0,0,16,7,0,5,0
