"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","26 Feb 2020 19:08:27 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
26-02 19:08:27,0.516,0.189,98.242,0.908,0.146,479858688,663511040,141422592,2606645248,0,0,4836.069,85043.822,0.283,1.029,76.836,80.106,1.150,1.090,1.040,2,0,0.792,0,0,14,3,0,4,0
26-02 19:08:28,18.841,36.715,32.850,3.865,7.729,476098560,666726400,141422592,2607009792,3425,1944,315392,14032896,4,21,1340,3401,1.150,1.090,1.040,4,0,367,0,0,14,3,0,4,0
26-02 19:08:29,13.659,32.195,32.195,11.707,10.244,476401664,666148864,141422592,2607230976,4671,2160,53248,20746240,1,27,1089,2384,1.150,1.090,1.040,2,0,251,0,0,14,3,0,4,0
26-02 19:08:30,21.463,29.756,34.634,0,14.146,476250112,666296320,141422592,2607251456,5584,2160,0,16384,0,4,1304,3907,1.140,1.080,1.040,1,0,180,0,0,14,3,0,4,0
26-02 19:08:31,28.155,21.845,31.068,0,18.932,477446144,665063424,141422592,2607448064,4755,1944,0,4096,0,1,1427,4394,1.140,1.080,1.040,1,0,97,0,0,14,3,0,4,0
26-02 19:08:32,14.778,24.631,51.724,0,8.867,607649792,534519808,141422592,2735308800,4628,2160,0,0,0,0,1525,4409,1.140,1.080,1.040,1,0,197,0,0,16,5,0,4,0
26-02 19:08:33,30.288,17.308,40.865,2.404,9.135,619036672,523042816,141422592,2735398912,3524,1932,0,131072,0,2,944,1913,1.140,1.080,1.040,1,0,118,0,0,16,5,0,7,0
26-02 19:08:34,30.986,5.164,44.131,12.207,7.512,640835584,500248576,141422592,2736283648,4151,2160,815104,0,71,0,573,877,1.140,1.080,1.040,1,0,0,0,0,16,5,0,7,0
26-02 19:08:35,45.500,4.500,46,1,3,663605248,476536832,141422592,2737090560,5434,2214,585728,0,41,0,558,767,1.120,1.080,1.040,1,0,0,0,0,16,5,0,7,0
26-02 19:08:36,40.594,13.366,36.634,7.921,1.485,691179520,447557632,141533184,2738192384,4260,2160,180224,1359872,13,28,1011,1681,1.120,1.080,1.040,4,0,0,0,0,16,7,0,7,0
26-02 19:08:37,8.122,3.553,45.178,41.117,2.030,693895168,444227584,141721600,2738593792,4166,2202,0,1552384,0,104,850,1355,1.120,1.080,1.040,1,0,0,0,0,16,7,0,7,0
26-02 19:08:38,2.513,2.513,47.739,46.231,1.005,694235136,443437056,141881344,2738880512,7193,1944,0,1290240,0,90,734,1156,1.120,1.080,1.040,0,1,0,0,0,16,7,0,7,0
26-02 19:08:39,4,1,49.500,45.500,0,694722560,442408960,142008320,2739277824,4980,2160,0,1155072,0,81,637,1104,1.120,1.080,1.040,0,1,0,0,0,16,7,0,7,0
26-02 19:08:40,3.015,1.508,46.231,48.744,0.503,694915072,441999360,142110720,2739392512,5894,2160,0,798720,0,59,477,981,1.190,1.100,1.040,0,1,0,0,0,16,7,0,7,0
26-02 19:08:41,2.956,1.970,42.365,50.246,2.463,695291904,441368576,142213120,2739519488,4902,2160,0,815104,0,54,494,961,1.190,1.100,1.040,0,1,0,0,0,16,7,0,7,0
26-02 19:08:42,6.186,5.670,44.330,43.814,0,695558144,440823808,142336000,2739666944,4533,2160,0,827392,0,80,688,1297,1.190,1.100,1.040,0,1,0,0,0,16,7,0,7,0
26-02 19:08:43,8.040,8.040,43.719,38.693,1.508,696410112,439746560,142467072,2739757056,4661,2160,0,909312,0,90,842,1597,1.190,1.100,1.040,0,1,2,0,0,16,7,0,7,0
26-02 19:08:44,5.970,4.975,42.289,44.279,2.488,696700928,439394304,142503936,2739781632,7275,2160,0,2928640,0,98,632,936,1.190,1.100,1.040,1,1,0,0,0,16,7,0,7,0
