"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Feb 2020 16:09:58 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-02 16:09:58,0.713,0.266,97.541,1.279,0.200,472743936,623046656,141770752,2654949376,0,0,6856.105,119453.290,0.401,1.418,84.189,92.397,1.560,1.550,1.390,3,1,1.125,0,0,14,3,0,4,0
27-02 16:09:59,7.921,16.337,0.495,71.782,3.465,472973312,622522368,141774848,2655031296,5879,2106,0,21315584,0,46,875,1629,1.560,1.550,1.390,0,3,130,0,0,14,3,0,4,0
27-02 16:10:00,8.586,15.657,11.616,63.131,1.010,473083904,622260224,141787136,2655170560,4392,2160,57344,12324864,1,19,693,1297,1.840,1.610,1.410,1,2,123,0,0,14,3,0,4,0
27-02 16:10:01,12.376,19.802,38.614,27.228,1.980,480669696,614506496,141787136,2655494144,4729,2160,180224,20480,3,5,1185,2550,1.840,1.610,1.410,24,0,153,0,0,14,3,0,4,0
27-02 16:10:02,25.871,35.821,36.318,0,1.990,475234304,619855872,141787136,2655526912,4463,1944,0,16384,0,4,1764,3644,1.840,1.610,1.410,2,0,215,0,0,14,3,0,4,0
27-02 16:10:03,25.962,19.712,45.192,0,9.135,605417472,489193472,141787136,2783490048,4570,2160,0,0,0,0,1652,4811,1.840,1.610,1.410,1,0,83,0,0,16,5,0,4,0
27-02 16:10:04,14.352,26.389,38.889,0,20.370,607756288,486776832,141791232,2783526912,5016,2160,0,0,0,0,1195,2733,1.840,1.610,1.410,1,0,264,0,0,16,5,0,6,0
27-02 16:10:05,34.328,5.473,35.821,21.891,2.488,626696192,467603456,141795328,2783723520,6707,1944,110592,196608,2,2,519,754,1.770,1.600,1.410,0,1,1,0,0,16,5,0,6,0
27-02 16:10:06,4.478,2.985,46.766,43.781,1.990,627634176,466145280,141795328,2784219136,4101,2202,499712,0,37,0,445,787,1.770,1.600,1.410,1,0,0,0,0,16,5,0,6,0
27-02 16:10:07,28.713,2.475,46.535,19.307,2.970,647303168,445952000,141795328,2784665600,5686,1944,389120,0,41,0,523,878,1.770,1.600,1.410,1,0,2,0,0,16,5,0,6,0
27-02 16:10:08,25.888,2.538,46.701,23.350,1.523,653164544,439320576,141795328,2785337344,3919,2160,585728,0,41,0,550,847,1.770,1.600,1.410,1,0,0,0,0,16,5,0,6,0
27-02 16:10:09,34.314,5.882,46.078,10.294,3.431,675700736,415481856,141864960,2786344960,5020,2202,155648,0,11,0,644,839,1.770,1.600,1.410,0,1,0,0,0,16,5,0,6,0
27-02 16:10:10,23.153,13.300,24.631,21.182,17.734,689963008,400609280,141910016,2786840576,4164,1944,24576,4300800,2,73,856,1453,1.790,1.610,1.410,0,1,0,0,0,16,7,0,6,0
27-02 16:10:11,3.483,2.985,44.279,43.781,5.473,691519488,398913536,141971456,2786918400,6776,2160,0,753664,0,49,608,961,1.790,1.610,1.410,0,1,0,0,0,16,7,0,6,0
