"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","24 Dec 2019 01:19:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
24-12 01:19:36,1.892,0.615,94.196,3.017,0.280,473288704,520261632,109252608,2793869312,0,0,17537.134,305365.474,1.035,3.843,128.980,177.317,1.850,1.430,1.210,2,1,2.900,0,0,14,3,0,4,0
24-12 01:19:37,15.500,39.500,34.500,7,3.500,473518080,518860800,109268992,2794905600,4995,2430,897024,102400,10,8,1580,3500,1.850,1.430,1.210,1,0,357,0,0,14,3,0,4,0
24-12 01:19:38,26.263,35.354,37.879,0,0.505,473444352,518615040,109268992,2795298816,4767,2700,0,20480,0,5,2323,5992,1.850,1.430,1.210,1,0,248,0,0,14,3,0,4,0
24-12 01:19:39,26.263,36.364,35.354,0,2.020,475070464,516870144,109268992,2795446272,8176,2700,0,16384,0,4,2233,5393,1.850,1.430,1.210,2,0,202,0,0,14,3,0,4,0
24-12 01:19:40,9.137,11.168,79.188,0,0.508,604745728,386682880,109268992,2923483136,6622,2700,45056,0,1,0,1541,3865,1.710,1.410,1.200,0,0,20,0,0,16,3,0,4,0
24-12 01:19:41,17.436,27.692,45.641,8.718,0.513,605241344,386166784,109273088,2923499520,4865,2700,0,26476544,0,25,1508,3360,1.710,1.410,1.200,1,0,294,0,0,16,5,0,6,0
24-12 01:19:42,37.186,6.030,29.146,27.638,0,627130368,363974656,109314048,2923753472,5405,2430,180224,7786496,11,10,743,1019,1.710,1.410,1.200,0,1,1,0,0,16,5,0,6,0
24-12 01:19:43,6.030,1.508,46.231,45.729,0.503,628367360,362168320,109371392,2924261376,5240,2700,516096,0,49,0,556,853,1.710,1.410,1.200,0,2,0,0,0,16,5,0,6,0
24-12 01:19:44,10.448,0.995,45.771,42.289,0.498,631635968,358514688,109543424,2924474368,5092,2700,303104,0,44,0,557,900,1.710,1.410,1.200,0,1,0,0,0,16,5,0,6,0
24-12 01:19:45,14.141,3.030,47.980,33.838,1.010,641773568,347947008,109580288,2924785664,5457,2700,385024,0,55,0,555,808,1.650,1.400,1.200,2,0,0,0,0,16,5,0,6,0
24-12 01:19:46,28,3,48,21,0,652054528,337182720,109588480,2925182976,4882,2430,401408,20480,29,2,622,803,1.650,1.400,1.200,1,0,0,0,0,16,5,0,6,0
24-12 01:19:47,24,3.500,34.500,37.500,0.500,667123712,321282048,109600768,2925862912,4854,2700,274432,528384,25,3,587,843,1.650,1.400,1.200,0,1,0,0,0,16,5,0,6,0
24-12 01:19:48,27.778,5.556,47.475,17.677,1.515,679784448,307458048,109633536,2926784512,4868,2700,450560,0,20,0,718,1229,1.650,1.400,1.200,3,0,2,0,0,16,5,0,6,0
24-12 01:19:49,15.578,9.045,35.176,36.683,3.518,683569152,303345664,109662208,2927054848,6930,2430,0,1236992,0,24,575,1316,1.650,1.400,1.200,1,0,0,0,0,16,7,0,6,0
24-12 01:19:50,10.553,2.513,44.221,41.206,1.508,692965376,293724160,109711360,2927230976,6291,2700,0,315392,0,16,506,1205,1.600,1.390,1.200,0,1,0,0,0,16,7,0,6,0
24-12 01:19:51,3.015,1.508,31.156,61.307,3.015,693891072,292720640,109764608,2927251456,4418,2430,0,1658880,0,36,420,846,1.600,1.390,1.200,0,2,0,0,0,16,7,0,6,0
24-12 01:19:52,2.538,1.523,34.010,59.898,2.030,693321728,293175296,109801472,2927321088,5972,2742,0,1769472,0,41,438,906,1.600,1.390,1.200,0,1,0,0,0,16,7,0,6,0
24-12 01:19:53,1.523,2.030,42.132,51.269,3.046,693551104,292741120,109887488,2927415296,7539,2430,0,667648,0,43,508,893,1.600,1.390,1.200,0,1,0,0,0,16,7,0,6,0
24-12 01:19:54,2.970,2.970,46.040,44.554,3.465,693563392,292450304,109993984,2927575040,7282,2700,0,622592,0,43,546,870,1.600,1.390,1.200,0,1,0,0,0,16,7,0,6,0
24-12 01:19:55,2.500,2.500,44.500,46,4.500,693837824,291778560,110129152,2927837184,7478,2430,0,770048,0,58,590,940,1.710,1.420,1.210,0,1,0,0,0,16,7,0,6,0
24-12 01:19:56,2,1,48.500,44.500,4,694181888,291241984,110243840,2927910912,5025,2430,0,1527808,0,58,557,891,1.710,1.420,1.210,0,1,0,0,0,16,7,0,6,0
24-12 01:19:57,3.500,1.500,46.500,44,4.500,694435840,290795520,110354432,2927992832,7974,2700,0,688128,0,48,596,941,1.710,1.420,1.210,0,1,0,0,0,16,7,0,6,0
24-12 01:19:58,3.431,3.922,45.588,42.647,4.412,694468608,290353152,110444544,2928279552,5913,2430,0,647168,0,44,590,962,1.710,1.420,1.210,0,1,2,0,0,16,7,0,6,0
