-- Logs begin at Tue 2020-03-31 09:01:30 UTC, end at Tue 2020-03-31 10:42:16 UTC. --
Mar 31 09:48:28 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 09:48:29 ubuntu dstat.sh[2540]: [286B blob data]
Mar 31 09:48:29 ubuntu dstat.sh[2540]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 09:48:29 ubuntu dstat.sh[2540]: 31-03 09:48:29| 15   4  53  25   2| 419M  583M 84.8M 2645M|   0     0 | 233k 3343k|11.3  33.4 | 699  1220 |1.15 1.17 1.19|1.0   0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 3987 2247k2079k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 31 09:48:30 ubuntu dstat.sh[2540]: 31-03 09:48:30| 26  36  37   1   2| 421M  581M 84.8M 2645M|3398B 2160B|   0   108k|   0  13.0 |1681  4615 |1.14 1.17 1.19|1.0   0 340|   0     0 |bash                 3987 4.0%2543k  20k|bash                 3987 2543k  20k4.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 31 09:48:31 ubuntu dstat.sh[2540]: 31-03 09:48:31| 29  31  39   0   2| 420M  583M 84.8M 2645M|6211B 1944B|   0    16k|   0  4.00 |1611  4443 |1.14 1.17 1.19|1.0   0 213|   0     0 |systemd              1     17%   0    0 |bash                 3987 1534k  13k3.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 31 09:48:32 ubuntu dstat.sh[2540]: 31-03 09:48:32| 20  24  53   0   2| 545M  457M 84.8M 2767M|5978B 2160B|   0     0 |   0     0 |1857  4358 |1.14 1.17 1.19|3.0   0 192|   0     0 |systemd              1    9.5%   0    0 |bash                 3987  412k8181B3.0%|mysqld       173M|   0     0 |  15    5    0    6    0
Mar 31 09:48:33 ubuntu dstat.sh[2540]: 31-03 09:48:33| 35  18  46   0   2| 562M  440M 84.8M 2767M|3927B 1944B|   0     0 |   0     0 |1025  2130 |1.14 1.17 1.19|1.0   0 151|   0     0 |keystone-manage      3941  30%4130k  81k|keystone-manage      3941 4130k  81k 30%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 31 09:48:34 ubuntu dstat.sh[2540]: 31-03 09:48:34| 31   2  48  19   0| 581M  419M 85.5M 2768M|5172B 2160B|1876k    0 | 270     0 | 764  1412 |1.14 1.17 1.19|1.0   0   0|   0     0 |keystone-manage      3941  30%4267k  46k|keystone-manage      3941 4267k  46k 30%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 31 09:48:35 ubuntu dstat.sh[2540]: 31-03 09:48:35| 43   5  45   6   0| 601M  398M 85.5M 2769M|4380B 2160B| 656k  592k|49.0  3.00 | 668   886 |1.13 1.17 1.19|1.0   0   0|   0     0 |keystone-manage      3941  45%5509k 174k|keystone-manage      3941 5509k 174k 45%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 31 09:48:36 ubuntu dstat.sh[2540]: 31-03 09:48:36| 38  12  32  17   1| 623M  375M 85.6M 2770M|4154B 1944B| 144k 1192k|14.0  27.0 | 873  1546 |1.13 1.17 1.19|2.0   0   0|   0     0 |keystone-manage      3941  32%2683k 441k|keystone-manage      3941 2683k 441k 32%|mysqld       184M|   0     0 |  15    7    0    7    0
Mar 31 09:48:37 ubuntu dstat.sh[2540]: 31-03 09:48:37|  7   5  46  41   2| 625M  372M 85.8M 2770M|4854B 2160B|   0  1120k|   0  76.0 | 798  1373 |1.13 1.17 1.19|  0 1.0   0|   0     0 |keystone-manage      3941 3.5%  36k  40k|keystone-manage      3941   36k  40k3.5%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 31 09:48:38 ubuntu dstat.sh[2540]: 31-03 09:48:38|  3   2  49  46   1| 626M  371M 86.0M 2771M|4797B 2202B|   0  1244k|   0  91.0 | 817  1265 |1.13 1.17 1.19|  0 1.0 2.0|   0     0 |mysqld               1820 1.0%   0    0 |python2              2902   14k 475B0.5%|mysqld       186M|   0     0 |  15    7    0    7    0
