"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 07:35:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 07:35:47,17.037,4.851,56.272,20.340,1.500,441884672,772329472,92188672,2615615488,0,0,191736.656,3231011.443,10.564,37.375,777.184,1407.874,1.410,1.310,1.250,2,0,27.122,0,0,14,3,0,5,0
31-03 07:35:48,15.347,30.198,41.089,4.455,8.911,440487936,773132288,92196864,2615906304,4126,1944,233472,11907072,3,17,1594,3613,1.410,1.310,1.250,1,1,356,0,0,14,3,0,5,0
31-03 07:35:49,10,16,44,27.500,2.500,439889920,773701632,92196864,2615934976,4203,1836,0,22786048,0,27,680,1645,1.380,1.300,1.250,2,0,161,0,0,14,3,0,5,0
31-03 07:35:50,24.510,29.412,37.255,0,8.824,439894016,773627904,92196864,2615959552,3819,1836,0,24576,0,6,1409,5059,1.380,1.300,1.250,2,0,241,0,0,14,3,0,5,0
31-03 07:35:51,24.390,24.878,40,0,10.732,572047360,641048576,92196864,2744012800,3642,1944,0,0,0,0,1606,6789,1.380,1.300,1.250,1,0,98,0,0,16,3,0,5,0
31-03 07:35:52,4.478,7.463,84.577,0,3.483,572227584,640868352,92196864,2744012800,4402,1944,0,0,0,0,602,1393,1.380,1.300,1.250,3,0,72,0,0,16,5,0,5,0
31-03 07:35:53,28.780,19.512,37.561,8.780,5.366,583823360,629194752,92205056,2744049664,4195,1890,0,774144,0,31,1188,2586,1.380,1.300,1.250,3,0,225,0,0,16,5,0,7,0
31-03 07:35:54,24.631,5.419,45.320,19.212,5.419,597876736,613613568,92733440,2745049088,10454,1782,1482752,1753088,205,75,964,1317,1.430,1.310,1.250,2,0,0,0,0,16,5,0,7,0
31-03 07:35:55,43.350,3.448,45.320,5.419,2.463,620302336,589803520,92905472,2746261504,6064,2160,1101824,0,110,0,737,937,1.430,1.310,1.250,2,0,0,0,0,16,5,0,7,0
31-03 07:35:56,47.783,6.897,40.394,2.463,2.463,645050368,563965952,92962816,2747240448,5545,1728,270336,0,17,0,598,1182,1.430,1.310,1.250,4,0,0,0,0,16,7,0,7,0
