-- Logs begin at Thu 2020-04-02 06:20:40 UTC, end at Thu 2020-04-02 07:48:41 UTC. --
Apr 02 07:01:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 07:01:18 ubuntu dstat.sh[1972]: [286B blob data]
Apr 02 07:01:18 ubuntu dstat.sh[1972]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 07:01:18 ubuntu dstat.sh[1972]: 02-04 07:01:18| 17   5  54  23   2| 422M  719M 85.8M 2504M|   0     0 | 198k 2460k|12.5  35.4 | 818  1438 |1.32 1.28 1.23|2.0   0  27|   0     0 |systemd              1    0.5%   0    0 |bash                 4502 2538k2360k0.2%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:01:19 ubuntu dstat.sh[1972]: 02-04 07:01:19| 18  35  38   1   8| 422M  719M 85.8M 2504M|4240B 1944B| 240k  104k|3.00  9.00 |1457  3817 |1.32 1.28 1.23|1.0   0 420|   0     0 |bash                 4502 7.0%1634k  27k|bash                 4502 1634k  27k7.0%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:01:20 ubuntu dstat.sh[1972]: 02-04 07:01:20| 28  32  39   0   1| 422M  719M 85.8M 2505M|3225B 1728B|   0    24k|   0  6.00 |1462  4901 |1.32 1.28 1.23|1.0   0 293|   0     0 |systemd              1    9.0%   0    0 |bash                 4502 2329k  19k3.5%|mysqld       173M|   0     0 |  14    3    0    5    0
Apr 02 07:01:21 ubuntu dstat.sh[1972]: 02-04 07:01:21| 32  27  40   0   1| 547M  593M 85.8M 2627M|4298B 2160B|   0  8192B|   0  2.00 |1864  8241 |1.78 1.38 1.26|2.0   0 137|   0     0 |systemd              1     20%   0    0 |bash                 4502  571k4342B0.5%|mysqld       173M|   0     0 |  16    3    0    6    0
Apr 02 07:01:22 ubuntu dstat.sh[1972]: 02-04 07:01:22| 26  25  46   3   2| 559M  582M 85.8M 2627M|4286B 1944B|   0    30M|   0  31.0 |1373  3204 |1.78 1.38 1.26|1.0   0 295|   0     0 |keystone-manage      3370  14%2165k  81k|keystone-manage      3370 2165k  81k 14%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:01:23 ubuntu dstat.sh[1972]: 02-04 07:01:23| 35   3  47  14   2| 574M  565M 86.2M 2628M|3158B 1890B|1452k 3032k| 190  3.00 | 692  1185 |1.78 1.38 1.26|1.0   0   0|   0     0 |keystone-manage      3370  37%4294k   0 |keystone-manage      3370 4294k   0  37%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:01:24 ubuntu dstat.sh[1972]: 02-04 07:01:24| 43   3  45   7   2| 592M  546M 86.2M 2629M|5095B 1782B| 736k  468k|56.0  2.00 | 581   800 |1.78 1.38 1.26|1.0   0   0|   0     0 |keystone-manage      3370  44%4385k  46k|keystone-manage      3370 4385k  46k 44%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:01:25 ubuntu dstat.sh[1972]: 02-04 07:01:25| 42   5  47   5   1| 612M  525M 86.3M 2630M|5913B 1944B| 192k    0 |17.0     0 | 635   788 |1.78 1.38 1.26|  0 1.0   0|   0     0 |keystone-manage      3370  44%5299k 519k|keystone-manage      3370 5299k 519k 44%|mysqld       173M|   0     0 |  16    5    0    7    0
Apr 02 07:01:26 ubuntu dstat.sh[1972]: 02-04 07:01:26| 25  11  30  32   2| 627M  510M 86.4M 2630M|4436B 1944B|  24k 1812k|2.00  59.0 | 866  1896 |1.80 1.39 1.26|  0 1.0   0|   0     0 |keystone-manage      3370  15% 478k 136k|keystone-manage      3370  478k 136k 15%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 02 07:01:27 ubuntu dstat.sh[1972]: 02-04 07:01:27|  3   2  48  46   2| 627M  508M 86.7M 2630M|3827B 1944B|   0  2392k|   0   119 | 788  1294 |1.80 1.39 1.26|  0 1.0   0|   0     0 |mysqld               1239 1.0%   0    0 |python2              2072   14k 464B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 02 07:01:28 ubuntu dstat.sh[1972]: 02-04 07:01:28|  3   2  47  45   3| 628M  507M 86.9M 2631M|4848B 1944B|   0  1428k|   0   104 | 852  1272 |1.80 1.39 1.26|  0 1.0 1.0|   0     0 |mysqld               1239 1.5%   0    0 |python2              2072   14k 470B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 02 07:01:29 ubuntu dstat.sh[1972]: 02-04 07:01:29|  3   2  49  42   5| 628M  506M 87.3M 2631M|4278B 1944B|   0  2020k|   0   154 | 789  1591 |1.80 1.39 1.26|1.0 1.0   0|   0     0 |mysqld               1239 5.0%   0    0 |python2              2072   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 02 07:01:30 ubuntu dstat.sh[1972]: 02-04 07:01:30| 11  11  37  34   6| 630M  504M 87.7M 2631M|6489B 1986B|   0  1376k|   0   149 |1115  2418 |1.80 1.39 1.26|1.0 1.0 2.0|   0     0 |mysqld               1239  20%   0    0 |python2              2072   14k 479B0.5%|mysqld       188M|   0     0 |  16    7    0    7    0
