"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","29 Mar 2020 21:51:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-03 21:51:14,14.983,4.369,52.169,27.012,1.467,443109376,607371264,90497024,2772668416,0,0,237146.632,3422789.187,11.154,33.533,763.213,1419.059,0.980,1.160,1.240,3,0,23.751,0,0,13,3,0,5,0
29-03 21:51:15,21.212,34.848,34.848,4.545,4.545,444366848,605732864,90505216,2772774912,5927,2160,0,126976,0,9,1432,3826,0.980,1.160,1.240,2,0,425,0,0,13,3,0,5,0
29-03 21:51:16,24.038,29.808,37.019,0,9.135,444289024,605704192,90505216,2772918272,4070,1944,0,20480,0,5,1601,5312,0.980,1.150,1.240,2,0,240,0,0,13,3,0,5,0
29-03 21:51:17,28,28.500,38,0,5.500,444555264,605396992,90505216,2773061632,3953,2160,0,12288,0,3,1254,5535,0.980,1.150,1.240,1,0,183,0,0,13,3,0,5,0
29-03 21:51:18,18.182,30.303,48.485,0,3.030,574312448,475160576,90509312,2901004288,3369,1944,0,0,0,0,1626,3990,0.980,1.150,1.240,1,0,287,0,0,15,5,0,7,0
29-03 21:51:19,37.624,7.426,47.030,5.446,2.475,598040576,450318336,90738688,2901880832,4085,2160,929792,0,105,0,772,1241,0.980,1.150,1.240,1,0,28,0,0,15,5,0,7,0
29-03 21:51:20,31.343,4.975,43.284,18.408,1.990,617541632,429846528,91222016,2902364160,4115,2160,1011712,413696,167,2,822,1259,0.980,1.150,1.240,1,0,2,0,0,15,5,0,7,0
29-03 21:51:21,44.724,3.015,47.236,4.020,1.005,635912192,410357760,91234304,2903449600,5019,1944,684032,0,50,0,698,867,0.990,1.150,1.240,1,0,0,0,0,15,5,0,7,0
29-03 21:51:22,33.333,12.935,31.343,20.398,1.990,657293312,387751936,91340800,2904485888,4190,2160,110592,1613824,10,39,1002,1835,0.990,1.150,1.240,0,1,0,0,0,15,7,0,7,0
29-03 21:51:23,3.500,2.500,48,43.500,2.500,657502208,386961408,91602944,2904801280,6012,1944,0,1564672,0,109,637,1297,0.990,1.150,1.240,0,1,0,0,0,15,7,0,7,0
