-- Logs begin at Sun 2020-03-29 21:04:01 UTC, end at Sun 2020-03-29 22:45:27 UTC. --
Mar 29 21:51:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 29 21:51:14 ubuntu dstat.sh[2587]: [286B blob data]
Mar 29 21:51:14 ubuntu dstat.sh[2587]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 29 21:51:14 ubuntu dstat.sh[2587]: 29-03 21:51:14| 15   4  52  27   1| 422M  580M 86.3M 2644M|   0     0 | 232k 3343k|11.2  33.5 | 763  1419 |0.98 1.16 1.24|2.0   0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 4070 2234k2068k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 29 21:51:15 ubuntu dstat.sh[2587]: 29-03 21:51:15| 21  34  36   5   5| 423M  579M 86.3M 2644M|5927B 2160B|   0   124k|   0  9.00 |1453  3845 |0.98 1.16 1.24|3.0   0 425|   0     0 |bash                 4070 7.0%1642k  27k|bash                 4070 1642k  27k7.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 29 21:51:16 ubuntu dstat.sh[2587]: 29-03 21:51:16| 24  30  37   0   9| 422M  579M 86.3M 2644M|4366B 2160B|   0    20k|   0  5.00 |1596  5307 |0.98 1.15 1.24|1.0   0 238|   0     0 |systemd              1     11%   0    0 |bash                 4070 1720k  14k3.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 29 21:51:17 ubuntu dstat.sh[2587]: 29-03 21:51:17| 29  28  38   0   5| 424M  577M 86.3M 2644M|3657B 1944B|   0    12k|   0  3.00 |1247  5610 |0.98 1.15 1.24|1.0   0 170|   0     0 |systemd              1     19%   0    0 |bash                 4070 1065k8300B2.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 29 21:51:18 ubuntu dstat.sh[2587]: 29-03 21:51:18| 18  30  49   0   4| 548M  453M 86.3M 2767M|3665B 2160B|   0     0 |   0     0 |1643  3904 |0.98 1.15 1.24|1.0   0 299|   0     0 |bash                 4070 5.0% 698k  18k|bash                 4070  698k  18k5.0%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 29 21:51:19 ubuntu dstat.sh[2587]: 29-03 21:51:19| 38   7  47   5   2| 572M  428M 86.5M 2767M|3789B 1944B| 908k    0 | 105     0 | 733  1141 |0.98 1.15 1.24|1.0   0  16|   0     0 |keystone-manage      3984  42%5802k  81k|keystone-manage      3984 5802k  81k 42%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 29 21:51:20 ubuntu dstat.sh[2587]: 29-03 21:51:20| 32   4  43  18   2| 589M  410M 87.0M 2768M|4115B 2160B| 988k  404k| 167  2.00 | 819  1239 |0.98 1.15 1.24|1.0   0 2.0|   0     0 |keystone-manage      3984  33%4037k  46k|keystone-manage      3984 4037k  46k 33%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 29 21:51:21 ubuntu dstat.sh[2587]: 29-03 21:51:21| 44   4  47   4   1| 608M  390M 87.0M 2769M|5315B 2160B| 668k    0 |50.0     0 | 703   882 |0.99 1.15 1.24|1.0   0   0|   0     0 |keystone-manage      3984  45%5328k 245k|keystone-manage      3984 5328k 245k 45%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 29 21:51:22 ubuntu dstat.sh[2587]: 29-03 21:51:22| 32  12  31  22   2| 627M  370M 87.1M 2770M|3894B 1944B| 108k 1676k|10.0  41.0 | 992  1831 |0.99 1.15 1.24|  0 1.0   0|   0     0 |keystone-manage      3984  24%1459k 410k|keystone-manage      3984 1459k 410k 24%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 29 21:51:23 ubuntu dstat.sh[2587]: 29-03 21:51:23|  4   3  48  44   3| 627M  369M 87.4M 2770M|6308B 2160B|   0  1508k|   0   111 | 655  1335 |0.99 1.15 1.24|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2687   14k 460B0.5%|mysqld       186M|   0     0 |  15    7    0    7    0
