-- Logs begin at Thu 2020-03-12 08:37:23 UTC, end at Thu 2020-03-12 10:16:04 UTC. --
Mar 12 09:20:58 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 12 09:20:58 ubuntu dstat.sh[1778]: [286B blob data]
Mar 12 09:20:58 ubuntu dstat.sh[1778]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 12 09:20:58 ubuntu dstat.sh[1778]: 12-03 09:20:58| 17   5  54  22   1| 422M  303M  109M 2873M|   0     0 | 206k 3187k|10.9  35.9 | 788  1552 |1.81 1.47 1.29|2.0   0  25|   0     0 |systemd              1    0.4%   0    0 |bash                 3652 2552k2385k0.2%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 12 09:20:59 ubuntu dstat.sh[1778]: 12-03 09:20:59| 16  26  37   3  19| 420M  304M  109M 2874M|4625B 2160B|4096B 8116k|1.00  25.0 |1386  3039 |1.81 1.47 1.29|1.0   0 328|   0     0 |bash                 3652 8.5% 445k  21k|bash                 3652  445k  21k8.5%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 12 09:21:00 ubuntu dstat.sh[1778]: 12-03 09:21:00| 16  30  40   0  14| 420M  304M  109M 2874M|5860B 2160B|   0    24k|   0  6.00 |1180  2821 |1.90 1.49 1.30|2.0   0 300|   0     0 |bash                 3652 5.5%2174k  20k|bash                 3652 2174k  20k5.5%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 12 09:21:01 ubuntu dstat.sh[1778]: 12-03 09:21:01| 22  30  36   0  12| 421M  303M  109M 2874M|4451B 2160B|   0    16k|   0  4.00 |1816  3771 |1.90 1.49 1.30|1.0   0 206|   0     0 |systemd              1    9.5%   0    0 |bash                 3652 1777k  13k3.0%|mysqld       173M|   0     0 |  13    3    0    4    0
Mar 12 09:21:02 ubuntu dstat.sh[1778]: 12-03 09:21:02| 27  25  32   0  16| 423M  301M  109M 2874M|6340B 1944B|   0  4096B|   0  1.00 |1837  5279 |1.90 1.49 1.30|3.0   0  95|   0     0 |systemd              1     22%   0    0 |bash                 3652  253k1502B0.5%|mysqld       173M|   0     0 |  15    3    0    4    0
Mar 12 09:21:03 ubuntu dstat.sh[1778]: 12-03 09:21:03|  4   6  87   0   4| 546M  178M  109M 2996M|7513B 2160B|   0     0 |   0     0 | 751  1566 |1.90 1.49 1.30|1.0   0  37|   0     0 |etcd                 2864 3.0%   0    0 |bash                 3652  164k2445B0.5%|mysqld       173M|   0     0 |  15    5    0    4    0
Mar 12 09:21:04 ubuntu dstat.sh[1778]: 12-03 09:21:04| 22  21  42   1  13| 555M  169M  109M 2996M|7619B 2160B|   0    96k|   0  2.00 |1234  2867 |1.90 1.49 1.30|1.0   0 265|   0     0 |keystone-manage      3172  12%2125k  81k|keystone-manage      3172 2125k  81k 12%|mysqld       173M|   0     0 |  15    5    0    8    0
Mar 12 09:21:05 ubuntu dstat.sh[1778]: 12-03 09:21:05| 29   4  47  17   2| 568M  155M  109M 2996M|6404B 2160B| 596k    0 |39.0     0 | 592   783 |1.91 1.50 1.31|1.0   0   0|   0     0 |keystone-manage      3172  32%3250k   0 |keystone-manage      3172 3250k   0  32%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 12 09:21:06 ubuntu dstat.sh[1778]: 12-03 09:21:06| 22   4  44  24   6| 580M  142M  110M 2997M|5261B 1944B| 560k    0 |80.0     0 | 567   848 |1.91 1.50 1.31|2.0   0   0|   0     0 |keystone-manage      3172  24%2856k  46k|keystone-manage      3172 2856k  46k 24%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 12 09:21:07 ubuntu dstat.sh[1778]: 12-03 09:21:07| 26   2  49  23   1| 588M  134M  110M 2997M|8456B 2160B|  44k  216k|7.00  2.00 | 499   656 |1.91 1.50 1.31|  0 1.0   0|   0     0 |keystone-manage      3172  25%1863k   0 |keystone-manage      3172 1863k   0  25%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 12 09:21:08 ubuntu dstat.sh[1778]: 12-03 09:21:08| 26   3  49  22   1| 603M  118M  110M 2998M|7299B 1944B| 568k    0 |40.0     0 | 609   798 |1.91 1.50 1.31|1.0   0   0|   0     0 |keystone-manage      3172  28%3947k 150k|keystone-manage      3172 3947k 150k 28%|mysqld       173M|   0     0 |  15    5    0    7    0
