-- Logs begin at Wed 2020-02-19 17:09:45 UTC, end at Wed 2020-02-19 18:50:21 UTC. --
Feb 19 18:04:52 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 19 18:04:54 ubuntu dstat.sh[944]: [286B blob data]
Feb 19 18:04:54 ubuntu dstat.sh[944]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 19 18:04:54 ubuntu dstat.sh[944]: 19-02 18:04:54| 14   4  52  28   2| 464M  553M  135M 2568M|   0     0 | 139k 2318k|6.30  28.6 | 697  1301 |1.39 1.39 1.37|1.0   0  20|   0     0 |systemd              1    0.3%   0    0 |bash                 3746 1962k1794k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Feb 19 18:04:56 ubuntu dstat.sh[944]: 19-02 18:04:55|  4   6   6  85   0| 462M  554M  135M 2568M|5424B 2916B|   0  1168k|   0  11.0 | 402   731 |1.39 1.39 1.37|  0 2.0  49|   0     0 |conntrackd           163711.0%   0    0 |bash                 3746  606k3847B0.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Feb 19 18:04:56 ubuntu dstat.sh[944]: 19-02 18:04:56| 23  31  30  12   5| 463M  553M  135M 2569M|6533B 2916B| 260k   80k|3.00  10.0 |1678  5401 |1.52 1.41 1.38|3.0   0 232|   0     0 |systemd              1     11%   0    0 |bash                 3746 1623k  14k3.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Feb 19 18:04:57 ubuntu dstat.sh[944]: 19-02 18:04:57| 28  27  39   0   7| 463M  553M  135M 2569M|7468B 2916B|   0  8192B|   0  2.00 |1381  6125 |1.52 1.41 1.38|1.0   0 134|   0     0 |systemd              1     20%   0    0 |bash                 3746  768k5722B1.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Feb 19 18:04:58 ubuntu dstat.sh[944]: 19-02 18:04:58| 14  26  56   0   5| 588M  427M  135M 2691M|8414B 3240B|   0     0 |   0     0 |1706  4008 |1.52 1.41 1.38|1.0   0 273|   0     0 |bash                 3746 5.0% 435k  14k|bash                 3746  435k  14k5.0%|mysqld       174M|   0     0 |  16    5    0    5    0
Feb 19 18:04:59 ubuntu dstat.sh[944]: 19-02 18:04:59| 40  10  45   0   4| 611M  405M  135M 2691M|7134B 2970B|   0     0 |   0     0 | 794  1148 |1.52 1.41 1.38|1.0   0  39|   0     0 |keystone-manage      2374  42%5327k  81k|keystone-manage      2374 5327k  81k 42%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 19 18:05:00 ubuntu dstat.sh[944]: 19-02 18:05:00| 33   5  48  14   1| 629M  386M  135M 2691M|6728B 3186B| 100k    0 |6.00     0 | 600   787 |1.52 1.41 1.38|1.0   0   0|   0     0 |keystone-manage      2374  36%4458k  46k|keystone-manage      2374 4458k  46k 36%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 19 18:05:01 ubuntu dstat.sh[944]: 19-02 18:05:01| 12   1  47  39   0| 632M  383M  135M 2692M|5898B 2916B| 548k 8444k|38.0  21.0 | 557   829 |1.56 1.42 1.38|1.0   0   0|   0     0 |keystone-manage      2374  10% 958k   0 |keystone-manage      2374  958k   0  10%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 19 18:05:02 ubuntu dstat.sh[944]: 19-02 18:05:02| 38   3  47  10   2| 653M  360M  135M 2692M|7139B 3240B| 144k    0 |9.00     0 | 630   833 |1.56 1.42 1.38|1.0   0   0|   0     0 |keystone-manage      2374  39%5064k 321k|keystone-manage      2374 5064k 321k 39%|mysqld       174M|   0     0 |  16    5    0    6    0
Feb 19 18:05:03 ubuntu dstat.sh[944]: 19-02 18:05:03| 25   8  41  25   2| 661M  352M  135M 2693M|6099B 2916B|  16k 1004k|2.00  16.0 |1015  1696 |1.56 1.42 1.38|  0 1.0   0|   0     0 |keystone-manage      2374  17%1336k 279k|keystone-manage      2374 1336k 279k 17%|mysqld       177M|   0     0 |  16    7    0    6    0
