-- Logs begin at Thu 2020-02-20 08:27:14 UTC, end at Thu 2020-02-20 10:16:04 UTC. --
Feb 20 09:25:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 20 09:25:10 ubuntu dstat.sh[1042]: [286B blob data]
Feb 20 09:25:10 ubuntu dstat.sh[1042]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 20 09:25:10 ubuntu dstat.sh[1042]: 20-02 09:25:09| 13   4  54  27   2| 461M  556M  138M 2565M|   0     0 | 132k 2280k|5.92  27.1 | 634  1179 |1.48 1.51 1.43|4.0   0  19|   0     0 |systemd              1    0.3%   0    0 |bash                 3871 1841k1704k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:11 ubuntu dstat.sh[1042]: 20-02 09:25:10| 12  26  38   2  23| 460M  556M  138M 2565M|5700B 3240B| 232k  112k|3.00  6.00 |1187  3134 |1.48 1.51 1.43|5.0   0 336|   0     0 |bash                 3871 7.5% 726k  21k|bash                 3871  726k  21k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:12 ubuntu dstat.sh[1042]: 20-02 09:25:11| 14  26  38   7  14| 461M  556M  138M 2565M|5864B 3024B|   0    20k|   0  5.00 |1144  2724 |1.48 1.51 1.43|1.0 1.0 251|   0     0 |bash                 3871 4.0%2109k  17k|bash                 3871 2109k  17k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:13 ubuntu dstat.sh[1042]: 20-02 09:25:12|  2   1  47  48   1| 462M  554M  138M 2565M|8951B 3132B|   0     0 |   0     0 | 453   497 |1.48 1.51 1.43|1.0 1.0   0|   0     0 |dhcpd                3767 1.0%   0    0 |python2              1243   13k 450B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:14 ubuntu dstat.sh[1042]: 20-02 09:25:13| 16  20  40  16   6| 462M  555M  138M 2565M|7394B 3240B|   0  1416k|   0  31.0 |1399  3882 |1.52 1.52 1.43|2.0   0 110|   0     0 |systemd              1     12%   0    0 |bash                 3871  757k6150B1.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:15 ubuntu dstat.sh[1042]: 20-02 09:25:14| 27  33  35   0   6| 461M  555M  138M 2565M|5815B 2862B|   0   820k|   0  15.0 |1895  5220 |1.52 1.52 1.43|2.0   0 166|   0     0 |systemd              1     19%   0    0 |bash                 3871  875k7861B2.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 09:25:16 ubuntu dstat.sh[1042]: 20-02 09:25:15|  7   7  78   2   5| 585M  430M  138M 2687M|6806B 2592B|  80k  224k|1.00  2.00 | 956  2306 |1.52 1.52 1.43|  0   0  18|   0     0 |systemd              1    4.5%   0    0 |bash                 3871  240k 592B0.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 20 09:25:17 ubuntu dstat.sh[1042]: 20-02 09:25:16| 17  28  40   0  14| 592M  423M  138M 2687M|4998B 2646B|   0     0 |   0     0 |1362  3225 |1.52 1.52 1.43|1.0   0 296|   0     0 |keystone-manage      2466 7.0%1374k  81k|keystone-manage      2466 1374k  81k7.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 09:25:18 ubuntu dstat.sh[1042]: 20-02 09:25:17| 42   4  46   6   1| 613M  403M  138M 2687M|4730B 2592B|  28k    0 |2.00     0 | 538   844 |1.52 1.52 1.43|  0 1.0   0|   0     0 |keystone-manage      2466  43%5062k   0 |keystone-manage      2466 5062k   0  43%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 09:25:19 ubuntu dstat.sh[1042]: 20-02 09:25:18| 34   2  38  25   2| 629M  386M  138M 2688M|2072B    0 | 616k 8024k|41.0  19.0 | 551   663 |1.48 1.51 1.43|2.0 1.0   0|   0     0 |keystone-manage      2466  35%4185k  46k|keystone-manage      2466 4185k  46k 35%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 09:25:20 ubuntu dstat.sh[1042]: 20-02 09:25:19| 34   4  46  13   4| 649M  365M  138M 2689M|6835B 2916B|  96k    0 |9.00     0 | 519   678 |1.48 1.51 1.43|2.0   0   0|   0     0 |keystone-manage      2466  36%4680k 228k|keystone-manage      2466 4680k 228k 36%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 09:25:21 ubuntu dstat.sh[1042]: 20-02 09:25:20| 30   8  37  24   2| 659M  355M  139M 2689M|5486B 2916B|  16k  812k|2.00  4.00 | 715  1272 |1.48 1.51 1.43|1.0 1.0   0|   0     0 |keystone-manage      2466  25%1855k 373k|keystone-manage      2466 1855k 373k 25%|mysqld       177M|   0     0 |  16    7    0    7    0
Feb 20 09:25:22 ubuntu dstat.sh[1042]: 20-02 09:25:21|  2   1  48  49   1| 659M  354M  139M 2689M|5547B 3240B|   0   604k|   0  15.0 | 384   721 |1.48 1.51 1.43|1.0 1.0   0|   0     0 |jbd2/vda1-8          316  0.5%   0    0 |python2              1243   14k 468B  0%|mysqld       177M|   0     0 |  16    7    0    7    0
Feb 20 09:25:23 ubuntu dstat.sh[1042]: 20-02 09:25:22|  9   4  40  44   3| 668M  345M  139M 2690M|5808B 2592B|   0   512k|   0  35.0 | 597  1061 |1.48 1.51 1.43|  0 1.0   0|   0     0 |keystone-manage      2466 4.5%  38k  53k|keystone-manage      2466   38k  53k4.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 20 09:25:24 ubuntu dstat.sh[1042]: 20-02 09:25:23|  3   2  47  46   4| 668M  345M  139M 2690M|8250B 2916B|   0   496k|   0  32.0 | 421   790 |1.44 1.50 1.43|1.0 2.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              1243   14k 464B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 20 09:25:25 ubuntu dstat.sh[1042]: 20-02 09:25:24|  2   2  46  48   2| 669M  344M  139M 2690M|5686B 3024B|   0   552k|   0  43.0 | 500   968 |1.44 1.50 1.43|2.0 1.0 2.0|   0     0 |mysqld               304  1.0%   0    0 |python2              1243   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 20 09:25:26 ubuntu dstat.sh[1042]: 20-02 09:25:25|  3   2  47  47   2| 669M  343M  139M 2690M|6149B 3132B|   0   592k|   0  40.0 | 519   868 |1.44 1.50 1.43|1.0 1.0   0|   0     0 |conntrackd           164751.0%   0    0 |python2              1243   14k 468B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 20 09:25:27 ubuntu dstat.sh[1042]: 20-02 09:25:26|  2   2  43  50   2| 669M  343M  139M 2690M|7933B 2916B|   0   600k|   0  40.0 | 542   881 |1.44 1.50 1.43|1.0 1.0   0|   0     0 |mysqld               304  1.0%   0    0 |python2              1243   14k 462B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 20 09:25:28 ubuntu dstat.sh[1042]: 20-02 09:25:27|  1   2  17  80   0| 669M  343M  139M 2690M|7169B 3240B|   0  4276k|   0  88.0 | 486   755 |1.44 1.50 1.43|1.0 2.0   0|   0     0 |mysqld               304  0.5%   0    0 |python2              1243   14k 459B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:29 ubuntu dstat.sh[1042]: 20-02 09:25:28|  3   1  37  59   1| 669M  343M  139M 2690M|6540B 3240B|   0  1176k|   0  90.0 | 512   727 |1.40 1.49 1.42|1.0   0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1243   14k 469B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:30 ubuntu dstat.sh[1042]: 20-02 09:25:29|  3   1  44  51   1| 669M  342M  139M 2690M|7947B 3240B|   0   664k|   0  47.0 | 645  1026 |1.40 1.49 1.42|2.0 2.0   0|   0     0 |mysqld               304  1.0%   0    0 |python2              1243   14k 469B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:31 ubuntu dstat.sh[1042]: 20-02 09:25:30|  3   2  40  55   1| 669M  342M  139M 2690M|5555B 3132B|   0  8564k|   0  62.0 | 510  1043 |1.40 1.49 1.42|1.0 1.0   0|   0     0 |etcd                 2160 1.0%   0    0 |python2              1243   14k 458B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:32 ubuntu dstat.sh[1042]: 20-02 09:25:31|  2   1  48  47   1| 669M  342M  139M 2691M|6526B 3024B|   0   728k|   0  45.0 | 574   932 |1.40 1.49 1.42|2.0 1.0   0|   0     0 |mysqld               304  1.0%   0    0 |python2              1243 1203B   0   0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:33 ubuntu dstat.sh[1042]: 20-02 09:25:32|  2   1  48  46   3| 669M  342M  139M 2691M|7203B 3240B|   0   468k|   0  35.0 | 502   854 |1.40 1.49 1.42|1.0 1.0   0|   0     0 |conntrackd           164751.0%   0    0 |python2              1243   27k 936B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 09:25:34 ubuntu dstat.sh[1042]: 20-02 09:25:33|  2   1  41  55   2| 670M  341M  139M 2691M|6498B 3240B|   0   436k|   0  44.0 | 500   739 |1.77 1.56 1.45|1.0 5.0   0|   0     0 |etcd                 2160 0.5%   0    0 |python2              1243   14k   0   0%|mysqld       187M|   0     0 |  16    7    0    6    0
