"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Mar 2020 11:21:23 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-03 11:21:23,18.220,5.002,55.768,20.054,0.956,471707648,443113472,118218752,2859376640,0,0,250981.871,3932935.176,11.764,37.712,878.591,1620.633,1.170,1.100,1.080,2,0,26.777,0,0,13,3,0,4,0
02-03 11:21:24,18.719,37.931,36.946,0.985,5.419,472170496,442384384,118231040,2859429888,3800,1944,0,110592,0,8,1493,3955,1.170,1.100,1.080,1,0,417,0,0,13,3,0,4,0
02-03 11:21:25,7.576,8.586,5.051,77.273,1.515,472403968,442003456,118231040,2859577344,4314,2202,0,9871360,0,117,834,1273,1.230,1.110,1.080,4,0,97,0,0,13,3,0,4,0
02-03 11:21:26,22.335,25.888,40.609,9.137,2.030,472719360,441634816,118231040,2859606016,3581,2106,0,26509312,0,33,1325,3711,1.230,1.110,1.080,2,0,223,0,0,13,3,0,4,0
02-03 11:21:27,29.744,29.231,37.436,0,3.590,603701248,310259712,118231040,2987642880,3495,2040,0,8192,0,2,1982,6745,1.230,1.110,1.080,0,0,143,0,0,15,3,0,4,0
02-03 11:21:28,15.075,23.116,61.307,0,0.503,604053504,309846016,118231040,2987687936,4491,2160,0,0,0,0,1358,3211,1.230,1.110,1.080,2,0,282,0,0,15,5,0,6,0
02-03 11:21:29,37.374,7.071,44.949,9.596,1.010,626192384,287502336,118235136,2987868160,5571,2160,114688,172032,3,2,744,998,1.230,1.110,1.080,0,1,13,0,0,15,5,0,6,0
02-03 11:21:30,21.106,3.015,46.734,25.126,4.020,639270912,273219584,118366208,2988855296,3740,1998,1044480,0,113,0,762,1008,1.210,1.110,1.080,1,0,0,0,0,15,5,0,6,0
02-03 11:21:31,37.624,3.465,47.525,10.396,0.990,653332480,258138112,118370304,2989768704,4230,2106,651264,1097728,50,85,794,881,1.210,1.110,1.080,1,0,0,0,0,15,5,0,6,0
02-03 11:21:32,48.980,9.694,38.776,2.551,0,680697856,229306368,118489088,2990788608,7542,2160,192512,12288,15,1,633,1295,1.210,1.110,1.080,0,2,0,0,0,15,7,0,6,0
02-03 11:21:33,11.558,4.020,36.683,47.236,0.503,690462720,218832896,118771712,2991206400,4428,2160,0,2887680,0,124,755,1776,1.210,1.110,1.080,0,1,0,0,0,15,7,0,6,0
02-03 11:21:34,2.551,1.020,46.939,49.490,0,690917376,217694208,119042048,2991595520,3762,2160,0,1695744,0,123,733,1565,1.210,1.110,1.080,0,1,0,0,0,15,7,0,6,0
02-03 11:21:35,2.525,2.525,46.465,47.980,0.505,691482624,216592384,119250944,2991894528,4071,2160,0,1515520,0,104,696,1494,1.280,1.120,1.090,0,1,2,0,0,15,7,0,6,0
02-03 11:21:36,7.653,5.612,46.939,39.796,0,692436992,215064576,119554048,2992160768,3940,2160,0,1646592,0,142,748,1591,1.280,1.120,1.090,1,1,0,0,0,15,7,0,6,0
02-03 11:21:37,12.935,5.970,31.841,48.756,0.498,693055488,214020096,119861248,2992279552,5410,2160,0,1318912,0,132,862,1693,1.280,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:38,11.616,10.101,31.313,46.465,0.505,693882880,212779008,120164352,2992390144,5698,1944,0,1454080,0,137,837,1736,1.280,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:39,14.646,10.101,34.343,39.899,1.010,694145024,212234240,120434688,2992394240,5231,2160,0,1351680,0,117,729,1655,1.280,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:40,7.653,10.204,33.673,47.959,0.510,694812672,211189760,120737792,2992467968,7060,2160,0,1650688,0,140,789,1613,1.250,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:41,12.438,9.453,38.308,36.318,3.483,696864768,208932864,120889344,2992504832,4895,1944,0,978944,0,69,748,1849,1.250,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:42,2.020,1.010,26.263,69.192,1.515,695336960,210411520,120938496,2992504832,4891,2160,0,2928640,0,61,449,845,1.250,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:43,10.606,10.606,39.394,34.848,4.545,695910400,209551360,121212928,2992517120,4667,2160,0,1654784,0,122,1053,2102,1.250,1.120,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:44,4.040,4.545,48.485,41.414,1.515,697212928,139022336,121327616,3059777536,7330,2106,0,46153728,0,90,856,1376,1.250,1.120,1.090,0,2,0,0,0,15,7,0,6,0
02-03 11:21:45,3,3,48,45,1,697790464,138010624,121487360,3060023296,7237,2092,0,22867968,0,95,750,1212,1.310,1.140,1.090,0,1,2,0,0,15,7,0,6,0
02-03 11:21:46,4.020,2.010,47.739,44.724,1.508,698376192,136863744,121753600,3060264960,5086,2160,0,1343488,0,107,880,1413,1.310,1.140,1.090,0,1,1,0,0,15,7,0,6,0
02-03 11:21:47,6,5.500,43.500,39,6,698646528,136065024,122007552,3060518912,4652,1944,0,1540096,0,126,953,1745,1.310,1.140,1.090,0,1,0,0,0,15,7,0,6,0
02-03 11:21:48,8.673,6.633,40.306,40.306,4.082,699248640,134893568,122294272,3060785152,4301,2106,0,1744896,0,137,945,1745,1.310,1.140,1.090,1,1,0,0,0,15,7,0,6,0
02-03 11:21:49,12.563,12.563,42.714,28.643,3.518,699588608,134254592,122605568,3060764672,4894,2052,0,1667072,0,146,1343,2387,1.310,1.140,1.090,0,1,0,0,0,15,7,0,5,0
02-03 11:21:50,7.576,5.051,43.434,40.404,3.535,699969536,133337088,122884096,3061006336,4524,2106,0,1671168,0,115,1044,1670,1.370,1.150,1.100,0,1,0,0,0,15,7,0,5,0
02-03 11:21:51,13.636,11.616,32.828,39.899,2.020,700514304,132444160,123191296,3061035008,4175,2160,0,1564672,0,128,1078,1723,1.370,1.150,1.100,1,1,0,0,0,15,7,0,5,0
02-03 11:21:52,6.468,6.965,43.284,39.303,3.980,700649472,132161536,123379712,3060994048,5542,1944,0,1654784,0,90,784,1542,1.370,1.150,1.100,0,1,0,0,0,15,7,0,5,0
02-03 11:21:53,3.500,3.500,41,50.500,1.500,700784640,131776512,123490304,3061129216,4443,2160,0,888832,0,51,730,1229,1.370,1.150,1.100,0,1,0,0,0,15,7,0,5,0
02-03 11:21:54,8.040,6.030,39.196,44.724,2.010,701112320,130985984,123867136,3061202944,4423,2160,0,2048000,0,154,973,2150,1.370,1.150,1.100,0,1,0,0,0,15,7,0,5,0
02-03 11:21:55,5.528,4.523,44.221,42.211,3.518,701370368,130236416,124125184,3061407744,6084,1944,0,1376256,0,102,942,1858,1.420,1.160,1.100,3,0,2,0,0,15,7,0,5,0
02-03 11:21:56,16.583,11.558,36.181,32.161,3.518,701423616,129777664,124469248,3061440512,4551,2160,0,1974272,0,134,1251,2491,1.420,1.160,1.100,1,1,0,0,0,15,7,0,5,0
02-03 11:21:57,3,3.500,13,80,0.500,701628416,129490944,124530688,3061460992,3656,2160,0,1716224,0,161,609,882,1.420,1.160,1.100,0,2,0,0,0,15,7,0,5,0
02-03 11:21:58,8.543,8.040,33.166,49.749,0.503,701816832,129052672,124743680,3061460992,4027,2160,0,2064384,0,129,892,1668,1.420,1.160,1.100,1,1,0,0,0,15,7,0,5,0
02-03 11:21:59,14.721,12.183,28.934,43.147,1.015,702029824,128483328,125091840,3061460992,5384,2160,0,1994752,0,146,1080,2106,1.420,1.160,1.100,2,0,0,0,0,15,7,0,5,0
02-03 11:22:00,32.512,19.704,18.227,28.571,0.985,702550016,127184896,125218816,3062091776,4315,1944,0,1069056,0,62,1088,2373,1.470,1.180,1.110,0,2,0,0,0,15,7,0,5,0
02-03 11:22:01,16.583,17.588,36.181,29.146,0.503,702930944,126705664,125313024,3062087680,5322,2160,0,851968,0,51,664,998,1.470,1.180,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:02,16,13.500,35,34.500,1,702902272,126517248,125480960,3062128640,6659,2106,0,1282048,0,88,885,1864,1.470,1.180,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:03,22.843,18.782,3.553,52.284,2.538,703123456,126193664,125538304,3062169600,4566,2214,0,2437120,0,177,753,851,1.470,1.180,1.110,1,4,0,0,0,15,7,0,5,0
02-03 11:22:04,12.563,9.548,37.186,38.693,2.010,703238144,125784064,125673472,3062321152,8165,1944,0,1544192,0,95,954,1587,1.470,1.180,1.110,1,1,0,0,0,15,7,0,5,0
02-03 11:22:05,11.330,8.867,42.365,33.498,3.941,703553536,125161472,125911040,3062370304,5772,2160,0,1806336,0,140,1204,1877,1.510,1.190,1.110,0,1,2,0,0,15,7,0,6,0
02-03 11:22:06,10.152,4.569,42.640,39.594,3.046,703844352,124448768,126160896,3062513664,5625,2160,0,1617920,0,114,1056,2151,1.510,1.190,1.110,0,1,0,0,0,15,7,0,6,0
02-03 11:22:07,15.920,7.960,41.294,32.836,1.990,704385024,123572224,126431232,3062550528,8290,1944,0,1937408,0,138,1182,2406,1.510,1.190,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:08,9.045,6.533,38.693,41.206,4.523,704679936,122675200,126738432,3062816768,10745,2160,0,2093056,0,145,1158,1953,1.510,1.190,1.110,1,1,0,0,0,15,7,0,5,0
02-03 11:22:09,4.124,5.155,42.784,45.361,2.577,704917504,121917440,127021056,3063037952,8700,1944,0,1843200,0,144,808,1811,1.510,1.190,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:10,15.500,8,39,34.500,3,705179648,121200640,127295488,3063189504,10634,2160,0,1957888,0,132,922,2805,1.470,1.190,1.110,1,0,0,0,0,15,7,0,5,0
02-03 11:22:11,15.920,11.940,29.851,41.294,0.995,705523712,120594432,127512576,3063226368,3926,2160,0,1589248,0,124,776,1857,1.470,1.190,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:12,11.224,11.224,38.776,36.224,2.551,705818624,120025088,127721472,3063283712,5072,1944,0,1409024,0,114,812,1659,1.470,1.190,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:13,10.500,9.500,40.500,39,0.500,706256896,119259136,128004096,3063316480,6681,2160,0,2043904,0,150,891,2021,1.470,1.190,1.110,0,1,0,0,0,15,7,0,5,0
02-03 11:22:14,11.735,8.163,42.857,35.714,1.531,706392064,118816768,128241664,3063373824,3984,2160,0,1921024,0,135,1038,2499,1.470,1.190,1.110,1,0,0,0,0,15,7,0,5,0
02-03 11:22:15,12.121,8.081,39.394,36.869,3.535,707043328,117702656,128557056,3063476224,6293,2160,0,1957888,0,138,1139,2272,1.590,1.220,1.120,3,0,2,0,0,15,7,0,5,0
02-03 11:22:16,13.861,10.891,30.693,41.089,3.465,707272704,117133312,128774144,3063586816,4713,1944,0,1785856,0,128,1122,2057,1.590,1.220,1.120,1,1,0,0,0,15,7,0,5,0
02-03 11:22:17,9.596,11.111,33.333,43.434,2.525,707682304,116527104,128983040,3063566336,5784,2160,0,1441792,0,123,964,1826,1.590,1.220,1.120,0,1,0,0,0,15,7,0,5,0
02-03 11:22:18,23.881,12.438,31.841,30.348,1.493,707829760,115720192,129134592,3064045568,5730,2160,0,1294336,0,84,970,2530,1.590,1.220,1.120,1,0,0,0,0,15,7,0,5,0
02-03 11:22:19,32.995,16.751,27.919,19.797,2.538,708313088,114462720,129273856,3064639488,4327,1944,0,1318912,0,75,1013,3356,1.590,1.220,1.120,2,0,0,0,0,15,7,0,3,0
02-03 11:22:20,14.646,4.040,44.949,33.838,2.525,708214784,114147328,129441792,3064832000,5115,2160,0,1658880,0,92,1220,3054,1.540,1.220,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:21,23,7.500,37.500,31,1,708304896,113557504,129585152,3065155584,3852,2160,0,1302528,0,76,1043,2749,1.540,1.220,1.120,2,0,0,0,0,15,7,0,3,0
02-03 11:22:22,32,25.500,22.500,19.500,0.500,709115904,111906816,129712128,3065847808,4385,2160,0,1409024,0,71,950,1397,1.540,1.220,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:23,16.337,15.347,36.139,30.693,1.485,709234688,111616000,129875968,3065835520,3538,1944,0,2117632,0,148,1108,2076,1.540,1.220,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:24,13.706,11.675,41.117,32.995,0.508,709582848,111009792,130121728,3065843712,4272,2202,0,2093056,0,136,1030,1882,1.540,1.220,1.120,1,0,0,0,0,15,7,0,3,0
02-03 11:22:25,16,10.500,44,29,0.500,709771264,110551040,130281472,3065925632,4391,2160,0,1712128,0,104,974,2179,1.500,1.210,1.120,0,1,2,0,0,15,7,0,3,0
02-03 11:22:26,13.198,10.660,32.487,42.640,1.015,710160384,109785088,130506752,3066068992,4558,2160,0,1908736,0,134,1096,1908,1.500,1.210,1.120,2,1,0,0,0,15,7,0,3,0
02-03 11:22:27,9.500,8,46.500,35.500,0.500,709664768,110104576,130760704,3065982976,4597,2214,0,1904640,0,140,1048,1740,1.500,1.210,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:28,7.614,3.553,45.178,43.655,0,709525504,110059520,130863104,3066044416,4768,2148,0,1302528,0,70,817,1394,1.500,1.210,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:29,7.500,2.500,45.500,44,0.500,709775360,109580288,130977792,3066150912,6559,2160,0,1486848,0,100,816,2108,1.500,1.210,1.120,0,1,0,0,0,15,7,0,3,0
02-03 11:22:30,18.090,8.543,45.226,27.638,0.503,709943296,109154304,131219456,3066146816,6191,1944,0,4132864,0,132,1235,2640,1.620,1.240,1.130,1,0,0,0,0,15,7,0,1,0
02-03 11:22:31,10.500,6.500,41.500,38.500,3,710131712,108691456,131411968,3066200064,7478,2160,0,1683456,0,109,930,2515,1.620,1.240,1.130,0,1,0,0,0,15,7,0,1,0
02-03 11:22:32,10.945,5.970,45.274,33.333,4.478,710500352,107958272,131633152,3066335232,6881,2160,0,1871872,0,115,974,2102,1.620,1.240,1.130,1,1,0,0,0,15,7,0,1,0
02-03 11:22:33,13.500,13.500,41,29,3,710574080,107802624,131731456,3066310656,7778,1944,0,880640,0,57,601,957,1.620,1.240,1.130,1,1,0,0,0,15,7,0,1,0
02-03 11:22:34,25.373,11.940,43.781,15.423,3.483,633737216,184561664,131821568,3066265600,8015,1944,0,1413120,0,73,1233,2817,1.620,1.240,1.130,2,0,68,0,0,15,5,0,2,0
02-03 11:22:35,44.724,6.533,44.221,3.518,1.005,661336064,156942336,131829760,3066273792,5250,2160,0,626688,0,36,734,990,1.570,1.240,1.130,2,0,12,0,0,15,5,0,2,0
02-03 11:22:36,47.761,4.478,34.328,11.940,1.493,687366144,130502656,131891200,3066613760,5894,2160,0,6856704,0,61,738,1345,1.570,1.240,1.130,2,0,0,0,0,15,5,0,2,0
02-03 11:22:37,43.939,7.576,24.747,22.222,1.515,640610304,175812608,132046848,3067867136,5052,1944,0,7122944,0,130,917,1730,1.570,1.240,1.130,2,1,11,0,0,15,5,0,2,0
02-03 11:22:38,46.305,6.404,34.483,12.315,0.493,668254208,147771392,132120576,3068178432,5814,2160,0,2945024,0,64,693,1153,1.570,1.240,1.130,2,0,0,0,0,15,5,0,2,0
02-03 11:22:39,48,3,46.500,1.500,1,696901632,119103488,132128768,3068190720,5487,1944,0,49152,0,6,551,788,1.570,1.240,1.130,1,0,0,0,0,15,5,0,2,0
02-03 11:22:40,34.328,20.398,42.289,0.995,1.990,634159104,181792768,132145152,3068227584,6971,2160,0,163840,0,7,1131,2763,1.520,1.230,1.130,4,0,232,0,0,15,5,0,2,0
02-03 11:22:41,22.388,34.328,37.811,0,5.473,633249792,182501376,132145152,3068407808,5158,1944,0,36864,0,9,1441,3791,1.520,1.230,1.130,2,0,380,0,0,15,5,0,2,0
02-03 11:22:42,29.648,29.648,37.688,0,3.015,640262144,175308800,132145152,3068801024,5616,2160,0,8192,0,2,1526,6689,1.520,1.230,1.130,4,0,130,0,0,15,5,0,2,0
02-03 11:22:43,83.085,15.423,0,0.498,0.995,675524608,139833344,132145152,3069087744,4744,2160,172032,0,2,0,1105,1909,1.520,1.230,1.130,2,0,129,0,0,15,7,0,2,0
02-03 11:22:44,87,11.500,0,0,1.500,736313344,580968448,132153344,2583478272,5774,1944,8192,0,2,0,811,833,1.520,1.230,1.130,3,0,6,0,0,15,7,0,2,0
02-03 11:22:45,92.462,5.025,0,1.005,1.508,773828608,542932992,132186112,2583822336,5646,2254,241664,221184,8,4,838,842,1.560,1.250,1.130,3,0,2,0,0,15,7,0,2,0
02-03 11:22:46,88.442,11.055,0,0,0.503,803053568,511356928,132284416,2585735168,4589,1944,8192,0,2,0,1149,4337,1.560,1.250,1.130,5,0,1,0,0,15,7,0,2,0
02-03 11:22:47,59.500,18.500,20,0.500,1.500,818151424,495775744,132337664,2586140672,4560,2160,28672,0,7,0,1332,4145,1.560,1.250,1.130,2,0,169,0,0,15,5,0,3,0
02-03 11:22:48,45.771,5.970,46.269,0,1.990,845090816,468828160,132337664,2586148864,5611,2160,0,0,0,0,646,760,1.560,1.250,1.130,1,0,0,0,0,15,5,0,3,0
02-03 11:22:49,48.276,3.448,46.798,0,1.478,872353792,441556992,132337664,2586157056,6222,2160,0,0,0,0,645,733,1.560,1.250,1.130,2,0,0,0,0,15,5,0,3,0
02-03 11:22:50,42.211,6.533,44.724,6.030,0.503,894943232,418926592,132345856,2586189824,7074,2160,16384,1015808,2,7,657,938,1.600,1.260,1.140,1,0,2,0,0,15,7,0,3,0
02-03 11:22:51,27.500,8.500,42.500,20,1.500,899653632,414064640,132456448,2586230784,5354,1944,0,589824,0,63,760,1558,1.600,1.260,1.140,0,1,0,0,0,15,11,0,3,0
02-03 11:22:52,42.714,10.553,44.221,2.513,0,825286656,488333312,132493312,2586292224,5276,2160,0,380928,0,25,810,1254,1.600,1.260,1.140,1,0,52,0,0,15,5,0,6,0
02-03 11:22:53,47.236,5.025,36.683,11.055,0,849285120,464306176,132513792,2586296320,4953,2160,0,2023424,0,68,812,1034,1.600,1.260,1.140,1,0,1,0,0,15,5,0,6,0
02-03 11:22:54,45.685,5.076,47.716,1.015,0.508,866959360,446492672,132542464,2586411008,6469,2160,118784,192512,12,6,782,1169,1.600,1.260,1.140,1,0,0,0,0,15,15,0,7,0
