-- Logs begin at Sat 2020-02-22 02:23:01 UTC, end at Sat 2020-02-22 10:59:40 UTC. --
Feb 22 09:51:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 22 09:51:41 ubuntu dstat.sh[1337]: [286B blob data]
Feb 22 09:51:41 ubuntu dstat.sh[1337]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 22 09:51:41 ubuntu dstat.sh[1337]: 22-02 09:51:41|  2   1  93   4   0| 455M  644M  135M 2481M|   0     0 |  18k  297k|0.97  3.56 | 126   177 |1.51 1.36 1.34|2.0 1.0 2.5|   0     0 |systemd              1    0.0%   0    0 |bash                 4478  234k 216k0.0%|mysqld       174M|   0     0 |  14    4    0    5    0
Feb 22 09:51:43 ubuntu dstat.sh[1337]: 22-02 09:51:42|  4  11   0  84   0| 455M  643M  135M 2481M|6265B 7170B| 128k  592k|3.00  39.0 | 547  1106 |1.51 1.36 1.34|1.0 2.0  76|   0     0 |bash                 4478 1.5% 549k5690B|bash                 4478  549k5690B1.5%|mysqld       174M|   0     0 |  14    4    0    4    0
Feb 22 09:51:43 ubuntu dstat.sh[1337]: 22-02 09:51:43| 12  14   1  73   1| 456M  641M  135M 2482M|8075B 8994B| 832k  308k|7.00  47.0 | 857  2406 |1.51 1.36 1.34|1.0 1.0 102|   0     0 |bash                 4478 2.0% 934k6959B|bash                 4478  934k6959B2.0%|mysqld       174M|   0     0 |  14    4    0    4    0
Feb 22 09:51:44 ubuntu dstat.sh[1337]: 22-02 09:51:44| 15  20  40  25   1| 455M  642M  135M 2482M|  10k 7320B|   0  9828k|   0  31.0 | 785  2984 |1.55 1.37 1.34|  0 1.0 107|   0     0 |systemd              1    9.5%   0    0 |bash                 4478  661k5296B1.0%|mysqld       174M|   0     0 |  14    4    0    4    0
Feb 22 09:51:45 ubuntu dstat.sh[1337]: 22-02 09:51:45|  1   1  50  48   0| 455M  642M  135M 2482M|5031B  972B|   0    14M|   0  14.0 | 287   348 |1.55 1.37 1.34|  0 1.0   0|   0     0 |python2              1954 0.5%  13k 453B|python2              1954   13k 453B0.5%|mysqld       174M|   0     0 |  14    4    0    4    0
Feb 22 09:51:46 ubuntu dstat.sh[1337]: 22-02 09:51:46| 13  18  45  23   2| 457M  640M  135M 2482M|6080B   10k|   0  9808k|   0  15.0 | 902  2366 |1.55 1.37 1.34|1.0   0 128|   0     0 |bash                 4478 2.0% 762k7597B|bash                 4478  762k7597B2.0%|mysqld       174M|   0     0 |  14    4    0    4    0
Feb 22 09:51:47 ubuntu dstat.sh[1337]: 22-02 09:51:47| 27  21  50   3   1| 580M  516M  135M 2604M|5098B 2540B|   0    96k|   0  1.00 |1193  5893 |1.55 1.37 1.34|  0 1.0  51|   0     0 |systemd              1     23%   0    0 |bash                 4478  233k 656B0.5%|mysqld       174M|   0     0 |  16    4    0    4    0
Feb 22 09:51:48 ubuntu dstat.sh[1337]: 22-02 09:51:48| 17  27  47   6   3| 580M  516M  135M 2604M|  17k   37k|   0  4096B|   0  1.00 |1495  3919 |1.55 1.37 1.34|1.0   0 274|   0     0 |bash                 4478 5.0% 580k  17k|bash                 4478  580k  17k5.0%|mysqld       174M|   0     0 |  16    6    0    6    0
Feb 22 09:51:49 ubuntu dstat.sh[1337]: 22-02 09:51:49| 38   9  46   4   4| 601M  495M  135M 2604M|3886B 4550B| 180k    0 |9.00     0 | 654  1073 |1.51 1.36 1.34|  0 1.0  22|   0     0 |keystone-manage      2754  42%5184k  81k|keystone-manage      2754 5184k  81k 42%|mysqld       174M|   0     0 |  16    6    0    6    0
Feb 22 09:51:50 ubuntu dstat.sh[1337]: 22-02 09:51:50| 24   6  46  20   6| 614M  481M  135M 2605M|2817B  918B| 824k    0 |75.0     0 | 663   991 |1.51 1.36 1.34|1.0   0   0|   0     0 |keystone-manage      2754  30%2742k  46k|keystone-manage      2754 2742k  46k 30%|mysqld       174M|   0     0 |  16    6    0    6    0
Feb 22 09:51:51 ubuntu dstat.sh[1337]: 22-02 09:51:51| 33   4  44  11   8| 627M  468M  135M 2606M|6882B 1134B| 632k    0 |49.0     0 | 629  1008 |1.51 1.36 1.34|2.0   0 2.0|   0     0 |keystone-manage      2754  40%3296k  78k|keystone-manage      2754 3296k  78k 40%|mysqld       174M|   0     0 |  16    6    0    6    0
Feb 22 09:51:52 ubuntu dstat.sh[1337]: 22-02 09:51:52| 35   7  38   5  15| 647M  447M  135M 2606M|4269B  972B|  88k  848k|7.00  3.00 | 568   780 |1.51 1.36 1.34|1.0   0   0|   0     0 |keystone-manage      2754  46%4893k 350k|keystone-manage      2754 4893k 350k 46%|mysqld       174M|   0     0 |  16    6    0    6    0
Feb 22 09:51:53 ubuntu dstat.sh[1337]: 22-02 09:51:53| 30  16  19  18  17| 662M  431M  135M 2607M|  24k  184k|  96k  616k|7.00  27.0 |1350  4280 |1.51 1.36 1.34|  0 1.0   0|   0     0 |keystone-manage      2754  23%1113k 225k|keystone-manage      2754 1113k 225k 23%|mysqld       184M|   0     0 |  16    8    0    6    0
Feb 22 09:51:54 ubuntu dstat.sh[1337]: 22-02 09:51:54|  3   1  24  68   3| 663M  430M  135M 2607M|4217B  966B|   0   484k|   0  37.0 | 507   773 |1.55 1.37 1.34|  0 2.0   0|   0     0 |keystone-manage      2754 1.5%   0    0 |python2              1954   14k 461B0.5%|mysqld       186M|   0     0 |  16    8    0    6    0
Feb 22 09:51:55 ubuntu dstat.sh[1337]: 22-02 09:51:55|  2   1   0  94   4| 663M  430M  135M 2607M|5495B 1134B|   0   560k|   0  72.0 | 453   671 |1.55 1.37 1.34|  0 2.0   0|   0     0 |etcd                 2448 1.0%   0    0 |python2              1954   14k 451B0.5%|mysqld       186M|   0     0 |  16    8    0    6    0
Feb 22 09:51:56 ubuntu dstat.sh[1337]: 22-02 09:51:56|  1   1   0  96   1| 663M  430M  135M 2607M|3018B  972B|   0  3032k|   0   143 | 447   579 |1.55 1.37 1.34|  0 2.0   0|   0     0 |beam.smp             1710 0.5%   0    0 |python2              1954   14k 445B  0%|mysqld       186M|   0     0 |  16    8    0    6    0
Feb 22 09:51:57 ubuntu dstat.sh[1337]: 22-02 09:51:57|  2   4  45  47   3| 663M  429M  135M 2607M|3498B 1026B|   0  2996k|   0   109 | 747  1311 |1.55 1.37 1.34|  0 1.0   0|   0     0 |mysqld               597  1.0%   0    0 |python2              1954   14k 465B  0%|mysqld       186M|   0     0 |  16    8    0    6    0
Feb 22 09:51:58 ubuntu dstat.sh[1337]: 22-02 09:51:58|  2   2  45  44   5| 664M  428M  135M 2607M|2984B 1134B|   0  1072k|   0  79.0 | 501  1001 |1.55 1.37 1.34|  0 1.0   0|   0     0 |mysqld               597  1.5%   0    0 |python2              1954   14k 469B0.5%|mysqld       186M|   0     0 |  16    8    0    6    0
Feb 22 09:51:59 ubuntu dstat.sh[1337]: 22-02 09:51:59|  1   3  48  45   3| 664M  428M  136M 2608M|3107B  972B|   0   660k|   0  49.0 | 478   856 |1.58 1.39 1.35|  0 1.0   0|   0     0 |mysqld               597  1.5%   0    0 |python2              1954   14k 461B  0%|mysqld       187M|   0     0 |  16    8    0    6    0
Feb 22 09:52:00 ubuntu dstat.sh[1337]: 22-02 09:52:00|  2   2  43  53   1| 664M  428M  136M 2608M|5024B 1080B|   0   492k|   0  30.0 | 485   817 |1.58 1.39 1.35|  0 1.0   0|   0     0 |beam.smp             1710 0.5%   0    0 |python2              1954   14k 462B  0%|mysqld       187M|   0     0 |  16    8    0    6    0
Feb 22 09:52:01 ubuntu dstat.sh[1337]: 22-02 09:52:01|  2   1  47  49   1| 664M  427M  136M 2608M|3377B 1080B|   0   360k|   0  24.0 | 466   804 |1.58 1.39 1.35|  0 1.0 2.0|   0     0 |mysqld               597  1.0%   0    0 |python2              1954   14k 468B0.5%|mysqld       187M|   0     0 |  16    8    0    6    0
Feb 22 09:52:02 ubuntu dstat.sh[1337]: 22-02 09:52:02|  2   1  48  49   0| 664M  427M  136M 2608M|4483B 1026B|   0    68k|   0  3.00 | 374   658 |1.58 1.39 1.35|  0 2.0   0|   0     0 |beam.smp             1710 0.5%   0    0 |python2              1954   14k 450B  0%|mysqld       187M|   0     0 |  16    8    0    6    0
Feb 22 09:52:03 ubuntu dstat.sh[1337]: 22-02 09:52:03|  2   2  32  64   1| 664M  427M  136M 2608M|3583B 1134B|   0  2252k|   0  49.0 | 473  1009 |1.58 1.39 1.35|  0 1.0   0|   0     0 |mysqld               597  1.0%   0    0 |python2              1954   14k 452B  0%|mysqld       187M|   0     0 |  16    8    0    5    0
Feb 22 09:52:04 ubuntu dstat.sh[1337]: 22-02 09:52:04|  2   1  47  50   0| 664M  426M  136M 2608M|3305B  972B|   0   592k|   0  31.0 | 395   719 |1.54 1.38 1.34|  0 1.0   0|   0     0 |beam.smp             1710 0.5%   0    0 |python2              1954   14k 447B  0%|mysqld       187M|   0     0 |  16    8    0    5    0
Feb 22 09:52:05 ubuntu dstat.sh[1337]: 22-02 09:52:05|  2   2  40  54   2| 664M  426M  136M 2609M|2730B 1174B|   0  1964k|   0  88.0 | 603  1074 |1.54 1.38 1.34|  0 1.0   0|   0     0 |jbd2/vda1-8          305  1.0%   0    0 |python2              1954   14k 452B0.5%|mysqld       187M|   0     0 |  16    8    0    5    0
Feb 22 09:52:06 ubuntu dstat.sh[1337]: 22-02 09:52:06|  2   2  47  47   2| 664M  426M  136M 2609M|6128B  918B|   0   552k|   0  35.0 | 453   822 |1.54 1.38 1.34|  0 1.0   0|   0     0 |mysqld               597  1.0%   0    0 |python2              1954   14k 461B  0%|mysqld       187M|   0     0 |  16    8    0    5    0
Feb 22 09:52:07 ubuntu dstat.sh[1337]: 22-02 09:52:07| 12  12  30  33  14| 665M  425M  136M 2609M|4386B 1026B|   0  1156k|   0  54.0 | 604  1016 |1.54 1.38 1.34|2.0   0   0|   0     0 |mysqld               597   29%   0    0 |python2              1954   14k 463B0.5%|mysqld       188M|   0     0 |  16    8    0    5    0
Feb 22 09:52:08 ubuntu dstat.sh[1337]: 22-02 09:52:08|  2   1  42  48   6| 665M  425M  136M 2609M|8551B  972B|   0   240k|   0  19.0 | 468   923 |1.54 1.38 1.34|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1954   14k 461B  0%|mysqld       188M|   0     0 |  16    8    0    5    0
Feb 22 09:52:09 ubuntu dstat.sh[1337]: 22-02 09:52:09|  1   1  19  78   1| 665M  425M  136M 2609M|3399B 1080B|   0    72k|   0  5.00 | 346   727 |1.49 1.37 1.34|  0 3.0   0|   0     0 |accounts-daemon      942  0.5%   0    0 |python2              1954   14k 460B  0%|mysqld       188M|   0     0 |  16    8    0    5    0
Feb 22 09:52:10 ubuntu dstat.sh[1337]: 22-02 09:52:10|  9   7  38  39   7| 665M  424M  136M 2609M|1974B  972B|   0   636k|   0  65.0 | 635  1304 |1.49 1.37 1.34|1.0 1.0   0|   0     0 |mysqld               597   18%   0    0 |python2              1954   14k 462B0.5%|mysqld       188M|   0     0 |  16    8    0    5    0
Feb 22 09:52:11 ubuntu dstat.sh[1337]: 22-02 09:52:11|  6   7  42  36   9| 666M  424M  136M 2609M|3791B 1080B|   0   852k|   0  83.0 | 638  1562 |1.49 1.37 1.34|  0 1.0 2.0|   0     0 |mysqld               597   10%   0    0 |python2              1954   14k 469B  0%|mysqld       188M|   0     0 |  16    8    0    5    0
Feb 22 09:52:12 ubuntu dstat.sh[1337]: 22-02 09:52:12| 10  11  36  35   7| 666M  423M  136M 2609M|2733B  972B|   0  1340k|   0   117 | 786  1720 |1.49 1.37 1.34|  0 1.0   0|   0     0 |mysqld               597   23%   0    0 |python2              1954   14k 466B  0%|mysqld       189M|   0     0 |  16    8    0    5    0
Feb 22 09:52:13 ubuntu dstat.sh[1337]: 22-02 09:52:13|  8   9  38  35  10| 667M  423M  136M 2609M|3409B  918B|   0   980k|   0  97.0 | 734  1397 |1.49 1.37 1.34|1.0 1.0   0|   0     0 |mysqld               597   19%   0    0 |python2              1954   14k 463B  0%|mysqld       189M|   0     0 |  16    8    0    5    0
Feb 22 09:52:14 ubuntu dstat.sh[1337]: 22-02 09:52:14|  7   8  27  32  25| 667M  422M  137M 2609M|3016B 1080B|   0   928k|   0  85.0 | 801  1233 |1.78 1.43 1.36|2.0 1.0   0|   0     0 |mysqld               597   22%   0    0 |python2              1954   14k 464B0.5%|mysqld       189M|   0     0 |  16    8    0    5    0
Feb 22 09:52:15 ubuntu dstat.sh[1337]: 22-02 09:52:15|  5   4  34  38  18| 667M  422M  137M 2609M|3862B 1026B|   0  1152k|   0  92.0 | 771  1130 |1.78 1.43 1.36|  0 1.0   0|   0     0 |mysqld               597   11%   0    0 |python2              1954   14k 465B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:16 ubuntu dstat.sh[1337]: 22-02 09:52:16| 18  16  13  34  19| 667M  422M  137M 2609M|6754B 2216B|   0   632k|   0  51.0 | 793  1044 |1.78 1.43 1.36|  0 1.0   0|   0     0 |mysqld               597   37%   0    0 |python2              1954   14k 466B0.5%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:17 ubuntu dstat.sh[1337]: 22-02 09:52:17|  5   4  27  56   8| 668M  421M  137M 2609M|3457B 2108B|   0  1420k|   0   123 | 831  1135 |1.78 1.43 1.36|  0 3.0   0|   0     0 |mysqld               597  5.0%   0    0 |python2              1954   14k 465B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:18 ubuntu dstat.sh[1337]: 22-02 09:52:18|  1   1  14  84   1| 668M  421M  137M 2609M|3790B 1080B|   0   384k|   0  42.0 | 330   418 |1.78 1.43 1.36|  0 5.0   0|   0     0 |kworker/u4:0         283430.5%   0    0 |python2              1954   14k 462B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:19 ubuntu dstat.sh[1337]: 22-02 09:52:19|  5   4  16  75   2| 668M  421M  137M 2609M|2944B  972B|   0   540k|   0  53.0 | 392   494 |2.11 1.51 1.39|1.0 2.0   0|   0     0 |mysqld               597  6.0%   0    0 |python2              1954   14k 467B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:20 ubuntu dstat.sh[1337]: 22-02 09:52:20| 15  17  36  32   2| 668M  421M  137M 2609M|2565B  972B|  24k  628k|1.00  44.0 | 559   862 |2.11 1.51 1.39|  0 1.0   0|   0     0 |mysqld               597   28%   0    0 |python2              1954   14k 479B0.5%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:21 ubuntu dstat.sh[1337]: 22-02 09:52:21| 22  23   8  48   0| 668M  420M  137M 2609M|4226B  972B|   0   244k|   0  25.0 | 548   752 |2.11 1.51 1.39|1.0 1.0 2.0|   0     0 |mysqld               597   42%   0    0 |python2              1954   14k 464B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:22 ubuntu dstat.sh[1337]: 22-02 09:52:22|  2   2  36  60   1| 668M  420M  137M 2609M|4683B 1532B|   0   392k|   0  20.0 | 424   843 |2.11 1.51 1.39|  0 1.0   0|   0     0 |mysqld               597  0.5%   0    0 |python2              1954   14k 462B  0%|mysqld       190M|   0     0 |  16    8    0    5    0
Feb 22 09:52:23 ubuntu dstat.sh[1337]: 22-02 09:52:23|  7   6  39  46   1| 668M  420M  137M 2609M|2982B  918B|   0  2896k|   0  36.0 | 425   807 |2.11 1.51 1.39|1.0 1.0   0|   0     0 |mysqld               597   12%   0    0 |python2              1954   14k 468B0.5%|mysqld       191M|   0     0 |  16    8    0    5    0
Feb 22 09:52:24 ubuntu dstat.sh[1337]: 22-02 09:52:24| 15  12  28  45   0| 669M  419M  137M 2609M|3699B 1478B|   0  4932k|   0  93.0 | 697  1008 |2.27 1.55 1.40|  0 2.0   0|   0     0 |mysqld               597   22%   0    0 |python2              1954   14k 456B  0%|mysqld       191M|   0     0 |  16    8    0    5    0
Feb 22 09:52:25 ubuntu dstat.sh[1337]: 22-02 09:52:25|  4   4  43  49   1| 669M  419M  137M 2609M|3287B 3420B|   0   912k|   0  47.0 | 678  1159 |2.27 1.55 1.40|  0 1.0   0|   0     0 |keystone-manage      2754 2.5%5657B3427B|python2              1954   14k 463B  0%|mysqld       191M|   0     0 |  16    8    0    5    0
Feb 22 09:52:26 ubuntu dstat.sh[1337]: 22-02 09:52:26|  3   5  50  43   1| 670M  353M  137M 2673M|2186B 1422B|   0    11M|   0  39.0 | 471   769 |2.27 1.55 1.40|  0 2.0   0|   0     0 |mysqld               597  3.5%   0    0 |python2              1954   14k 464B0.5%|mysqld       192M|   0     0 |  16    8    0    5    0
Feb 22 09:52:27 ubuntu dstat.sh[1337]: 22-02 09:52:27|  2   1  36  62   0| 670M  352M  137M 2673M|3285B 1080B|   0    25M|   0  27.0 | 335   515 |2.27 1.55 1.40|  0 2.0   0|   0     0 |                                        |python2              1954   14k 454B  0%|mysqld       192M|   0     0 |  16    8    0    5    0
Feb 22 09:52:28 ubuntu dstat.sh[1337]: 22-02 09:52:28|  1   1  43  55   0| 670M  352M  137M 2673M|3006B 1080B|   0    28M|   0  29.0 | 515  1927 |2.27 1.55 1.40|  0 1.0   0|   0     0 |etcd                 2448 0.5%   0    0 |python2              1954   14k 455B  0%|mysqld       192M|   0     0 |  16    8    0    5    0
Feb 22 09:52:29 ubuntu dstat.sh[1337]: 22-02 09:52:29|  1   1  48  49   1| 670M  352M  137M 2674M|3297B  972B|   0  4124k|   0  59.0 | 388   882 |2.24 1.56 1.40|  0 2.0   0|   0     0 |mysqld               597  1.0%   0    0 |python2              1954   14k 468B0.5%|mysqld       192M|   0     0 |  16    8    0    5    0
Feb 22 09:52:30 ubuntu dstat.sh[1337]: 22-02 09:52:30|  2   2  45  51   0| 670M  352M  137M 2674M|3856B 1080B|   0  1892k|   0  84.0 | 496   929 |2.24 1.56 1.40|  0 1.0   0|   0     0 |beam.smp             1710 1.0%   0    0 |python2              1954   14k 453B  0%|mysqld       192M|   0     0 |  16    8    0    5    0
Feb 22 09:52:31 ubuntu dstat.sh[1337]: 22-02 09:52:31|  3   2  45  50   1| 670M  351M  137M 2674M|5136B 1080B|   0   788k|   0  52.0 | 538   933 |2.24 1.56 1.40|  0 1.0 2.0|   0     0 |jbd2/vda1-8          305  0.5%   0    0 |python2              1954   14k 468B  0%|mysqld       192M|   0     0 |  16    8    0    3    0
Feb 22 09:52:32 ubuntu dstat.sh[1337]: 22-02 09:52:32|  2   2  38  56   3| 670M  351M  137M 2674M|5901B  972B|   0   600k|   0  37.0 | 447   779 |2.24 1.56 1.40|1.0 2.0   0|   0     0 |mysqld               597  1.5%   0    0 |python2              1954   14k 461B1.0%|mysqld       192M|   0     0 |  16    8    0    3    0
Feb 22 09:52:33 ubuntu dstat.sh[1337]: 22-02 09:52:33|  4   3  47  44   3| 670M  351M  137M 2674M|5209B 1314B|   0   872k|   0  62.0 | 586  1013 |2.24 1.56 1.40|  0 1.0   0|   0     0 |mysqld               597  1.5%   0    0 |python2              1954   14k 463B0.5%|mysqld       192M|   0     0 |  16    8    0    3    0
Feb 22 09:52:34 ubuntu dstat.sh[1337]: 22-02 09:52:34|  2   1  42  54   2| 671M  351M  137M 2674M|3519B 1026B|   0   224k|   0  17.0 | 305   609 |2.14 1.55 1.40|  0 1.0   0|   0     0 |accounts-daemon      942  1.0%   0    0 |python2              1954   14k 462B0.5%|mysqld       192M|   0     0 |  16    8    0    3    0
