"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","23 Feb 2020 19:29:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
23-02 19:29:28,9.797,3.243,69.085,16.053,1.822,470810624,729116672,141156352,2563010560,0,0,101343.695,1648179.192,4.999,19.252,474.452,803.227,1.750,1.380,1.250,2,1,15.808,0,0,14,3,0,4,0
23-02 19:29:29,13.364,19.816,21.659,22.120,23.041,469778432,729710592,141168640,2563178496,4750,1944,221184,29179904,3,37,758,1818,1.750,1.380,1.250,1,0,189,0,0,14,3,0,4,0
23-02 19:29:30,16.505,22.816,29.612,0,31.068,471568384,727744512,141168640,2563391488,6183,2106,0,16384,0,4,1005,2849,1.750,1.380,1.250,1,0,164,0,0,14,3,0,4,0
23-02 19:29:31,11.628,24.186,33.953,0,30.233,470224896,728899584,141168640,2563448832,5501,1998,0,16384,0,4,958,2210,1.750,1.380,1.250,4,0,181,0,0,14,3,0,4,0
23-02 19:29:32,25.854,23.415,29.756,0,20.976,511803392,687058944,141168640,2603270144,4264,1944,0,0,0,0,1618,4467,1.850,1.410,1.260,1,0,78,0,0,16,3,0,4,0
23-02 19:29:33,8.219,23.744,46.575,0,21.461,602296320,596385792,141168640,2691485696,4784,2160,0,0,0,0,1213,2664,1.850,1.410,1.260,1,0,225,0,0,16,5,0,4,0
23-02 19:29:34,25.714,13.333,40,1.905,19.048,613232640,585375744,141176832,2691514368,4962,1782,0,180224,0,2,808,1372,1.850,1.410,1.260,1,0,74,0,0,16,5,0,6,0
23-02 19:29:35,21.393,4.478,44.776,24.876,4.478,626589696,571183104,141176832,2692280320,6854,2322,708608,0,51,0,672,867,1.850,1.410,1.260,2,0,0,0,0,16,5,0,7,0
23-02 19:29:36,38.424,2.956,46.798,7.882,3.941,645009408,552263680,141176832,2692734976,4684,1944,376832,0,40,0,583,816,1.850,1.410,1.260,1,0,0,0,0,16,5,0,6,0
23-02 19:29:37,34.158,4.455,44.059,11.881,5.446,664608768,531505152,141189120,2693705728,10454,1878,638976,0,44,0,678,991,2.020,1.450,1.280,1,0,0,0,0,16,5,0,6,0
23-02 19:29:38,30.457,9.137,35.025,22.843,2.538,678014976,516874240,141299712,2694623232,5502,2052,139264,12288,12,1,916,1464,2.020,1.450,1.280,0,3,0,0,0,16,7,0,6,0
23-02 19:29:39,11.616,4.040,43.434,38.889,2.020,687816704,506527744,141443072,2695016448,5155,2160,0,2232320,0,86,851,1454,2.020,1.450,1.280,1,0,0,0,0,16,7,0,6,0
23-02 19:29:40,3.518,1.005,45.729,48.744,1.005,688123904,505954304,141541376,2695180288,5115,2160,0,802816,0,58,592,993,2.020,1.450,1.280,0,1,0,0,0,16,7,0,6,0
23-02 19:29:41,2.564,2.051,47.692,46.154,1.538,688398336,505040896,141692928,2695639040,6564,2160,0,1683456,0,114,705,1322,2.020,1.450,1.280,0,1,0,0,0,16,7,0,6,0
23-02 19:29:42,3.015,1.508,47.236,47.739,0.503,688914432,504061952,141864960,2695905280,5183,2052,0,1404928,0,103,724,1264,2.100,1.480,1.290,0,1,0,0,0,16,7,0,6,0
23-02 19:29:43,6.061,5.556,43.434,39.899,5.051,689672192,502890496,142069760,2696110080,5753,2052,0,1294336,0,100,852,1521,2.100,1.480,1.290,1,0,2,0,0,16,7,0,6,0
23-02 19:29:44,8.416,7.426,29.703,49.505,4.950,690180096,502157312,142221312,2696183808,5202,1944,0,3416064,0,145,848,1672,2.100,1.480,1.290,1,0,0,0,0,16,7,0,6,0
23-02 19:29:45,7.538,8.543,46.734,33.668,3.518,690733056,501334016,142409728,2696265728,5252,2106,0,1200128,0,117,810,1897,2.100,1.480,1.290,0,1,0,0,0,16,7,0,6,0
23-02 19:29:46,9.360,9.852,36.453,37.438,6.897,691306496,500473856,142569472,2696392704,5991,1984,0,1167360,0,101,703,1356,2.100,1.480,1.290,3,1,0,0,0,16,7,0,6,0
23-02 19:29:47,10.101,11.111,30.303,45.960,2.525,691781632,499810304,142774272,2696372224,4384,2052,0,1536000,0,136,800,1777,2.010,1.470,1.280,0,1,0,0,0,16,7,0,6,0
23-02 19:29:48,7.882,8.867,34.483,44.828,3.941,692252672,499175424,142893056,2696417280,5454,1944,0,1302528,0,107,755,1533,2.010,1.470,1.280,0,1,0,0,0,16,7,0,6,0
23-02 19:29:49,5.473,3.483,40.796,43.781,6.468,692584448,498794496,142966784,2696392704,5118,2160,0,897024,0,100,685,1635,2.010,1.470,1.280,0,2,0,0,0,16,7,0,6,0
23-02 19:29:50,2.010,1.005,18.090,76.884,2.010,692461568,498892800,142970880,2696413184,6591,1944,0,1146880,0,124,533,721,2.010,1.470,1.280,0,3,0,0,0,16,7,0,6,0
23-02 19:29:51,7.538,7.035,35.176,43.216,7.035,693297152,497807360,143126528,2696503296,4644,1944,0,1347584,0,102,703,1394,2.010,1.470,1.280,2,0,0,0,0,16,7,0,6,0
23-02 19:29:52,6.404,5.419,41.872,39.901,6.404,693350400,497590272,143278080,2696515584,5852,1944,0,1118208,0,78,772,1543,2.010,1.480,1.290,0,1,0,0,0,16,7,0,6,0
23-02 19:29:53,5.825,6.311,42.718,32.039,13.107,695054336,426692608,143376384,2763771904,6794,1944,0,29491200,0,84,889,1906,2.010,1.480,1.290,0,1,2,0,0,16,7,0,6,0
23-02 19:29:54,1.020,1.020,48.469,45.408,4.082,694919168,426823680,143376384,2763776000,3979,1944,0,35651584,0,34,370,658,2.010,1.480,1.290,0,1,0,0,0,16,7,0,6,0
23-02 19:29:55,1.485,1.980,44.554,48.515,3.465,694800384,425996288,143470592,2764623872,5077,1944,0,7712768,0,59,487,1162,2.010,1.480,1.290,0,1,0,0,0,16,7,0,5,0
23-02 19:29:56,2.488,0.498,20.398,75.124,1.493,694902784,425897984,143478784,2764591104,5356,1944,0,3231744,0,105,424,601,2.010,1.480,1.290,0,2,0,0,0,16,7,0,5,0
23-02 19:29:57,1.508,1.508,12.060,81.910,3.015,695001088,425799680,143503360,2764566528,5033,1944,0,1097728,0,28,382,694,2.090,1.510,1.300,0,1,0,0,0,16,7,0,5,0
