-- Logs begin at Thu 2020-02-20 19:29:43 UTC, end at Thu 2020-02-20 22:35:27 UTC. --
Feb 20 22:02:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 20 22:02:51 ubuntu dstat.sh[1531]: [286B blob data]
Feb 20 22:02:51 ubuntu dstat.sh[1531]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 20 22:02:51 ubuntu dstat.sh[1531]: 20-02 22:02:51|  5   2  87   5   0| 458M  614M  134M 2515M|   0     0 |  48k  865k|2.23  10.2 | 298   427 |1.23 1.20 1.07|1.0   0 7.2|   0     0 |systemd              1    0.1%   0    0 |bash                 4719  686k 630k0.1%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 22:02:52 ubuntu dstat.sh[1531]: 20-02 22:02:52| 18  36  33   6   6| 458M  613M  134M 2516M|6021B 3024B| 984k  128k|10.0  7.00 |1613  3362 |1.37 1.23 1.09|1.0   0 332|   0     0 |bash                 4719 7.0%1071k  21k|bash                 4719 1071k  21k7.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 22:02:53 ubuntu dstat.sh[1531]: 20-02 22:02:53| 17  37  36   0   9| 462M  609M  134M 2516M|7632B 3186B|   0    24k|   0  6.00 |1634  3848 |1.37 1.23 1.09|2.0   0 241|   0     0 |bash                 4719 4.5%1797k  15k|bash                 4719 1797k  15k4.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 22:02:54 ubuntu dstat.sh[1531]: 20-02 22:02:54| 20  30  40   0  11| 458M  612M  134M 2517M|5278B 2916B|   0    16k|   0  4.00 |1317  2610 |1.37 1.23 1.09|3.0   0 183|   0     0 |systemd              1     13%   0    0 |bash                 4719 1418k  13k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 20 22:02:55 ubuntu dstat.sh[1531]: 20-02 22:02:55| 30  25  43   0   3| 583M  487M  134M 2639M|6382B 2862B|   0     0 |   0     0 |1815  6702 |1.37 1.23 1.09|  0   0  80|   0     0 |systemd              1     22%   0    0 |bash                 4719  232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 20 22:02:56 ubuntu dstat.sh[1531]: 20-02 22:02:56| 11  25  44  13   7| 584M  487M  134M 2639M|6545B 3240B|   0   312k|   0  29.0 |1494  2634 |1.37 1.23 1.09|1.0 6.0 240|   0     0 |bash                 4719 5.5% 410k  13k|bash                 4719  410k  13k5.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 20 22:02:57 ubuntu dstat.sh[1531]: 20-02 22:02:57|  6   7   0  85   3| 584M  486M  134M 2639M|5613B 2970B|   0  1060k|   0  87.0 | 668  1105 |1.98 1.36 1.13|2.0 2.0  53|   0     0 |bash                 4719 1.5% 185k4589B|bash                 4719  185k4589B1.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:02:58 ubuntu dstat.sh[1531]: 20-02 22:02:58| 39   7  26  25   2| 605M  465M  134M 2639M|6127B 3240B| 156k  396k|6.00  17.0 | 749   873 |1.98 1.36 1.13|1.0   0 6.0|   0     0 |keystone-manage      2938  43%5168k  81k|keystone-manage      2938 5162k  81k 43%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:02:59 ubuntu dstat.sh[1531]: 20-02 22:02:59|  4   2  30  64   1| 606M  464M  134M 2639M|7063B 2916B| 244k 1648k|26.0  27.0 | 496   763 |1.98 1.36 1.13|1.0 1.0   0|   0     0 |keystone-manage      2938 3.0% 175k   0 |keystone-manage      2938  175k   0 3.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:03:00 ubuntu dstat.sh[1531]: 20-02 22:03:00|  8   2  40  49   0| 608M  461M  134M 2639M|7193B 3334B|  96k  820k|12.0  24.0 | 494   746 |1.98 1.36 1.13|  0 1.0   0|   0     0 |keystone-manage      2938 6.5% 459k   0 |keystone-manage      2938  459k   0 6.5%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:03:01 ubuntu dstat.sh[1531]: 20-02 22:03:01|  5   2  47  46   0| 610M  459M  134M 2639M|7980B 3240B| 196k    0 |24.0     0 | 481   769 |1.98 1.36 1.13|  0 1.0   0|   0     0 |keystone-manage      2938 4.0% 425k   0 |keystone-manage      2938  425k   0 4.0%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:03:02 ubuntu dstat.sh[1531]: 20-02 22:03:02| 23   3  47  27   0| 625M  444M  134M 2640M|5753B 3240B| 168k    0 |15.0     0 | 550   786 |1.91 1.35 1.13|  0 1.0   0|   0     0 |keystone-manage      2938  23%3574k  46k|keystone-manage      2938 3574k  46k 23%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:03:03 ubuntu dstat.sh[1531]: 20-02 22:03:03| 31   4  44  21   1| 634M  434M  134M 2640M|  12k 3240B| 580k  404k|43.0  2.00 | 683   811 |1.91 1.35 1.13|1.0   0   0|   0     0 |keystone-manage      2938  33%2461k 107k|keystone-manage      2938 2461k 107k 33%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 20 22:03:04 ubuntu dstat.sh[1531]: 20-02 22:03:04| 39   8  45   9   0| 654M  413M  134M 2641M|  11k 3240B| 184k    0 |14.0     0 | 732   978 |1.91 1.35 1.13|2.0   0   0|   0     0 |keystone-manage      2938  40%4908k 438k|keystone-manage      2938 4908k 438k 40%|mysqld       173M|   0     0 |  16    7    0    7    0
Feb 20 22:03:05 ubuntu dstat.sh[1531]: 20-02 22:03:05| 20  11  35  34   1| 666M  400M  134M 2642M|7921B 3240B|   0  1964k|   0  39.0 | 707  1636 |1.91 1.35 1.13|  0 1.0   0|   0     0 |python2              2313  14%  94k 103k|python3.6            8655   83k 174k2.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 20 22:03:06 ubuntu dstat.sh[1531]: 20-02 22:03:06|  2   2  49  45   1| 666M  400M  134M 2642M|5394B 2916B|   0  1036k|   0  70.0 | 686  1102 |1.91 1.35 1.13|  0 1.0   0|   0     0 |mysqld               786  1.5%   0    0 |python2              1650   14k 464B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 20 22:03:07 ubuntu dstat.sh[1531]: 20-02 22:03:07|  3   2  47  48   1| 667M  399M  134M 2642M|6751B 3240B|   0  1296k|   0  95.0 | 679  1347 |1.99 1.38 1.14|  0 1.0 2.0|   0     0 |keystone-manage      2938 1.0%   0    0 |python2              1650   14k 476B  0%|mysqld       186M|   0     0 |  16    7    0    7    0
Feb 20 22:03:08 ubuntu dstat.sh[1531]: 20-02 22:03:08|  4   2  47  47   1| 667M  398M  134M 2642M|5688B 3240B|   0  1012k|   0  76.0 | 627  1115 |1.99 1.38 1.14|  0 1.0   0|   0     0 |conntrackd           172951.5%   0    0 |python2              1650   14k 469B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:09 ubuntu dstat.sh[1531]: 20-02 22:03:09|  3   3  47  45   2| 667M  398M  134M 2642M|4913B 2916B|   0  1012k|   0  67.0 | 600  1068 |1.99 1.38 1.14|  0 1.0   0|   0     0 |mysqld               786  1.5%   0    0 |python2              1650   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:10 ubuntu dstat.sh[1531]: 20-02 22:03:10|  3   3  47  45   3| 668M  397M  134M 2643M|7754B 2916B|   0   752k|   0  56.0 | 565   958 |1.99 1.38 1.14|  0 1.0   0|   0     0 |jbd2/vda1-8          290  1.0%   0    0 |python2              1650   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:11 ubuntu dstat.sh[1531]: 20-02 22:03:11|  3   2  50  44   2| 668M  397M  134M 2643M|6788B 3240B|   0   620k|   0  54.0 | 619  1135 |1.99 1.38 1.14|  0 1.0   0|   0     0 |etcd                 2625 1.5%   0    0 |python2              1650   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:12 ubuntu dstat.sh[1531]: 20-02 22:03:12|  2   1  50  47   1| 668M  397M  134M 2643M|5326B 2916B|   0    56k|   0  3.00 | 328   659 |1.99 1.39 1.14|  0 1.0   0|   0     0 |python2              1650 0.5%  14k 460B|python2              1650   14k 460B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:13 ubuntu dstat.sh[1531]: 20-02 22:03:13| 11  10  46  34   0| 668M  396M  134M 2644M|5709B 3240B|   0  2016k|   0  9.00 | 431   962 |1.99 1.39 1.14|1.0 3.0   0|   0     0 |mysqld               786   18%   0    0 |python2              1650   14k 458B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:14 ubuntu dstat.sh[1531]: 20-02 22:03:14| 24  29   2  46   0| 668M  396M  134M 2644M|5266B 2916B|   0   176k|   0  6.00 | 632   679 |1.99 1.39 1.14|1.0 1.0   0|   0     0 |mysqld               786   50%   0    0 |python2              1650   14k 458B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:15 ubuntu dstat.sh[1531]: 20-02 22:03:15| 26  27   0  47   0| 668M  396M  134M 2644M|6090B 3240B|   0     0 |   0     0 | 646   711 |1.99 1.39 1.14|1.0 2.0   0|   0     0 |mysqld               786   50%   0    0 |python2              1650   14k 433B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:16 ubuntu dstat.sh[1531]: 20-02 22:03:16| 27  26   0  47   1| 668M  396M  134M 2644M|5965B 3240B|   0   348k|   0  68.0 | 784   720 |1.99 1.39 1.14|1.0 2.0   0|   0     0 |mysqld               786   50%   0    0 |python2              1650   14k 459B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:17 ubuntu dstat.sh[1531]: 20-02 22:03:17| 25  28   2  46   1| 668M  395M  134M 2644M|5068B 2916B|   0  1452k|   0   108 | 854   782 |2.07 1.42 1.15|1.0 1.0 2.0|   0     0 |mysqld               786   50%   0    0 |python2              1650   14k 471B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:18 ubuntu dstat.sh[1531]: 20-02 22:03:18| 28  25   0  47   0| 668M  395M  134M 2644M|5606B 2916B|   0  1232k|   0  27.0 | 681   742 |2.07 1.42 1.15|1.0 1.0   0|   0     0 |mysqld               786   50%   0    0 |python2              1650   14k 450B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:19 ubuntu dstat.sh[1531]: 20-02 22:03:19| 25  24   3  46   1| 668M  395M  135M 2644M|6143B 2916B|   0  1688k|   0  78.0 | 862  1030 |2.07 1.42 1.15|  0 1.0   0|   0     0 |mysqld               786   45%   0    0 |python2              1650   14k 465B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 20 22:03:20 ubuntu dstat.sh[1531]: 20-02 22:03:20| 10   9  39  42   1| 669M  395M  135M 2644M|8981B 3240B|   0  1020k|   0   109 | 988  1846 |2.07 1.42 1.15|1.0 1.0   0|   0     0 |mysqld               786   15%   0    0 |python2              1650   14k 465B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Feb 20 22:03:21 ubuntu dstat.sh[1531]: 20-02 22:03:21| 16  13  32  39   1| 669M  394M  135M 2644M|6748B 2916B|   0   928k|   0  98.0 |1036  1787 |2.07 1.42 1.15|  0 2.0   0|   0     0 |mysqld               786   24%   0    0 |python2              1650   14k 473B0.5%|mysqld       188M|   0     0 |  16    7    0    6    0
Feb 20 22:03:22 ubuntu dstat.sh[1531]: 20-02 22:03:22|  7   7  39  47   1| 670M  393M  135M 2644M|5274B 2592B|   0   816k|   0  75.0 | 692  1103 |2.07 1.43 1.16|  0 2.0   0|   0     0 |mysqld               786   11%   0    0 |python2              1650   14k   0 0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 20 22:03:23 ubuntu dstat.sh[1531]: 20-02 22:03:23| 12   7  41  42   0| 670M  393M  135M 2644M|9952B 3240B|   0  1108k|   0  88.0 | 810  1144 |2.07 1.43 1.16|  0 1.0   0|   0     0 |mysqld               786   13%   0    0 |python2              1650   14k 918B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 20 22:03:24 ubuntu dstat.sh[1531]: 20-02 22:03:24|  9   9  40  43   1| 670M  393M  135M 2644M|6207B 2916B|   0  1060k|   0   103 | 899  1591 |2.07 1.43 1.16|  0 1.0   0|   0     0 |mysqld               786   14%   0    0 |python2              1650   14k 471B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 20 22:03:25 ubuntu dstat.sh[1531]: 20-02 22:03:25| 16  16  27  41   0| 671M  392M  135M 2644M|5239B 2916B|   0  1120k|   0  90.0 | 908  1342 |2.07 1.43 1.16|  0 1.0   0|   0     0 |mysqld               786   29%   0    0 |python2              1650   14k 456B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 20 22:03:26 ubuntu dstat.sh[1531]: 20-02 22:03:26|  9   3  46  43   1| 671M  391M  136M 2644M|8770B 3132B|   0  1112k|   0  81.0 | 776  1856 |2.07 1.43 1.16|  0 1.0   0|   0     0 |mysqld               786  4.0%   0    0 |python2              1650   14k 464B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Feb 20 22:03:27 ubuntu dstat.sh[1531]: 20-02 22:03:27| 12  12  31  44   1| 672M  390M  136M 2644M|9751B 3024B|   0  1276k|   0  96.0 | 914  1664 |2.14 1.46 1.17|  0 1.0 2.0|   0     0 |mysqld               786   20%   0    0 |python2              1650   14k 473B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Feb 20 22:03:28 ubuntu dstat.sh[1531]: 20-02 22:03:28|  9   7  41  41   2| 672M  390M  136M 2644M|8412B 2916B|   0  1388k|   0  99.0 |1112  2040 |2.14 1.46 1.17|  0 1.0   0|   0     0 |mysqld               786  9.5%   0    0 |python2              1650   14k 465B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Feb 20 22:03:29 ubuntu dstat.sh[1531]: 20-02 22:03:29|  3   5  47  44   0| 673M  323M  136M 2708M|6217B 3282B|   0    14M|   0  39.0 | 555   987 |2.14 1.46 1.17|  0 1.0   0|   0     0 |mysqld               786  4.0%   0    0 |python2              1650   14k 470B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Feb 20 22:03:30 ubuntu dstat.sh[1531]: 20-02 22:03:30|  1   1  48  50   0| 673M  323M  136M 2708M|7019B 3240B|   0    20M|   0  20.0 | 439   761 |2.14 1.46 1.17|  0 1.0   0|   0     0 |etcd                 2625 0.5%   0    0 |python2              1650   14k 454B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Feb 20 22:03:31 ubuntu dstat.sh[1531]: 20-02 22:03:31|  1   1  48  50   0| 673M  323M  136M 2708M|7070B 3240B|   0    31M|   0  37.0 | 414   796 |2.14 1.46 1.17|  0 1.0   0|   0     0 |ksoftirqd/1          16   0.5%   0    0 |python2              1650   14k 153B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Feb 20 22:03:32 ubuntu dstat.sh[1531]: 20-02 22:03:32|  3   1  46  50   0| 673M  323M  136M 2708M|5272B 2916B|   0   368k|   0  25.0 | 428   862 |2.13 1.47 1.17|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              1650   14k 749B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Feb 20 22:03:33 ubuntu dstat.sh[1531]: 20-02 22:03:33|  3   1  49  47   1| 673M  323M  136M 2708M|6512B 3240B|   0   388k|   0  23.0 | 480   936 |2.13 1.47 1.17|  0 1.0   0|   0     0 |dockerd              168371.0%   0    0 |python2              1650   14k 450B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
