"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Feb 2020 15:59:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-02 15:59:43,13.001,3.784,54.281,26.638,2.295,481419264,534028288,118419456,2758033408,0,0,147868.187,2630568.226,7.733,27.285,617.541,1072.881,1.470,1.460,1.360,2,0,18.492,0,0,14,3,0,4,0
19-02 15:59:44,21.226,25,33.019,7.075,13.679,482205696,532742144,118427648,2758311936,5660,3132,233472,163840,3,12,1185,2789,1.470,1.460,1.360,4,0,296,0,0,14,3,0,4,0
19-02 15:59:45,14.286,20.197,38.916,15.764,10.837,481828864,533061632,118427648,2758336512,6578,2916,0,4096,0,1,864,2412,1.470,1.460,1.360,0,1,116,0,0,14,3,0,4,0
19-02 15:59:46,14.213,20.305,43.655,18.782,3.046,482762752,532099072,118427648,2758352896,8839,3186,0,16384,0,4,1540,3980,1.470,1.460,1.360,2,0,128,0,0,14,3,0,4,0
19-02 15:59:47,19.212,24.631,50.739,0,5.419,613388288,400945152,118427648,2886533120,6386,2970,0,331776,0,1,1450,4066,1.470,1.460,1.360,2,0,140,0,0,16,5,0,4,0
19-02 15:59:48,24.390,20.488,43.902,0,11.220,625197056,389038080,118427648,2886631424,7515,3240,0,0,0,0,1225,2542,1.430,1.450,1.350,1,0,206,0,0,16,5,0,6,0
19-02 15:59:49,40.887,5.911,43.842,7.389,1.970,649375744,364433408,118562816,2886807552,6622,2916,233472,184320,38,2,643,921,1.430,1.450,1.350,1,0,2,0,0,16,5,0,6,0
19-02 15:59:50,27.638,1.508,46.734,22.111,2.010,658255872,355295232,118562816,2886991872,7104,2916,151552,0,17,0,624,761,1.430,1.450,1.350,0,1,0,0,0,16,5,0,6,0
19-02 15:59:51,23.383,1.990,45.771,26.368,2.488,671485952,341356544,118562816,2887626752,6599,3186,434176,0,24,0,623,899,1.430,1.450,1.350,1,0,0,0,0,16,5,0,6,0
