-- Logs begin at Tue 2020-02-25 10:57:02 UTC, end at Tue 2020-02-25 13:11:18 UTC. --
Feb 25 11:45:54 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 25 11:45:54 ubuntu dstat.sh[526]: [286B blob data]
Feb 25 11:45:54 ubuntu dstat.sh[526]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 25 11:45:54 ubuntu dstat.sh[526]: 25-02 11:45:54| 15   4  56  22   2| 449M  605M  140M 2525M|   0     0 | 158k 2470k|7.33  30.7 | 718  1297 |1.02 1.18 1.21|2.0   0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3387 2146k1969k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 11:45:55 ubuntu dstat.sh[526]: 25-02 11:45:55| 23  35  28  12   2| 451M  603M  140M 2526M|5332B 1944B| 264k   37M|4.00  59.0 |1624  4177 |1.02 1.18 1.20|2.0 1.0 436|   0     0 |bash                 3387 7.5%1567k  28k|bash                 3387 1567k  28k7.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 11:45:56 ubuntu dstat.sh[526]: 25-02 11:45:56| 28  33  39   0   1| 449M  605M  140M 2526M|3602B 1944B|   0  3956k|   0  16.0 |1921  6039 |1.02 1.18 1.20|2.0   0 289|   0     0 |systemd              1     11%   0    0 |bash                 3387 2142k  18k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 11:45:57 ubuntu dstat.sh[526]: 25-02 11:45:57| 29  31  35   0   5| 574M  479M  140M 2648M|4600B 1944B|   0  8192B|   0  2.00 |2651  8097 |1.02 1.18 1.20|1.0   0 148|   0     0 |systemd              1     20%   0    0 |bash                 3387  860k5723B1.0%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 25 11:45:58 ubuntu dstat.sh[526]: 25-02 11:45:58|  8  12  74   0   5| 574M  479M  140M 2648M|5206B 1728B|   0     0 |   0     0 | 853  1813 |1.02 1.18 1.20|1.0   0 144|   0     0 |bash                 3387 3.0% 290k7464B|bash                 3387  290k7464B3.0%|mysqld       173M|   0     0 |  16    5    0    5    0
Feb 25 11:45:59 ubuntu dstat.sh[526]: 25-02 11:45:59| 35  16  45   0   4| 587M  466M  140M 2648M|5401B 1944B|   0     0 |   0     0 | 996  1999 |1.02 1.18 1.20|1.0   0 153|   0     0 |keystone-manage      1951  31%3080k  81k|keystone-manage      1951 3080k  81k 31%|mysqld       173M|   0     0 |  16    5    0    7    0
Feb 25 11:46:00 ubuntu dstat.sh[526]: 25-02 11:46:00| 18   1  33  45   2| 597M  456M  140M 2649M|6179B 1782B| 664k  400k|46.0  34.0 | 615   794 |1.02 1.17 1.20|  0 2.0   0|   0     0 |keystone-manage      1951  17%2376k   0 |keystone-manage      1951 2376k   0  17%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 11:46:01 ubuntu dstat.sh[526]: 25-02 11:46:01|  1   1   0  98   0| 597M  455M  140M 2649M|5695B 2106B|   0    28k|   0  6.00 | 266   545 |1.02 1.17 1.20|  0 3.0   0|   0     0 |conntrackd           160060.5%   0    0 |python2              603    14k   0   0%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 11:46:02 ubuntu dstat.sh[526]: 25-02 11:46:02|  9   1  13  78   0| 601M  451M  140M 2649M|6013B 1944B| 196k  680k|26.0  56.0 | 502   672 |1.02 1.17 1.20|  0 1.0   0|   0     0 |keystone-manage      1951 7.0% 764k   0 |keystone-manage      1951  764k   0 7.0%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 11:46:03 ubuntu dstat.sh[526]: 25-02 11:46:03| 37   4  46   9   3| 619M  433M  140M 2650M|6648B 1770B| 752k    0 |58.0     0 | 638   773 |1.02 1.17 1.20|1.0   0   0|   0     0 |keystone-manage      1951  42%4604k  46k|keystone-manage      1951 4604k  46k 42%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 11:46:04 ubuntu dstat.sh[526]: 25-02 11:46:04| 43   5  47   4   2| 644M  406M  140M 2651M|5910B 1944B| 208k    0 |17.0     0 | 613   746 |1.02 1.17 1.20|3.0   0   0|   0     0 |keystone-manage      1951  47%6241k 517k|keystone-manage      1951 6241k 517k 47%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 11:46:05 ubuntu dstat.sh[526]: 25-02 11:46:05| 24  12  34  26   4| 657M  392M  141M 2651M|5985B 1836B|   0  2396k|   0   102 |1225  2056 |1.18 1.20 1.21|  0 1.0   0|   0     0 |python2              1676  15% 111k 121k|python3.6            7323  111k 231k1.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 25 11:46:06 ubuntu dstat.sh[526]: 25-02 11:46:06|  3   4  47  43   4| 658M  391M  141M 2652M|4730B 1836B|   0  1972k|   0   146 | 964  1494 |1.18 1.20 1.21|  0 1.0   0|   0     0 |mysqld               322622.5%   0    0 |python2              603    28k 945B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
