-- Logs begin at Mon 2020-02-24 18:12:16 UTC, end at Tue 2020-02-25 10:41:20 UTC. --
Feb 25 09:48:46 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Feb 25 09:48:47 ubuntu dstat.sh[13495]: [286B blob data]
Feb 25 09:48:47 ubuntu dstat.sh[13495]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Feb 25 09:48:47 ubuntu dstat.sh[13495]: 25-02 09:48:47|  1   0  97   2   0| 454M  519M  110M 2620M|   0     0 |  10k  165k|0.63  1.77 |  92   109 |2.34 1.57 1.38|2.0   0 1.4|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 16086 115k 106k0.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 09:48:48 ubuntu dstat.sh[13495]: 25-02 09:48:48| 19  37  34   5   4| 451M  522M  110M 2621M|6091B 2052B| 228k  120k|3.00  8.00 |1538  3411 |2.34 1.57 1.38|2.0   0 364|   0     0 |bash                 160866.5%1205k  23k|bash                 160861205k  23k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 09:48:49 ubuntu dstat.sh[13495]: 25-02 09:48:49| 20  29  40   0  11| 452M  520M  110M 2621M|4260B 1944B|   0   264k|   0  7.00 |1221  3637 |2.34 1.57 1.38|1.0   0 213|   0     0 |systemd              1    6.0%   0    0 |bash                 160861669k  13k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 09:48:50 ubuntu dstat.sh[13495]: 25-02 09:48:50| 18  27  35   0  19| 459M  513M  110M 2621M|6346B 1782B|   0    16k|   0  4.00 |1171  3522 |2.34 1.57 1.38| 14   0 203|   0     0 |systemd              1    6.5%   0    0 |bash                 160861418k  13k4.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Feb 25 09:48:51 ubuntu dstat.sh[13495]: 25-02 09:48:51| 25  22  51   0   2| 576M  396M  110M 2743M|5325B 2052B|   0     0 |   0     0 |1752  5509 |2.34 1.57 1.38|  0   0  56|   0     0 |systemd              1     19%   0    0 |bash                 16086 232k 656B0.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Feb 25 09:48:52 ubuntu dstat.sh[13495]: 25-02 09:48:52|  8  18  62   0  13| 576M  396M  110M 2743M|4832B 1998B|   0     0 |   0     0 | 907  1916 |2.39 1.60 1.39|1.0   0 175|   0     0 |bash                 160864.0% 328k9562B|bash                 16086 328k9562B4.0%|mysqld       173M|   0     0 |  16    5    0    4    0
Feb 25 09:48:53 ubuntu dstat.sh[13495]: 25-02 09:48:53| 27  17  41   1  13| 587M  384M  110M 2743M|5630B 1944B|   0   108k|   0  2.00 | 902  1730 |2.39 1.60 1.39|1.0   0 122|   0     0 |keystone-manage      14910 24%2265k  81k|keystone-manage      149102265k  81k 24%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 09:48:54 ubuntu dstat.sh[13495]: 25-02 09:48:54| 38   5  47   8   1| 604M  367M  110M 2743M|3958B 1728B| 228k    0 |38.0     0 | 488   785 |2.39 1.60 1.39|1.0   0   0|   0     0 |keystone-manage      14910 42%4550k  46k|keystone-manage      149104550k  46k 42%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 09:48:55 ubuntu dstat.sh[13495]: 25-02 09:48:55| 40   5  44   6   6| 622M  348M  110M 2744M|6141B 1836B| 548k    0 |38.0     0 | 577   838 |2.39 1.60 1.39|  0 1.0   0|   0     0 |keystone-manage      14910 43%4334k  34k|keystone-manage      149104334k  34k 43%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 09:48:56 ubuntu dstat.sh[13495]: 25-02 09:48:56| 22   4  33  19  22| 635M  334M  110M 2744M|5716B 2094B|  24k    0 |3.00     0 | 465   799 |2.39 1.60 1.39|  0 1.0 2.0|   0     0 |keystone-manage      14910 29%2973k 140k|keystone-manage      149102973k 140k 29%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 09:48:57 ubuntu dstat.sh[13495]: 25-02 09:48:57| 16   3  48  31   2| 642M  328M  110M 2744M|4709B 1944B|  72k    0 |6.00     0 | 441   760 |2.28 1.59 1.39|  0 1.0   0|   0     0 |keystone-manage      14910 17%1835k 179k|keystone-manage      149101835k 179k 17%|mysqld       173M|   0     0 |  16    5    0    6    0
Feb 25 09:48:58 ubuntu dstat.sh[13495]: 25-02 09:48:58| 32  14  26  18   8| 658M  310M  110M 2745M|5181B 1728B|  16k 1780k|2.00  53.0 | 896  1584 |2.28 1.59 1.39|  0 1.0   0|   0     0 |keystone-manage      14910 26%1241k 301k|keystone-manage      149101241k 301k 26%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 25 09:48:59 ubuntu dstat.sh[13495]: 25-02 09:48:59|  2   2  47  44   5| 659M  309M  110M 2745M|5606B 1944B|   0  3808k|   0   127 | 656  1150 |2.28 1.59 1.39|  0 1.0   0|   0     0 |mysqld               127742.5%   0    0 |python2              13648  14k 482B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Feb 25 09:49:00 ubuntu dstat.sh[13495]: 25-02 09:49:00|  3   4  45  43   4| 659M  308M  111M 2746M|5181B 1728B|   0  1576k|   0   112 | 707  1193 |2.28 1.59 1.39|1.0   0   0|   0     0 |mysqld               127742.5%   0    0 |python2              13648  14k 453B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 25 09:49:01 ubuntu dstat.sh[13495]: 25-02 09:49:01|  2   3  46  42   7| 660M  307M  111M 2746M|5613B 1944B|   0  1648k|   0   111 | 750  1293 |2.28 1.59 1.39|1.0   0   0|   0     0 |mysqld               127742.0%   0    0 |python2              13648  14k 459B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 25 09:49:02 ubuntu dstat.sh[13495]: 25-02 09:49:02|  9   8  42  36   5| 660M  306M  111M 2746M|4695B 1944B|   0  1196k|   0   100 | 917  1541 |2.18 1.58 1.39|  0 1.0   0|   0     0 |mysqld               12774 14%   0    0 |python2              13648  14k 471B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Feb 25 09:49:03 ubuntu dstat.sh[13495]: 25-02 09:49:03|  6  10  42  36   6| 660M  306M  111M 2746M|3432B 1728B|   0  1044k|   0   109 | 975  1835 |2.18 1.58 1.39|  0 1.0   0|   0     0 |mysqld               12774 13%   0    0 |python2              13648  14k 464B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Feb 25 09:49:04 ubuntu dstat.sh[13495]: 25-02 09:49:04| 10  10  33  46   2| 661M  305M  111M 2746M|5511B 1944B|   0   664k|   0  70.0 | 627  1262 |2.18 1.58 1.39|1.0 1.0   0|   0     0 |mysqld               12774 18%   0    0 |python2              13648  14k 466B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Feb 25 09:49:05 ubuntu dstat.sh[13495]: 25-02 09:49:05| 11  13  28  41   6| 661M  304M  112M 2746M|4905B 1986B|8192B 1264k|1.00   107 | 749  1558 |2.18 1.58 1.39|1.0 1.0   0|   0     0 |mysqld               12774 22%   0    0 |python2              13648  14k 459B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 25 09:49:06 ubuntu dstat.sh[13495]: 25-02 09:49:06|  8  10  30  40  13| 662M  303M  112M 2746M|6357B 1728B|   0  1380k|   0   120 | 800  1655 |2.18 1.58 1.39|  0 1.0 2.0|   0     0 |mysqld               12774 17%   0    0 |python2              13648  14k 481B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Feb 25 09:49:07 ubuntu dstat.sh[13495]: 25-02 09:49:07|  9   6  33  40  12| 663M  302M  112M 2747M|4021B 1944B|   0  1596k|   0   134 | 735  1756 |2.09 1.57 1.38|  0 1.0   0|   0     0 |mysqld               12774 13%   0    0 |python2              13648  14k 478B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Feb 25 09:49:08 ubuntu dstat.sh[13495]: 25-02 09:49:08|  6   5  43  39   7| 663M  301M  112M 2747M|3540B 1728B|   0  1468k|   0  96.0 | 741  1881 |2.09 1.57 1.38|1.0 1.0   0|   0     0 |mysqld               127746.5%   0    0 |python2              13648  14k 466B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Feb 25 09:49:09 ubuntu dstat.sh[13495]: 25-02 09:49:09| 10   9  35  36  10| 664M  301M  113M 2747M|  12k 1782B|  52k 1328k|1.00   107 | 879  1999 |2.09 1.57 1.38|1.0 1.0   0|   0     0 |mysqld               12774 15%   0    0 |python2              13648  14k 486B  0%|mysqld       191M|   0     0 |  16    7    0    6    0
Feb 25 09:49:10 ubuntu dstat.sh[13495]: 25-02 09:49:10|  5   6  45  39   5| 665M  233M  113M 2811M|5391B 2106B|   0    32M|   0  79.0 | 606  1249 |2.09 1.57 1.38|  0 1.0   0|   0     0 |mysqld               127746.0%   0    0 |python2              13648  14k 471B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Feb 25 09:49:11 ubuntu dstat.sh[13495]: 25-02 09:49:11|  2   2  47  47   3| 665M  233M  113M 2811M|5776B 1728B|   0    34M|   0  89.0 | 452   864 |2.09 1.57 1.38|  0 1.0   0|   0     0 |mysqld               127741.5%   0    0 |python2              13648  14k 453B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Feb 25 09:49:12 ubuntu dstat.sh[13495]: 25-02 09:49:12|  5   2  45  43   4| 665M  232M  113M 2811M|4523B 1944B|   0  1336k|   0  97.0 | 647  1296 |2.08 1.58 1.39|  0 1.0   0|   0     0 |keystone-manage      149103.0%3060B1683B|python2              13648  14k 464B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Feb 25 09:49:13 ubuntu dstat.sh[13495]: 25-02 09:49:13|  5   3  45  45   4| 666M  231M  113M 2811M|3285B 1782B|   0  1232k|   0   110 | 661  1617 |2.08 1.58 1.39|  0 1.0   0|   0     0 |mysqld               127745.0%   0    0 |python2              13648  14k 464B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Feb 25 09:49:14 ubuntu dstat.sh[13495]: 25-02 09:49:14|  4   3  46  46   3| 666M  230M  114M 2812M|6571B 2106B|   0  1728k|   0  94.0 | 604  1261 |2.08 1.58 1.39|  0 2.0   0|   0     0 |mysqld               127743.0%   0    0 |python2              13648  14k 465B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Feb 25 09:49:15 ubuntu dstat.sh[13495]: 25-02 09:49:15|  2   1  45  48   3| 666M  230M  114M 2812M|4046B 1944B|   0   968k|   0   122 | 382   504 |2.08 1.58 1.39|  0 2.0   0|   0     0 |beam.smp             141123.0%   0    0 |python2              13648  14k 470B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Feb 25 09:49:16 ubuntu dstat.sh[13495]: 25-02 09:49:16|  2   1  21  76   1| 666M  230M  114M 2812M|3457B 1944B|   0   376k|   0  53.0 | 342   581 |2.08 1.58 1.39|  0 3.0 2.0|   0     0 |python2              136480.5%  14k 463B|python2              13648  14k 463B0.5%|mysqld       193M|   0     0 |  16    7    0    5    0
Feb 25 09:49:17 ubuntu dstat.sh[13495]: 25-02 09:49:17|  1   1   0  97   1| 667M  230M  114M 2812M|6372B 1944B|   0  1244k|   0  47.0 | 305   459 |2.55 1.68 1.42|  0 6.0   0|   0     0 |etcd                 146020.5%   0    0 |python2              13648  14k   0   0%|mysqld       193M|   0     0 |  16    7    0    5    0
Feb 25 09:49:18 ubuntu dstat.sh[13495]: 25-02 09:49:18|  3   1  18  77   3| 666M  230M  114M 2812M|6242B 1944B|   0   384k|   0  54.0 | 342   506 |2.55 1.68 1.42|  0 2.0   0|   0     0 |etcd                 146022.0%   0    0 |python2              13648  14k 931B  0%|mysqld       193M|   0     0 |  16    7    0    5    0
Feb 25 09:49:19 ubuntu dstat.sh[13495]: 25-02 09:49:19|  2   2  13  82   2| 666M  230M  114M 2812M|4165B 1944B|   0  1008k|   0  64.0 | 423   698 |2.55 1.68 1.42|  0 1.0 2.0|   0     0 |conntrackd           286861.0%   0    0 |python2              13648  14k 467B0.5%|mysqld       193M|   0     0 |  16    7    0    5    0
