"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Mar 2020 21:20:09 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-03 21:20:09,17.284,4.889,54.246,22.255,1.324,473624576,429092864,115367936,2875101184,0,0,238865.257,3699394.792,11.308,36.893,842.930,1408.692,1.560,1.350,1.200,3,0,25.427,0,0,13,3,0,4,0
02-03 21:20:10,15.196,31.373,18.627,26.471,8.333,472326144,430133248,115376128,2875154432,3448,2160,0,14008320,0,20,1295,3092,1.560,1.350,1.200,1,2,361,0,0,13,3,0,5,0
02-03 21:20:11,23.881,29.353,32.836,9.950,3.980,472657920,429600768,115376128,2875310080,5275,1944,0,20549632,0,28,1421,4713,1.560,1.350,1.200,6,0,240,0,0,13,3,0,5,0
02-03 21:20:12,26.601,31.527,36.453,0,5.419,474259456,427917312,115376128,2875498496,4863,2160,0,16384,0,4,1584,4515,1.600,1.360,1.210,3,0,241,0,0,13,3,0,4,0
02-03 21:20:13,9.091,9.091,80.808,0,1.010,603430912,298360832,115376128,3003371520,5345,2160,0,0,0,0,967,2982,1.600,1.360,1.210,1,0,19,0,0,15,3,0,4,0
02-03 21:20:14,26.633,26.633,45.226,0,1.508,615104512,286539776,115376128,3003478016,8253,2160,0,0,0,0,1567,3136,1.600,1.360,1.210,2,0,295,0,0,15,5,0,7,0
02-03 21:20:15,29.353,3.483,38.308,28.358,0.498,627757056,273211392,115384320,3004100608,7453,2160,708608,1085440,51,93,756,889,1.600,1.360,1.210,2,0,0,0,0,15,5,0,7,0
02-03 21:20:16,39.899,3.030,47.475,8.081,1.515,648269824,251908096,115515392,3004641280,6842,1944,540672,0,79,0,769,939,1.600,1.360,1.210,2,0,0,0,0,15,5,0,7,0
02-03 21:20:17,39.409,3.448,43.350,5.911,7.882,670633984,228294656,115544064,3005693952,5746,2160,651264,0,43,0,743,902,1.550,1.360,1.200,2,0,0,0,0,15,5,0,7,0
02-03 21:20:18,11.940,1.990,46.766,36.318,2.985,675790848,222433280,115625984,3006234624,4840,2160,90112,0,7,0,463,770,1.550,1.360,1.200,5,0,1,0,0,15,5,0,7,0
02-03 21:20:19,21.782,12.871,32.673,28.713,3.960,689967104,207405056,115830784,3006832640,4714,1944,12288,2273280,1,88,1162,2008,1.550,1.360,1.200,1,1,1,0,0,15,7,0,7,0
02-03 21:20:20,4.878,3.415,43.415,40.488,7.805,690618368,206106624,116092928,3007180800,4691,2160,0,1683456,0,120,875,1400,1.550,1.360,1.200,4,0,0,0,0,15,7,0,7,0
02-03 21:20:21,1.531,2.551,46.429,43.878,5.612,690774016,205451264,116293632,3007447040,6481,1944,0,1314816,0,89,719,1190,1.550,1.360,1.200,1,1,0,0,0,15,7,0,7,0
02-03 21:20:22,2.500,1.500,47,49,0,691249152,204652544,116441088,3007619072,5146,2160,0,892928,0,59,610,1006,1.580,1.370,1.210,1,1,0,0,0,15,7,0,7,0
02-03 21:20:23,6.030,4.020,44.221,44.724,1.005,691900416,203456512,116690944,3007873024,5604,2160,0,1560576,0,129,933,1746,1.580,1.370,1.210,1,1,0,0,0,15,7,0,7,0
02-03 21:20:24,12.376,10.396,35.644,38.614,2.970,692695040,202215424,116998144,3008000000,3732,1944,0,1245184,0,131,967,2209,1.580,1.370,1.210,1,1,0,0,0,15,7,0,7,0
02-03 21:20:25,14.070,14.573,29.146,40.704,1.508,693116928,201424896,117252096,3008106496,5387,2160,0,3829760,0,164,960,1654,1.580,1.370,1.210,3,0,0,0,0,15,7,0,7,0
02-03 21:20:26,11.165,9.709,42.233,33.495,3.398,693817344,200437760,117571584,3008065536,5874,2160,0,1634304,0,140,1060,1726,1.580,1.370,1.210,2,0,0,0,0,15,7,0,7,0
02-03 21:20:27,11.616,11.111,32.828,41.919,2.525,694009856,199933952,117788672,3008151552,8453,1944,0,1097728,0,102,882,1327,1.620,1.380,1.210,2,1,0,0,0,15,7,0,7,0
02-03 21:20:28,11.558,12.060,30.151,44.724,1.508,694849536,198914048,117972992,3008143360,5689,2160,0,1282048,0,102,1008,1783,1.620,1.380,1.210,2,0,0,0,0,15,7,0,7,0
02-03 21:20:29,12.626,11.616,27.273,45.960,2.525,695160832,198377472,118091776,3008241664,5784,2160,0,692224,0,46,655,1153,1.620,1.380,1.210,2,1,2,0,0,15,7,0,7,0
02-03 21:20:30,11.558,7.035,48.241,32.663,0.503,695619584,197668864,118292480,3008274432,5367,1944,0,1155072,0,80,783,1356,1.620,1.380,1.210,1,1,0,0,0,15,7,0,7,0
02-03 21:20:31,10,8.500,36.500,44,1,695652352,197607424,118386688,3008208896,4539,2202,0,659456,0,37,560,975,1.620,1.380,1.210,2,0,0,0,0,15,7,0,7,0
