"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 04:25:30 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 04:25:30,17.117,4.919,54.219,22.140,1.606,439730176,606380032,90415104,2776645632,0,0,270356.940,3898194.375,12.846,38.067,833.839,1471.364,1.270,1.290,1.210,2,0,27.202,0,0,13,3,0,5,0
31-03 04:25:31,19.608,36.765,34.314,4.412,4.902,440516608,605143040,90427392,2776702976,3667,1728,0,126976,0,9,1543,3840,1.270,1.290,1.210,1,0,419,0,0,13,3,0,5,0
31-03 04:25:32,29.500,29,38,0,3.500,441847808,603623424,90427392,2776883200,3994,1782,0,24576,0,6,1488,3410,1.270,1.290,1.210,3,0,265,0,0,13,3,0,5,0
31-03 04:25:33,28.426,29.949,37.056,0,4.569,441094144,604311552,90427392,2776907776,4532,2106,0,8192,0,2,1855,5275,1.270,1.290,1.210,1,0,150,0,0,13,3,0,5,0
31-03 04:25:34,23.618,27.638,46.734,0,2.010,578822144,466165760,90427392,2904969216,3798,1944,0,0,0,0,1926,4164,1.270,1.290,1.210,1,0,307,0,0,15,5,0,7,0
31-03 04:25:35,26.904,4.061,47.716,20.305,1.015,593817600,450355200,90615808,2905563136,4950,1944,647168,212992,66,4,628,939,1.250,1.290,1.210,0,2,0,0,0,15,5,0,7,0
31-03 04:25:36,7.107,1.015,49.239,41.624,1.015,596615168,447365120,90656768,2905714688,4055,1944,282624,2953216,39,43,473,796,1.250,1.290,1.210,1,0,0,0,0,15,5,0,7,0
31-03 04:25:37,7.035,2.513,47.739,42.211,0.503,600285184,442953728,90984448,2906128384,3219,1728,688128,0,117,0,527,999,1.250,1.290,1.210,1,0,2,0,0,15,5,0,7,0
31-03 04:25:38,26.131,1.508,49.246,22.613,0.503,615047168,427876352,91131904,2906296320,6253,1944,323584,0,50,0,555,895,1.250,1.290,1.210,1,0,0,0,0,15,5,0,7,0
31-03 04:25:39,14.796,1.020,47.959,35.714,0.510,617492480,424763392,91131904,2906947584,3192,1944,536576,0,37,0,588,796,1.250,1.290,1.210,0,1,0,0,0,15,5,0,7,0
31-03 04:25:40,21.717,2.525,47.980,27.778,0,628748288,413147136,91148288,2907267072,4583,1944,73728,0,7,0,446,656,1.230,1.280,1.210,1,0,0,0,0,15,5,0,7,0
31-03 04:25:41,26,4.500,36,33,0.500,642969600,397881344,91275264,2908131328,4077,1944,184320,815104,16,3,559,938,1.230,1.280,1.210,3,0,0,0,0,15,7,0,7,0
