-- Logs begin at Thu 2020-03-19 02:59:59 UTC, end at Thu 2020-03-19 04:36:30 UTC. --
Mar 19 03:46:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 19 03:46:46 ubuntu dstat.sh[963]: [286B blob data]
Mar 19 03:46:46 ubuntu dstat.sh[963]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 19 03:46:46 ubuntu dstat.sh[963]: 19-03 03:46:46| 16   5  57  21   1| 419M  398M  108M 2783M|   0     0 | 195k 2919k|10.2  33.8 | 762  1274 |1.36 1.33 1.23|3.0 1.0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 3246 2408k2286k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 03:46:47 ubuntu dstat.sh[963]: 19-03 03:46:47| 11  20  10  55   4| 420M  397M  108M 2783M|5069B 1944B|   0  1140k|   0  58.0 | 968  1927 |1.36 1.33 1.23|3.0 1.0 211|   0     0 |bash                 3246 3.5%1252k  14k|bash                 3246 1252k  14k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 03:46:48 ubuntu dstat.sh[963]: 19-03 03:46:48| 22  30  35   0  13| 420M  397M  108M 2783M|4981B 1836B|   0    64k|   0  7.00 |1353  3723 |1.36 1.33 1.23|1.0   0 237|   0     0 |systemd              1     11%   0    0 |bash                 3246 1816k  15k3.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 03:46:49 ubuntu dstat.sh[963]: 19-03 03:46:49| 25  28  38   0   9| 421M  396M  108M 2784M|5558B 2052B|   0    16k|   0  4.00 |1349  4623 |1.33 1.32 1.23|1.0   0 192|   0     0 |systemd              1     17%   0    0 |bash                 3246 1091k9675B2.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 03:46:50 ubuntu dstat.sh[963]: 19-03 03:46:50|  7   9  81   0   5| 545M  271M  108M 2906M|5308B 1944B|   0     0 |   0     0 |1290  3537 |1.33 1.32 1.23|  0   0  19|   0     0 |systemd              1    5.5%   0    0 |bash                 3246  116k 392B  0%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 19 03:46:51 ubuntu dstat.sh[963]: 19-03 03:46:51| 23  24  44   0   9| 553M  263M  108M 2906M|4312B 1728B|   0     0 |   0     0 |1610  3392 |1.33 1.32 1.23|1.0   0 298|   0     0 |keystone-manage      2383  10%1586k  81k|keystone-manage      2383 1586k  81k 10%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 03:46:52 ubuntu dstat.sh[963]: 19-03 03:46:52| 46   5  41   6   1| 573M  243M  108M 2906M|4076B 1944B|   0    17M|   0  19.0 | 551   843 |1.33 1.32 1.23|  0 1.0   0|   0     0 |keystone-manage      2383  49%4856k   0 |keystone-manage      2383 4856k   0  49%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 03:46:53 ubuntu dstat.sh[963]: 19-03 03:46:53| 24   2  26  49   1| 587M  229M  108M 2906M|4378B 1944B| 228k   16M|38.0  18.0 | 475   671 |1.33 1.32 1.23|1.0   0   0|   0     0 |keystone-manage      2383  24%3375k  46k|keystone-manage      2383 3375k  46k 24%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 03:46:54 ubuntu dstat.sh[963]: 19-03 03:46:54| 40   4  48   8   1| 608M  206M  108M 2907M|6256B 1782B| 648k    0 |48.0     0 | 648   986 |1.31 1.32 1.23|1.0   0   0|   0     0 |keystone-manage      2383  42%5557k 228k|keystone-manage      2383 5557k 228k 42%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 03:46:55 ubuntu dstat.sh[963]: 19-03 03:46:55| 34  15  31  20   1| 628M  185M  108M 2908M|5469B 2322B|  16k 1592k|2.00  52.0 | 888  2066 |1.31 1.32 1.23|  0 1.0   0|   0     0 |keystone-manage      2383  26%1871k 426k|keystone-manage      2383 1871k 426k 26%|mysqld       186M|   0     0 |  16    7    0    6    0
