-- Logs begin at Thu 2020-03-19 01:34:18 UTC, end at Thu 2020-03-19 03:09:28 UTC. --
Mar 19 02:22:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 19 02:22:05 ubuntu dstat.sh[1047]: [286B blob data]
Mar 19 02:22:05 ubuntu dstat.sh[1047]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 19 02:22:05 ubuntu dstat.sh[1047]: 19-03 02:22:05| 15   4  54  24   2| 420M  473M  139M 2691M|   0     0 | 148k 2821k|7.13  33.3 | 686  1213 |1.23 1.21 1.20|1.0   0  23|   0     0 |systemd              1    0.4%   0    0 |bash                 4229 2301k2175k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 02:22:06 ubuntu dstat.sh[1047]: 19-03 02:22:06| 21  35  34   5   6| 421M  471M  139M 2691M|4605B 1782B| 172k  164k|3.00  17.0 |1395  3715 |1.23 1.21 1.20|2.0   0 393|   0     0 |bash                 4229 6.5%2029k  25k|bash                 4229 2029k  25k6.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 02:22:07 ubuntu dstat.sh[1047]: 19-03 02:22:07| 24  26  39   6   5| 420M  472M  139M 2692M|5092B 1890B|   0    16k|   0  4.00 |1456  4289 |1.53 1.28 1.22|1.0   0 210|   0     0 |systemd              1     10%   0    0 |bash                 4229 1523k  13k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 02:22:08 ubuntu dstat.sh[1047]: 19-03 02:22:08| 30  30  37   0   4| 545M  347M  139M 2814M|3786B 1944B|   0  8192B|   0  2.00 |2132  7087 |1.53 1.28 1.22|  0   0 149|   0     0 |systemd              1     19%   0    0 |bash                 4229  860k5723B1.5%|mysqld       173M|   0     0 |  16    3    0    4    0
Mar 19 02:22:09 ubuntu dstat.sh[1047]: 19-03 02:22:09|  7  14  77   0   2| 546M  345M  139M 2814M|5257B 1944B|   0     0 |   0     0 | 794  1879 |1.53 1.28 1.22|2.0   0 166|   0     0 |bash                 4229 2.5% 317k8965B|bash                 4229  317k8965B2.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 19 02:22:10 ubuntu dstat.sh[1047]: 19-03 02:22:10| 36  14  44   0   6| 560M  331M  139M 2814M|4172B 1944B|   0     0 |   0     0 | 919  1691 |1.53 1.28 1.22|1.0   0 129|   0     0 |keystone-manage      2467  31%3566k  81k|keystone-manage      2467 3566k  81k 31%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 02:22:11 ubuntu dstat.sh[1047]: 19-03 02:22:11|  9   2  47  42   0| 567M  324M  139M 2814M|3372B 1944B| 392k 4360k|19.0  6.00 | 392   646 |1.53 1.28 1.22|  0 2.0   0|   0     0 |keystone-manage      2467 8.5%1641k   0 |keystone-manage      2467 1641k   0 8.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 02:22:12 ubuntu dstat.sh[1047]: 19-03 02:22:12|  6   1  49  43   1| 567M  323M  139M 2814M|4807B 1986B| 204k 1356k|20.0  83.0 | 511   777 |1.57 1.29 1.23|  0 2.0   0|   0     0 |keystone-manage      2467 4.5% 164k   0 |keystone-manage      2467  164k   0 4.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 02:22:13 ubuntu dstat.sh[1047]: 19-03 02:22:13|  2   1  49  48   0| 567M  323M  139M 2814M|3814B 1944B|  24k   12M|3.00  25.0 | 336   605 |1.57 1.29 1.23|  0 2.0   0|   0     0 |keystone-manage      2467 0.5%  71k   0 |keystone-manage      2467   71k   0 0.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 02:22:14 ubuntu dstat.sh[1047]: 19-03 02:22:14|  2   2  50  47   0| 568M  323M  139M 2814M|4783B 1944B|  64k 9164k|8.00  10.0 | 385   625 |1.57 1.29 1.23|  0 2.0   0|   0     0 |python2              1262 0.5%  14k 469B|keystone-manage      2467   34k   0 0.5%|mysqld       173M|   0     0 |  16    5    0    6    0
