-- Logs begin at Thu 2020-03-19 17:25:58 UTC, end at Thu 2020-03-19 19:06:10 UTC. --
Mar 19 18:17:34 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 19 18:17:36 ubuntu dstat.sh[2139]: [286B blob data]
Mar 19 18:17:36 ubuntu dstat.sh[2139]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 19 18:17:36 ubuntu dstat.sh[2139]: 19-03 18:17:36| 14   4  55  25   2| 421M  361M  109M 2816M|   0     0 | 184k 3042k|10.1  32.3 | 679  1130 |1.34 1.19 1.18|2.0 1.0  22|   0     0 |systemd              1    0.4%   0    0 |bash                 3248 2200k2086k0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 18:17:39 ubuntu dstat.sh[2139]: 19-03 18:17:37|  6  10   2  83   1| 421M  361M  109M 2816M|3916B 2202B|   0   936k|   0  78.0 | 639   958 |1.34 1.19 1.18|  0 3.0  87|   0     0 |bash                 3248 1.0% 639k5653B|bash                 3248  639k5653B1.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 18:17:39 ubuntu dstat.sh[2139]: 19-03 18:17:38|  2   1   0  97   0| 421M  361M  109M 2816M|4321B 2160B|   0     0 |   0     0 | 200   293 |1.56 1.23 1.19|  0 3.0   0|   0     0 |conntrackd           161960.5%   0    0 |python2              2604   13k 474B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 18:17:39 ubuntu dstat.sh[2139]: 19-03 18:17:39|  6  12  10  70   2| 421M  360M  109M 2816M|4678B 1944B|   0  1112k|   0   132 | 687  1264 |1.56 1.23 1.19|1.0   0 115|   0     0 |bash                 3248 1.5% 777k8487B|bash                 3248  777k8487B1.5%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 18:17:40 ubuntu dstat.sh[2139]: 19-03 18:17:40| 29  32  37   0   2| 423M  359M  109M 2816M|5659B 2160B|   0    20k|   0  5.00 |2112  7214 |1.56 1.23 1.19|1.0   0 253|   0     0 |systemd              1     12%   0    0 |bash                 3248 1798k  14k3.0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 19 18:17:41 ubuntu dstat.sh[2139]: 19-03 18:17:41| 28  24  47   0   2| 546M  235M  109M 2938M|6253B 2160B|   0     0 |   0     0 |1717  4753 |1.56 1.23 1.19|2.0   0 170|   0     0 |systemd              1     18%   0    0 |bash                 3248  492k7210B2.5%|mysqld       173M|   0     0 |  16    5    0    4    0
Mar 19 18:17:42 ubuntu dstat.sh[2139]: 19-03 18:17:42| 32  19  43   0   6| 558M  223M  109M 2938M|5394B 2160B|   0     0 |   0     0 |1018  2232 |1.56 1.23 1.19|1.0   0 177|   0     0 |keystone-manage      3534  28%2477k  81k|keystone-manage      3534 2477k  81k 28%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 18:17:43 ubuntu dstat.sh[2139]: 19-03 18:17:43| 43   5  47   3   2| 587M  193M  109M 2938M|3910B 2160B| 228k    0 |38.0     0 | 503   800 |1.51 1.23 1.19|1.0   0   0|   0     0 |keystone-manage      3534  47%7340k  46k|keystone-manage      3534 7340k  46k 47%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 18:17:44 ubuntu dstat.sh[2139]: 19-03 18:17:44| 35   3  42  19   2| 602M  177M  109M 2939M|6235B 1944B| 576k 8192k|42.0  8.00 | 594   831 |1.51 1.23 1.19|  0 4.0 2.0|   0     0 |keystone-manage      3534  35%4077k 124k|keystone-manage      3534 4077k 124k 35%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 18:17:45 ubuntu dstat.sh[2139]: 19-03 18:17:45|  4   2   8  86   1| 605M  174M  109M 2939M|3997B 2202B|  36k   18M|2.00  21.0 | 433   949 |1.51 1.23 1.19|1.0 1.0   0|   0     0 |keystone-manage      3534 3.5% 685k  50k|keystone-manage      3534  685k  50k3.5%|mysqld       173M|   0     0 |  16    5    0    6    0
Mar 19 18:17:46 ubuntu dstat.sh[2139]: 19-03 18:17:46| 33  13  26  27   1| 619M  159M  109M 2940M|3735B 2160B|  52k 8672k|6.00  23.0 | 920  1413 |1.51 1.23 1.19|  0 1.0   0|   0     0 |keystone-manage      3534  30%2629k 427k|keystone-manage      3534 2629k 427k 30%|mysqld       177M|   0     0 |  16    7    0    6    0
Mar 19 18:17:47 ubuntu dstat.sh[2139]: 19-03 18:17:47|  9   5  46  38   3| 628M  150M  109M 2940M|3698B 2160B|   0   760k|   0  51.0 | 629  1164 |1.51 1.23 1.19|  0 1.0   0|   0     0 |keystone-manage      3534 6.0%  38k  53k|keystone-manage      3534   38k  53k6.0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 19 18:17:48 ubuntu dstat.sh[2139]: 19-03 18:17:48|  1   3  46  49   2| 628M  149M  109M 2940M|4257B 1890B|   0   740k|   0  56.0 | 525   918 |1.55 1.24 1.19|  0 1.0   0|   0     0 |mysqld               1413 1.0%   0    0 |python2              2604   14k 469B0.5%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 19 18:17:49 ubuntu dstat.sh[2139]: 19-03 18:17:49|  2   3  44  46   4| 628M  149M  109M 2941M|4452B 2214B|   0  1148k|   0  78.0 | 733  1212 |1.55 1.24 1.19|  0 1.0   0|   0     0 |conntrackd           161961.5%   0    0 |python2              2604   14k 462B  0%|mysqld       186M|   0     0 |  16    7    0    6    0
Mar 19 18:17:50 ubuntu dstat.sh[2139]: 19-03 18:17:50|  2   2  45  48   2| 629M  148M  109M 2941M|4116B 2160B|   0   552k|   0  39.0 | 562   898 |1.55 1.24 1.19|  0 1.0   0|   0     0 |mysqld               1413 1.0%   0    0 |python2              2604   14k 470B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:51 ubuntu dstat.sh[2139]: 19-03 18:17:51|  1   2  41  54   3| 629M  148M  109M 2941M|4337B 1944B|   0   372k|   0  26.0 | 438   733 |1.55 1.24 1.19|  0 1.0   0|   0     0 |kworker/1:1H         168  1.0%   0    0 |python2              2604   14k 468B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:52 ubuntu dstat.sh[2139]: 19-03 18:17:52|  3   1  47  48   1| 629M  148M  109M 2941M|4139B 2160B|   0   504k|   0  39.0 | 497   836 |1.55 1.24 1.19|  0 1.0 1.0|   0     0 |jbd2/vda1-8          288  0.5%   0    0 |python2              2604   14k 464B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:53 ubuntu dstat.sh[2139]: 19-03 18:17:53|  3   1  47  47   2| 629M  147M  109M 2941M|8961B 1944B|   0   736k|   0  48.0 | 606   918 |1.51 1.24 1.19|  0 1.0   0|   0     0 |mysqld               1413 1.0%   0    0 |python2              2604   14k 474B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:54 ubuntu dstat.sh[2139]: 19-03 18:17:54|  3   2  47  48   1| 630M  146M  110M 2941M|5382B 2160B|   0   632k|   0  44.0 | 590  1130 |1.51 1.24 1.19|  0 1.0 2.0|   0     0 |kworker/1:1H         168  0.5%   0    0 |python2              2604   14k 468B0.5%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:55 ubuntu dstat.sh[2139]: 19-03 18:17:55|  4   3  44  48   3| 630M  146M  110M 2941M|4834B 2254B|   0   636k|   0  53.0 | 568   905 |1.51 1.24 1.19|1.0 1.0   0|   0     0 |mysqld               1413 4.0%   0    0 |python2              2604   14k 471B  0%|mysqld       187M|   0     0 |  16    7    0    6    0
Mar 19 18:17:56 ubuntu dstat.sh[2139]: 19-03 18:17:56|  8   7  39  42   3| 630M  145M  110M 2941M|6053B 1944B|   0  3576k|   0  86.0 | 617   953 |1.51 1.24 1.19|  0 1.0   0|   0     0 |mysqld               1413  13%   0    0 |python2              2604   14k 464B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 19 18:17:57 ubuntu dstat.sh[2139]: 19-03 18:17:57|  6   5  38  50   2| 631M  145M  110M 2941M|3777B 2160B|   0   492k|   0  49.0 | 496  1117 |1.51 1.24 1.19|  0 1.0   0|   0     0 |mysqld               1413 7.5%   0    0 |python2              2604   14k 470B0.5%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 19 18:17:58 ubuntu dstat.sh[2139]: 19-03 18:17:58|  7   6  42  38   6| 631M  144M  110M 2942M|3645B 2160B|   0   620k|   0  61.0 | 557  1064 |1.47 1.23 1.19|  0 2.0   0|   0     0 |mysqld               1413  13%   0    0 |python2              2604   14k 469B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 19 18:17:59 ubuntu dstat.sh[2139]: 19-03 18:17:59| 10  10  39  40   2| 631M  144M  110M 2942M|3629B 1944B|   0   620k|   0  63.0 | 608  1271 |1.47 1.23 1.19|1.0 1.0   0|   0     0 |mysqld               1413  17%   0    0 |python2              2604   14k 469B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Mar 19 18:18:00 ubuntu dstat.sh[2139]: 19-03 18:18:00| 16  14  40  29   1| 632M  143M  110M 2942M|6067B 2160B|   0  1016k|   0  79.0 | 633  1195 |1.47 1.23 1.19|  0 1.0   0|   0     0 |mysqld               1413  27%   0    0 |python2              2604   14k 470B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 19 18:18:01 ubuntu dstat.sh[2139]: 19-03 18:18:01|  8   7  37  43   4| 632M  143M  110M 2942M|5995B 1944B|   0   844k|   0  82.0 | 647  1342 |1.47 1.23 1.19|  0 1.0   0|   0     0 |mysqld               1413  13%   0    0 |python2              2604   14k 472B0.5%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 19 18:18:02 ubuntu dstat.sh[2139]: 19-03 18:18:02| 10   6  49  33   2| 632M  142M  111M 2942M|5759B 2160B|   0   808k|   0  67.0 | 517  1174 |1.47 1.23 1.19|1.0 1.0   0|   0     0 |mysqld               1413  14%   0    0 |python2              2604   14k 469B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 19 18:18:03 ubuntu dstat.sh[2139]: 19-03 18:18:03| 11   9  46  33   0| 632M  142M  111M 2942M|3130B 1944B|   0  1052k|   0  76.0 | 548  1213 |1.59 1.26 1.20|  0 1.0   0|   0     0 |mysqld               1413  17%   0    0 |python2              2604   14k 470B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Mar 19 18:18:04 ubuntu dstat.sh[2139]: 19-03 18:18:04|  7   6  43  41   4| 633M  141M  111M 2942M|7111B 2160B|   0   964k|   0  71.0 | 691  1844 |1.59 1.26 1.20|1.0   0 2.0|   0     0 |mysqld               1413 7.5%   0    0 |python2              2604   14k 466B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 19 18:18:05 ubuntu dstat.sh[2139]: 19-03 18:18:05|  7   3  47  41   1| 633M  141M  111M 2942M|5296B 2160B|   0  1312k|   0  88.0 | 652  1377 |1.59 1.26 1.20|1.0 1.0   0|   0     0 |mysqld               1413 6.5%   0    0 |python2              2604   14k 475B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Mar 19 18:18:06 ubuntu dstat.sh[2139]: 19-03 18:18:06| 13  12  35  40   1| 634M  140M  111M 2942M|6495B 2160B|   0  1472k|   0  74.0 | 649  1224 |1.59 1.26 1.20|2.0   0   0|   0     0 |mysqld               1413  23%   0    0 |python2              2604   14k 470B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Mar 19 18:18:07 ubuntu dstat.sh[2139]: 19-03 18:18:07|  6   4  43  45   3| 634M  140M  111M 2942M|5157B 2160B|   0   880k|   0  52.0 | 758  1383 |1.59 1.26 1.20|  0 1.0   0|   0     0 |keystone-manage      3534 3.0%6713B4263B|python2              2604   14k 472B  0%|mysqld       190M|   0     0 |  16    7    0    5    0
Mar 19 18:18:09 ubuntu dstat.sh[2139]: 19-03 18:18:08|  2   5  10  83   1| 636M  567M  111M 2528M|  12k 5184B|  12k   57M|3.00  99.0 | 992  1575 |1.62 1.28 1.21|2.0 3.0 4.0|   0     0 |kswapd0              40   6.0%   0    0 |python2              2604   41k1340B1.0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:09 ubuntu dstat.sh[2139]: 19-03 18:18:09| 29  29  43   0   0| 636M  567M  111M 2528M| 490B  108B|   0     0 |   0     0 |  35    51 |1.62 1.28 1.21|  0 3.0   0|   0     0 |                                        |                                        |mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:10 ubuntu dstat.sh[2139]: 19-03 18:18:10|  3   0  42  53   1| 635M  567M  111M 2528M|1937B  972B|   0  8376k|   0  24.0 | 174   315 |1.62 1.28 1.21|  0 1.0   0|   0     0 |mysqld               1413 0.5%   0    0 |                                        |mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:11 ubuntu dstat.sh[2139]: 19-03 18:18:11|  3   1  27  68   1| 635M  567M  112M 2528M|3875B 2160B|   0  1000k|   0  89.0 | 489   726 |1.62 1.28 1.21|  0 3.0   0|   0     0 |mysqld               1413 1.0%   0    0 |python2              2604   14k 469B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:12 ubuntu dstat.sh[2139]: 19-03 18:18:12|  2   1  15  81   2| 635M  567M  112M 2528M|4012B 2160B|   0  1168k|   0   118 | 524   536 |1.62 1.28 1.21|  0 2.0   0|   0     0 |kworker/u4:1         5038 0.5%   0    0 |python2              2604   14k 457B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:13 ubuntu dstat.sh[2139]: 19-03 18:18:13|  2   1  46  49   1| 635M  567M  112M 2528M|3634B 1944B|   0   420k|   0  65.0 | 398   496 |1.89 1.34 1.23|  0 2.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2604   14k 470B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:14 ubuntu dstat.sh[2139]: 19-03 18:18:14|  1   2  43  52   3| 635M  567M  112M 2528M|5560B 2160B|  88k  392k|3.00  60.0 | 500   654 |1.89 1.34 1.23|  0 3.0 2.0|   0     0 |python2              2604 0.5%  14k 468B|python2              2604   14k 468B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:15 ubuntu dstat.sh[2139]: 19-03 18:18:15|  2   2  32  63   1| 635M  566M  112M 2529M|4599B 2160B|   0  3160k|   0  88.0 | 507   684 |1.89 1.34 1.23|  0 2.0   0|   0     0 |mysqld               1413 1.0%   0    0 |python2              2604   14k 490B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:16 ubuntu dstat.sh[2139]: 19-03 18:18:16|  2   2  40  53   3| 635M  566M  112M 2529M|7430B 1944B|   0  3692k|   0  50.0 | 441   878 |1.89 1.34 1.23|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2604   14k 469B0.5%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:17 ubuntu dstat.sh[2139]: 19-03 18:18:17|  2   4  42  48   4| 635M  565M  112M 2529M|7251B 2160B|   0  2248k|   0  95.0 | 708  1155 |1.89 1.34 1.23|  0 1.0   0|   0     0 |mysqld               1413 2.0%   0    0 |python2              2604   14k 469B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:18 ubuntu dstat.sh[2139]: 19-03 18:18:18|  2   3  45  44   5| 636M  565M  112M 2529M|6875B 1944B|   0   768k|   0  66.0 | 595  1011 |1.82 1.33 1.22|1.0 1.0   0|   0     0 |mysqld               1413 3.5%   0    0 |python2              2604   14k 458B  0%|mysqld       192M|   0     0 |  16    7    0    5    0
Mar 19 18:18:19 ubuntu dstat.sh[2139]: 19-03 18:18:19|  7   7  43  39   5| 636M  564M  112M 2530M|4377B 2106B|   0   532k|   0  55.0 | 474   906 |1.82 1.33 1.22|1.0 1.0   0|   0     0 |mysqld               1413  10%   0    0 |python2              2604   14k 468B1.5%|mysqld       192M|   0     0 |  16    7    0    5    0
