"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Mar 2020 06:44:18 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-03 06:44:18,18.285,5.224,54.180,21.450,0.861,453382144,543178752,118165504,2772377600,0,0,207450.159,3589150.753,14.015,39.187,855.375,1467.245,1.250,1.180,1.180,2,0,27.262,0,0,14,3,0,5,0
27-03 06:44:19,20.297,37.624,36.634,0.990,4.455,449073152,546750464,118177792,2772852736,5325,1728,315392,34684928,4,46,1429,3659,1.250,1.180,1.180,3,0,400,0,0,14,3,0,5,0
27-03 06:44:20,20.874,32.039,35.922,0,11.165,449658880,546033664,118177792,2772901888,2982,1944,0,24576,0,6,1182,3277,1.250,1.180,1.180,2,0,247,0,0,14,3,0,5,0
27-03 06:44:21,26.368,31.841,38.308,0,3.483,454848512,540643328,118177792,2773155840,6452,1728,0,16384,0,4,2030,5850,1.250,1.180,1.180,12,0,229,0,0,14,3,0,5,0
27-03 06:44:22,15.578,10.050,73.367,0,1.005,580493312,414633984,118177792,2901090304,5462,1944,0,0,0,0,870,1843,1.250,1.180,1.180,0,0,31,0,0,16,3,0,5,0
27-03 06:44:23,14.762,29.524,47.143,0.952,7.619,585809920,409223168,118185984,2901176320,3267,1660,53248,0,1,0,1352,3141,1.310,1.190,1.180,1,0,297,0,0,16,5,0,8,0
27-03 06:44:24,31.683,6.436,28.713,30.198,2.970,601841664,393097216,118190080,2901266432,3762,2106,0,1335296,0,58,600,694,1.310,1.190,1.180,0,2,1,0,0,16,5,0,8,0
27-03 06:44:25,24.138,3.941,30.542,39.409,1.970,615399424,378310656,118329344,2902355968,6415,1944,1159168,1183744,116,54,739,970,1.310,1.190,1.180,2,0,0,0,0,16,5,0,8,0
27-03 06:44:26,46.465,2.525,47.475,2.020,1.515,634580992,358309888,118337536,2903166976,11845,1782,647168,0,49,0,693,823,1.310,1.190,1.180,1,0,0,0,0,16,5,0,8,0
27-03 06:44:27,41.500,10,30.500,16,2,656945152,334557184,118472704,2904313856,4743,2322,192512,1204224,15,13,847,1298,1.310,1.190,1.180,1,0,0,0,0,16,7,0,8,0
27-03 06:44:28,8.718,3.590,44.103,43.077,0.513,667308032,323506176,118710272,2904760320,3912,1728,0,1773568,0,120,722,1525,1.280,1.190,1.180,1,1,0,0,0,16,7,0,8,0
27-03 06:44:29,3,3,47,45.500,1.500,667607040,322531328,118984704,2905137152,3978,1944,0,1896448,0,135,735,1400,1.280,1.190,1.180,0,1,0,0,0,16,7,0,8,0
27-03 06:44:30,3.093,0.515,49.485,46.907,0,668200960,321175552,119214080,2905640960,4911,1944,0,2023424,0,124,826,1320,1.280,1.190,1.180,0,1,0,0,0,16,7,0,8,0
27-03 06:44:31,7.143,8.163,40.306,44.388,0,669188096,319705088,119504896,2905821184,4826,1944,0,1425408,0,136,882,1797,1.280,1.190,1.180,0,1,0,0,0,16,7,0,8,0
27-03 06:44:32,12.755,8.673,36.224,41.837,0.510,669765632,318627840,119816192,2906009600,3186,1944,0,1601536,0,147,1033,2093,1.280,1.190,1.180,0,1,0,0,0,16,7,0,8,0
27-03 06:44:33,17.822,17.327,39.604,24.752,0.495,670728192,317423616,120135680,2905927680,5303,1944,0,1724416,0,152,1222,2138,1.420,1.220,1.190,1,1,2,0,0,16,7,0,9,0
27-03 06:44:34,5.500,6.500,41,43.500,3.500,671424512,316436480,120393728,2905960448,4224,1944,0,1679360,0,132,948,1675,1.420,1.220,1.190,0,1,0,0,0,16,7,0,8,0
27-03 06:44:35,16.244,12.690,27.411,42.640,1.015,672722944,314798080,120586240,2906107904,4082,1944,0,2834432,0,155,1082,1974,1.420,1.220,1.190,1,1,0,0,0,16,7,0,8,0
