-- Logs begin at Fri 2020-03-27 06:06:17 UTC, end at Fri 2020-03-27 07:33:36 UTC. --
Mar 27 06:47:55 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 06:47:56 ubuntu dstat.sh[3031]: [286B blob data]
Mar 27 06:47:56 ubuntu dstat.sh[3031]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 06:47:56 ubuntu dstat.sh[3031]: 27-03 06:47:56| 18   5  53  23   1| 425M  305M  109M 2850M|   0     0 | 284k 3976k|17.5  39.4 | 862  1623 |1.23 1.17 1.19|2.0   0  27|   0     0 |systemd              1    0.4%   0    0 |bash                 3785 2684k2500k0.2%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 27 06:47:57 ubuntu dstat.sh[3031]: 27-03 06:47:57| 19  36  37   2   5| 424M  307M  109M 2850M|3717B 1944B|   0   144k|   0  11.0 |1372  3729 |1.23 1.17 1.19|2.0   0 410|   0     0 |bash                 3785 7.0%2067k  27k|bash                 3785 2067k  27k7.0%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 27 06:47:58 ubuntu dstat.sh[3031]: 27-03 06:47:58| 24  34  38   0   3| 425M  305M  109M 2851M|4129B 1728B|   0    24k|   0  6.00 |1578  5732 |1.23 1.17 1.19|1.0   0 272|   0     0 |systemd              1    9.0%   0    0 |bash                 3785 2124k  17k3.5%|mysqld       173M|   0     0 |  13    3    0    5    0
Mar 27 06:47:59 ubuntu dstat.sh[3031]: 27-03 06:47:59| 27  31  39   0   3| 550M  180M  109M 2973M|5315B 1944B|   0     0 |   0     0 |1821  8302 |1.23 1.17 1.19|2.0   0 162|   0     0 |systemd              1     20%   0    0 |bash                 3785  456k5620B1.5%|mysqld       173M|   0     0 |  15    5    0    5    0
Mar 27 06:48:00 ubuntu dstat.sh[3031]: 27-03 06:48:00| 35  19  45   0   3| 561M  168M  109M 2973M|5597B 1944B|   0     0 |   0     0 |1174  2419 |1.21 1.17 1.19|1.0   0 214|   0     0 |keystone-manage      4436  26%2377k  81k|keystone-manage      4436 2377k  81k 26%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 27 06:48:01 ubuntu dstat.sh[3031]: 27-03 06:48:01| 38   4  46  11   3| 585M  143M  109M 2974M|7122B 1944B|1164k    0 | 120     0 | 769   930 |1.21 1.17 1.19|1.0   0   0|   0     0 |keystone-manage      4436  38%6317k  46k|keystone-manage      4436 6317k  46k 38%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 27 06:48:02 ubuntu dstat.sh[3031]: 27-03 06:48:02| 46   4  46   4   2| 609M  118M  109M 2974M|5539B 1782B|  72k  440k|9.00  2.00 | 607   672 |1.21 1.17 1.19|  0 1.0   0|   0     0 |keystone-manage      4436  48%5542k 174k|keystone-manage      4436 5542k 174k 48%|mysqld       173M|   0     0 |  15    5    0    7    0
Mar 27 06:48:03 ubuntu dstat.sh[3031]: 27-03 06:48:03| 41  16  34   9   1| 633M  523M  110M 2558M|5114B 2106B| 172k 1212k|14.0  35.0 | 999  1634 |1.21 1.17 1.19|3.0   0   0|   0     0 |keystone-manage      4436  35%3057k 481k|keystone-manage      4436 3057k 481k 35%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 27 06:48:04 ubuntu dstat.sh[3031]: 27-03 06:48:04|  4   5  27  63   2| 634M  689M  110M 2395M|4671B 1728B|  12k 4032k|3.00   138 | 494   694 |1.21 1.17 1.19|  0 3.0 4.0|   0     0 |python2              1508 2.5%  15k  17k|python2              1508   15k  17k2.5%|mysqld       186M|   0     0 |  15    7    0    7    0
Mar 27 06:48:05 ubuntu dstat.sh[3031]: 27-03 06:48:05|  1   2   0  95   2| 633M  690M  110M 2395M|4101B 1944B|   0  2352k|   0   185 | 539   549 |1.52 1.23 1.21|  0 2.0   0|   0     0 |systemd              1    0.5%   0    0 |python2              3218   14k 939B  0%|mysqld       186M|   0     0 |  15    7    0    7    0
