-- Logs begin at Fri 2020-03-27 04:28:52 UTC, end at Fri 2020-03-27 06:04:53 UTC. --
Mar 27 05:14:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 05:14:58 ubuntu dstat.sh[1741]: [286B blob data]
Mar 27 05:14:58 ubuntu dstat.sh[1741]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 05:14:58 ubuntu dstat.sh[1741]: 27-03 05:14:58| 16   5  56  22   1| 422M  471M  115M 2707M|   0     0 | 173k 3037k|10.2  34.8 | 744  1369 |1.14 1.14 1.10|2.0   0  24|   0     0 |systemd              1    0.4%   0    0 |bash                 4112 2415k2263k0.2%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 27 05:14:59 ubuntu dstat.sh[1741]: 27-03 05:14:59| 16  36  38   1  10| 421M  471M  115M 2707M|5782B 1944B| 152k  120k|3.00  8.00 |1363  3620 |1.14 1.14 1.10|1.0   0 389|   0     0 |bash                 4112 8.0%1232k  24k|bash                 4112 1232k  24k8.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 27 05:15:00 ubuntu dstat.sh[1741]: 27-03 05:15:00| 28  31  36   0   4| 422M  470M  115M 2707M|3956B 1822B|   0  1360k|   0  13.0 |1496  4058 |1.14 1.14 1.10|3.0   0 271|   0     0 |systemd              1     11%   0    0 |bash                 4112 1941k  17k3.5%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 27 05:15:01 ubuntu dstat.sh[1741]: 27-03 05:15:01| 18  20  41  20   1| 423M  470M  115M 2707M|4610B 1890B|   0    32M|   0  38.0 |1226  3325 |1.21 1.15 1.11|2.0   0 175|   0     0 |systemd              1    5.5%   0    0 |bash                 4112 1173k  10k2.0%|mysqld       174M|   0     0 |  14    3    0    5    0
Mar 27 05:15:02 ubuntu dstat.sh[1741]: 27-03 05:15:02| 17  18  64   0   1| 547M  345M  115M 2829M|4459B 1998B|   0     0 |   0     0 |1748  4319 |1.21 1.15 1.11|  0   0  51|   0     0 |systemd              1     15%   0    0 |bash                 4112  232k 656B0.5%|mysqld       174M|   0     0 |  16    3    0    5    0
Mar 27 05:15:03 ubuntu dstat.sh[1741]: 27-03 05:15:03| 12  25  58   0   5| 548M  344M  115M 2830M|3860B 1728B|   0     0 |   0     0 |1280  3056 |1.21 1.15 1.11|1.0   0 294|   0     0 |bash                 4112 5.5% 600k  18k|bash                 4112  600k  18k5.5%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 27 05:15:04 ubuntu dstat.sh[1741]: 27-03 05:15:04| 38   5  46   8   3| 569M  323M  115M 2830M|5958B 1944B| 392k  180k|19.0  2.00 | 688  1026 |1.21 1.15 1.11|  0 1.0 2.0|   0     0 |keystone-manage      3132  41%5200k  81k|keystone-manage      3132 5200k  81k 41%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 27 05:15:05 ubuntu dstat.sh[1741]: 27-03 05:15:05| 40   4  46   5   4| 588M  302M  115M 2831M|3268B 1944B| 668k    0 |72.0     0 | 626   794 |1.21 1.15 1.11|1.0   0   0|   0     0 |keystone-manage      3132  44%4574k  46k|keystone-manage      3132 4574k  46k 44%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 27 05:15:06 ubuntu dstat.sh[1741]: 27-03 05:15:06| 42   4  47   4   2| 613M  276M  115M 2832M|6887B 1728B| 664k    0 |49.0     0 | 644   811 |1.19 1.15 1.11|1.0   0   0|   0     0 |keystone-manage      3132  46%6219k 361k|keystone-manage      3132 6219k 361k 46%|mysqld       174M|   0     0 |  16    5    0    8    0
Mar 27 05:15:07 ubuntu dstat.sh[1741]: 27-03 05:15:07| 30  11  35  21   2| 629M  259M  115M 2833M|3661B 1944B|  96k 1436k|7.00  33.0 | 622  1724 |1.19 1.15 1.11|  0 1.0   0|   0     0 |keystone-manage      3132  20%1232k 294k|keystone-manage      3132 1232k 294k 20%|mysqld       186M|   0     0 |  16    7    0    8    0
Mar 27 05:15:08 ubuntu dstat.sh[1741]: 27-03 05:15:08|  2   1  50  47   1| 629M  258M  115M 2833M|3172B 1728B|   0   880k|   0  65.0 | 476   979 |1.19 1.15 1.11|  0 1.0   0|   0     0 |jbd2/vda1-8          291  0.5%   0    0 |python2              1830   14k 482B0.5%|mysqld       186M|   0     0 |  16    7    0    8    0
Mar 27 05:15:09 ubuntu dstat.sh[1741]: 27-03 05:15:09|  4   2  48  45   2| 630M  257M  115M 2833M|4843B 1944B|  80k 1708k|1.00   122 | 706  1473 |1.19 1.15 1.11|  0 1.0 2.0|   0     0 |mysqld               1010 1.5%   0    0 |python2              1830   14k 463B  0%|mysqld       186M|   0     0 |  16    7    0    9    0
Mar 27 05:15:10 ubuntu dstat.sh[1741]: 27-03 05:15:10|  3   3  50  44   2| 631M  255M  116M 2834M|5498B 1944B|   0  1972k|   0   144 | 760  1489 |1.19 1.15 1.11|  0 1.0   0|   0     0 |mysqld               1010 2.0%   0    0 |python2              1830   14k 487B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Mar 27 05:15:11 ubuntu dstat.sh[1741]: 27-03 05:15:11|  6   7  40  43   3| 631M  255M  116M 2834M|3365B 1944B|   0  1508k|   0   116 | 721  1533 |1.26 1.16 1.11|  0 1.0   0|   0     0 |mysqld               1010  10%   0    0 |python2              1830   14k 465B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:15:12 ubuntu dstat.sh[1741]: 27-03 05:15:12|  8  10  40  37   4| 632M  253M  116M 2834M|7354B 1944B|   0  1240k|   0   135 | 791  1992 |1.26 1.16 1.11|1.0   0   0|   0     0 |mysqld               1010  16%   0    0 |python2              1830   14k 465B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Mar 27 05:15:13 ubuntu dstat.sh[1741]: 27-03 05:15:13| 10  12  49  28   1| 633M  253M  116M 2834M|7465B 1944B|   0  1320k|   0   116 | 704  1644 |1.26 1.16 1.11|  0 1.0   0|   0     0 |mysqld               1010  20%   0    0 |python2              1830   14k 465B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Mar 27 05:15:14 ubuntu dstat.sh[1741]: 27-03 05:15:14| 12  10  48  29   1| 633M  252M  117M 2834M|3599B 1944B|   0  1348k|   0   120 | 678  1465 |1.26 1.16 1.11|1.0   0   0|   0     0 |mysqld               1010  20%   0    0 |python2              1830   14k 467B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Mar 27 05:15:15 ubuntu dstat.sh[1741]: 27-03 05:15:15| 12  11  50  27   0| 633M  252M  117M 2834M|4709B 1944B|   0   600k|   0  49.0 | 513   936 |1.26 1.16 1.11|  0 1.0   0|   0     0 |mysqld               1010  21%   0    0 |python2              1830   14k 467B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
Mar 27 05:15:16 ubuntu dstat.sh[1741]: 27-03 05:15:16| 15  17  23  44   2| 634M  251M  117M 2834M|3918B 1944B|   0  3268k|   0   109 | 641   957 |1.24 1.16 1.11|  0 1.0   0|   0     0 |mysqld               1010  29%   0    0 |python2              1830   14k 454B  0%|mysqld       190M|   0     0 |  16    7    0    8    0
Mar 27 05:15:17 ubuntu dstat.sh[1741]: 27-03 05:15:17| 13  11  32  43   1| 634M  250M  117M 2834M|5496B 1944B|   0  1348k|   0   108 | 855  1622 |1.24 1.16 1.11|  0 1.0   0|   0     0 |mysqld               1010  18%   0    0 |python2              1830   14k 466B  0%|mysqld       190M|   0     0 |  16    7    0    8    0
